{file: Artemis_Special_3-0.png; pivotX: 332.462; pivotY: 524.8301}
{file: Artemis_Special_3-1.png; pivotX: 334.2207; pivotY: 526.8824}
{file: Artemis_Special_3-2.png; pivotX: 335.9466; pivotY: 530.7208}
{file: Artemis_Special_3-3.png; pivotX: 338.614; pivotY: 532.896}
{file: Artemis_Special_3-4.png; pivotX: 340.7714; pivotY: 536.7994}
{file: Artemis_Special_3-5.png; pivotX: 343.4084; pivotY: 539.7242}
{file: Artemis_Special_3-6.png; pivotX: 345.536; pivotY: 543.6047}
{file: Artemis_Special_3-7.png; pivotX: 347.6455; pivotY: 545.7167}
{file: Artemis_Special_3-8.png; pivotX: 349.2681; pivotY: 549.5926}
{file: Artemis_Special_3-9.png; pivotX: 350.8905; pivotY: 550.643}
{file: Artemis_Special_3-10.png; pivotX: 351.6353; pivotY: 550.6849}
{file: Artemis_Special_3-11.png; pivotX: 352.0931; pivotY: 551.658}
{file: Artemis_Special_3-12.png; pivotX: 352.2242; pivotY: 552.5506}
{file: Artemis_Special_3-13.png; pivotX: 351.9681; pivotY: 553.6596}
{file: Artemis_Special_3-14.png; pivotX: 351.8033; pivotY: 554.5932}
{file: Artemis_Special_3-15.png; pivotX: 351.1717; pivotY: 555.5987}
{file: Artemis_Special_3-16.png; pivotX: 350.5342; pivotY: 555.6212}
{file: Artemis_Special_3-17.png; pivotX: 349.8527; pivotY: 555.5918}
{file: Artemis_Special_3-18.png; pivotX: 349.569; pivotY: 554.6321}
{file: Artemis_Special_3-19.png; pivotX: 348.8098; pivotY: 553.6675}
{file: Artemis_Special_3-20.png; pivotX: 348.6816; pivotY: 552.7747}
{file: Artemis_Special_3-21.png; pivotX: 348.6575; pivotY: 552.671}
{file: Artemis_Special_3-22.png; pivotX: 348.6008; pivotY: 551.6738}
{file: Artemis_Special_3-23.png; pivotX: 348.6797; pivotY: 551.6309}
{file: Artemis_Special_3-24.png; pivotX: 348.6618; pivotY: 550.7491}
{file: Artemis_Special_3-25.png; pivotX: 348.5304; pivotY: 547.8251}
{file: Artemis_Special_3-26.png; pivotX: 348.1056; pivotY: 543.4532}
{file: Artemis_Special_3-27.png; pivotX: 348.1944; pivotY: 538.3202}
{file: Artemis_Special_3-28.png; pivotX: 347.5664; pivotY: 532.4053}
{file: Artemis_Special_3-29.png; pivotX: 346.8441; pivotY: 526.458}
{file: Artemis_Special_3-30.png; pivotX: 346.0319; pivotY: 519.7107}
