{file: Artemis_Special_3-0.png; posX: 0.006417846; posY: 0}
{file: Artemis_Special_3-1.png; posX: 0.0007508242; posY: 0.004664481}
{file: Artemis_Special_3-2.png; posX: -0.01037325; posY: 0.01013601}
{file: Artemis_Special_3-3.png; posX: -0.0159346; posY: 0.01636916}
{file: Artemis_Special_3-4.png; posX: -0.02714693; posY: 0.02331859}
{file: Artemis_Special_3-5.png; posX: -0.03274079; posY: 0.03093904}
{file: Artemis_Special_3-6.png; posX: -0.0442843; posY: 0.03918511}
{file: Artemis_Special_3-7.png; posX: -0.05042069; posY: 0.04925591}
{file: Artemis_Special_3-8.png; posX: -0.06275935; posY: 0.0598805}
{file: Artemis_Special_3-9.png; posX: -0.07066006; posY: 0.06730855}
{file: Artemis_Special_3-10.png; posX: -0.07465768; posY: 0.07213336}
{file: Artemis_Special_3-11.png; posX: -0.07840063; posY: 0.07726097}
{file: Artemis_Special_3-12.png; posX: -0.07641556; posY: 0.08241022}
{file: Artemis_Special_3-13.png; posX: -0.06718706; posY: 0.08729982}
{file: Artemis_Special_3-14.png; posX: -0.061737; posY: 0.09164864}
{file: Artemis_Special_3-15.png; posX: -0.05327485; posY: 0.09517539}
{file: Artemis_Special_3-16.png; posX: -0.05172805; posY: 0.09759891}
{file: Artemis_Special_3-17.png; posX: -0.0521725; posY: 0.09863788}
{file: Artemis_Special_3-18.png; posX: -0.05377486; posY: 0.09801126}
{file: Artemis_Special_3-19.png; posX: -0.05610915; posY: 0.09543765}
{file: Artemis_Special_3-20.png; posX: -0.05880413; posY: 0.09159666}
{file: Artemis_Special_3-21.png; posX: -0.06440824; posY: 0.08720064}
{file: Artemis_Special_3-22.png; posX: -0.07576055; posY: 0.08201742}
{file: Artemis_Special_3-23.png; posX: -0.0897048; posY: 0.07581496}
{file: Artemis_Special_3-24.png; posX: -0.1024945; posY: 0.06545967}
{file: Artemis_Special_3-25.png; posX: -0.1090853; posY: 0.04879242}
{file: Artemis_Special_3-26.png; posX: -0.1111549; posY: 0.02704275}
{file: Artemis_Special_3-27.png; posX: -0.1113857; posY: 0.001440167}
{file: Artemis_Special_3-28.png; posX: -0.1112029; posY: -0.02678585}
{file: Artemis_Special_3-29.png; posX: -0.1103483; posY: -0.05640578}
{file: Artemis_Special_3-30.png; posX: -0.1089795; posY: -0.0861901}
{file: Artemis_Special_3-31.png; posX: -0.1072541; posY: -0.1159136}
{file: Artemis_Special_3-32.png; posX: -0.1053296; posY: -0.1460072}
{file: Artemis_Special_3-33.png; posX: -0.1033636; posY: -0.1762252}
{file: Artemis_Special_3-34.png; posX: -0.1015138; posY: -0.206322}
{file: Artemis_Special_3-35.png; posX: -0.09993761; posY: -0.2360519}
{file: Artemis_Special_3-36.png; posX: -0.09879269; posY: -0.2651693}
{file: Artemis_Special_3-37.png; posX: -0.09820178; posY: -0.2927874}
{file: Artemis_Special_3-38.png; posX: -0.105655; posY: -0.3125961}
{file: Artemis_Special_3-39.png; posX: -0.118559; posY: -0.3214403}
{file: Artemis_Special_3-40.png; posX: -0.1333868; posY: -0.3222151}
{file: Artemis_Special_3-41.png; posX: -0.1466112; posY: -0.3136551}
{file: Artemis_Special_3-42.png; posX: -0.1548979; posY: -0.3110728}
{file: Artemis_Special_3-43.png; posX: -0.1597257; posY: -0.3098706}
{file: Artemis_Special_3-44.png; posX: -0.1634779; posY: -0.3067792}
{file: Artemis_Special_3-45.png; posX: -0.1626262; posY: -0.3035161}
{file: Artemis_Special_3-46.png; posX: -0.1541947; posY: -0.3006973}
{file: Artemis_Special_3-47.png; posX: -0.1496377; posY: -0.2989389}
{file: Artemis_Special_3-48.png; posX: -0.1421238; posY: -0.2988572}
{file: Artemis_Special_3-49.png; posX: -0.1411302; posY: -0.3010683}
{file: Artemis_Special_3-50.png; posX: -0.1431241; posY: -0.304977}
{file: Artemis_Special_3-51.png; posX: -0.1455358; posY: -0.3093365}
{file: Artemis_Special_3-52.png; posX: -0.1483363; posY: -0.3137853}
{file: Artemis_Special_3-53.png; posX: -0.150652; posY: -0.3179619}
{file: Artemis_Special_3-54.png; posX: -0.1522411; posY: -0.3215049}
{file: Artemis_Special_3-55.png; posX: -0.1564075; posY: -0.3252089}
{file: Artemis_Special_3-56.png; posX: -0.1667865; posY: -0.32948}
{file: Artemis_Special_3-57.png; posX: -0.1783991; posY: -0.333374}
{file: Artemis_Special_3-58.png; posX: -0.1849562; posY: -0.3359468}
{file: Artemis_Special_3-59.png; posX: -0.1876845; posY: -0.3382788}
{file: Artemis_Special_3-60.png; posX: -0.1893816; posY: -0.3412683}
{file: Artemis_Special_3-61.png; posX: -0.1911899; posY: -0.3436986}
{file: Artemis_Special_3-62.png; posX: -0.1914592; posY: -0.344353}
{file: Artemis_Special_3-63.png; posX: -0.1887983; posY: -0.3420145}
{file: Artemis_Special_3-64.png; posX: -0.181816; posY: -0.3354665}
{file: Artemis_Special_3-65.png; posX: -0.169121; posY: -0.3223828}
{file: Artemis_Special_3-66.png; posX: -0.149322; posY: -0.3010303}
{file: Artemis_Special_3-67.png; posX: -0.1214861; posY: -0.2710823}
{file: Artemis_Special_3-68.png; posX: -0.08670051; posY: -0.2334525}
{file: Artemis_Special_3-69.png; posX: -0.04660445; posY: -0.1924745}
{file: Artemis_Special_3-70.png; posX: -0.002340526; posY: -0.1494197}
{file: Artemis_Special_3-71.png; posX: 0.04831059; posY: -0.09969985}
{file: Artemis_Special_3-72.png; posX: 0.1069384; posY: -0.04203182}
{file: Artemis_Special_3-73.png; posX: 0.1724431; posY: 0.01328266}
{file: Artemis_Special_3-74.png; posX: 0.2438153; posY: 0.05285108}
{file: Artemis_Special_3-75.png; posX: 0.3214926; posY: 0.07053614}
{file: Artemis_Special_3-76.png; posX: 0.4048836; posY: 0.07511783}
{file: Artemis_Special_3-77.png; posX: 0.4914365; posY: 0.07558143}
{file: Artemis_Special_3-78.png; posX: 0.5785995; posY: 0.07456779}
{file: Artemis_Special_3-79.png; posX: 0.6653447; posY: 0.06972015}
{file: Artemis_Special_3-80.png; posX: 0.7521206; posY: 0.0625273}
{file: Artemis_Special_3-81.png; posX: 0.8385872; posY: 0.05447835}
{file: Artemis_Special_3-82.png; posX: 0.9244068; posY: 0.0470621}
{file: Artemis_Special_3-83.png; posX: 1.009241; posY: 0.04176748}
{file: Artemis_Special_3-84.png; posX: 1.09275; posY: 0.04008329}
{file: Artemis_Special_3-85.png; posX: 1.174597; posY: 0.04349852}
{file: Artemis_Special_3-86.png; posX: 1.254442; posY: 0.05121309}
{file: Artemis_Special_3-87.png; posX: 1.331948; posY: 0.06087166}
{file: Artemis_Special_3-88.png; posX: 1.406775; posY: 0.07163006}
{file: Artemis_Special_3-89.png; posX: 1.481162; posY: 0.08264416}
{file: Artemis_Special_3-90.png; posX: 1.557512; posY: 0.09306991}
{file: Artemis_Special_3-91.png; posX: 1.635727; posY: 0.1020632}
{file: Artemis_Special_3-92.png; posX: 1.715711; posY: 0.1087798}
{file: Artemis_Special_3-93.png; posX: 1.797368; posY: 0.1123758}
{file: Artemis_Special_3-94.png; posX: 1.8806; posY: 0.1123341}
{file: Artemis_Special_3-95.png; posX: 1.965311; posY: 0.1092812}
{file: Artemis_Special_3-96.png; posX: 2.051404; posY: 0.1040879}
{file: Artemis_Special_3-97.png; posX: 2.138784; posY: 0.0976249}
{file: Artemis_Special_3-98.png; posX: 2.226076; posY: 0.09076291}
{file: Artemis_Special_3-99.png; posX: 2.312886; posY: 0.08437282}
{file: Artemis_Special_3-100.png; posX: 2.400583; posY: 0.07754433}
{file: Artemis_Special_3-101.png; posX: 2.490536; posY: 0.06255233}
{file: Artemis_Special_3-102.png; posX: 2.584114; posY: 0.03730589}
{file: Artemis_Special_3-103.png; posX: 2.682686; posY: 0.00634563}
{file: Artemis_Special_3-104.png; posX: 2.779449; posY: -0.02973264}
{file: Artemis_Special_3-105.png; posX: 2.869027; posY: -0.07425213}
{file: Artemis_Special_3-106.png; posX: 2.954936; posY: -0.1331324}
{file: Artemis_Special_3-107.png; posX: 3.040692; posY: -0.2067595}
{file: Artemis_Special_3-108.png; posX: 3.129807; posY: -0.2784721}
{file: Artemis_Special_3-109.png; posX: 3.225796; posY: -0.3337582}
{file: Artemis_Special_3-110.png; posX: 3.320743; posY: -0.3317858}
{file: Artemis_Special_3-111.png; posX: 3.401244; posY: -0.2312251}
{file: Artemis_Special_3-112.png; posX: 3.462587; posY: -0.1131434}
{file: Artemis_Special_3-113.png; posX: 3.511756; posY: 0.01214319}
{file: Artemis_Special_3-114.png; posX: 3.558963; posY: 0.1336011}
{file: Artemis_Special_3-115.png; posX: 3.604336; posY: 0.2447997}
{file: Artemis_Special_3-116.png; posX: 3.648002; posY: 0.3492838}
{file: Artemis_Special_3-117.png; posX: 3.690091; posY: 0.4509773}
{file: Artemis_Special_3-118.png; posX: 3.730731; posY: 0.5484655}
{file: Artemis_Special_3-119.png; posX: 3.77005; posY: 0.6352148}
{file: Artemis_Special_3-120.png; posX: 3.808176; posY: 0.707472}
{file: Artemis_Special_3-121.png; posX: 3.845237; posY: 0.7614819}
{file: Artemis_Special_3-122.png; posX: 3.881362; posY: 0.7974147}
{file: Artemis_Special_3-123.png; posX: 3.91668; posY: 0.8213414}
{file: Artemis_Special_3-124.png; posX: 3.951318; posY: 0.8383607}
{file: Artemis_Special_3-125.png; posX: 3.972192; posY: 0.8478427}
{file: Artemis_Special_3-126.png; posX: 3.974381; posY: 0.8377322}
{file: Artemis_Special_3-127.png; posX: 3.970259; posY: 0.8038986}
{file: Artemis_Special_3-128.png; posX: 3.972198; posY: 0.7669224}
{file: Artemis_Special_3-129.png; posX: 3.992572; posY: 0.7518303}
{file: Artemis_Special_3-130.png; posX: 4.043754; posY: 0.7737031}
{file: Artemis_Special_3-131.png; posX: 4.119151; posY: 0.8238478}
{file: Artemis_Special_3-132.png; posX: 4.200543; posY: 0.8916287}
{file: Artemis_Special_3-133.png; posX: 4.282874; posY: 0.9797282}
{file: Artemis_Special_3-134.png; posX: 4.361084; posY: 1.090312}
{file: Artemis_Special_3-135.png; posX: 4.430113; posY: 1.211972}
{file: Artemis_Special_3-136.png; posX: 4.489351; posY: 1.335387}
{file: Artemis_Special_3-137.png; posX: 4.541945; posY: 1.23524}
{file: Artemis_Special_3-138.png; posX: 4.588479; posY: 1.327514}
{file: Artemis_Special_3-139.png; posX: 4.629533; posY: 1.442912}
{file: Artemis_Special_3-140.png; posX: 4.66569; posY: 1.567352}
{file: Artemis_Special_3-141.png; posX: 4.697533; posY: 1.686472}
{file: Artemis_Special_3-142.png; posX: 4.725643; posY: 1.785913}
{file: Artemis_Special_3-143.png; posX: 4.750603; posY: 1.870367}
{file: Artemis_Special_3-144.png; posX: 4.772995; posY: 1.953524}
{file: Artemis_Special_3-145.png; posX: 4.793401; posY: 2.034521}
