{file: Artemis_Special_3_Cancel-0.png; pivotX: 115.0868; pivotY: 340.1492}
{file: Artemis_Special_3_Cancel-1.png; pivotX: 115.1068; pivotY: 331.1048}
{file: Artemis_Special_3_Cancel-2.png; pivotX: 115.2911; pivotY: 321.8563}
{file: Artemis_Special_3_Cancel-3.png; pivotX: 116.3386; pivotY: 310.8679}
{file: Artemis_Special_3_Cancel-4.png; pivotX: 117.4893; pivotY: 299.8612}
{file: Artemis_Special_3_Cancel-5.png; pivotX: 118.2366; pivotY: 289.067}
{file: Artemis_Special_3_Cancel-6.png; pivotX: 119.3415; pivotY: 283.8949}
{file: Artemis_Special_3_Cancel-7.png; pivotX: 119.6769; pivotY: 284.0894}
{file: Artemis_Special_3_Cancel-8.png; pivotX: 119.6852; pivotY: 284.5643}
{file: Artemis_Special_3_Cancel-9.png; pivotX: 119.7015; pivotY: 284.4088}
{file: Artemis_Special_3_Cancel-10.png; pivotX: 119.4463; pivotY: 283.7111}
{file: Artemis_Special_3_Cancel-11.png; pivotX: 119.1892; pivotY: 284.0361}
{file: Artemis_Special_3_Cancel-12.png; pivotX: 118.6126; pivotY: 284.0129}
{file: Artemis_Special_3_Cancel-13.png; pivotX: 118.0628; pivotY: 285.2407}
{file: Artemis_Special_3_Cancel-14.png; pivotX: 117.1524; pivotY: 287.1319}
{file: Artemis_Special_3_Cancel-15.png; pivotX: 117.2801; pivotY: 290.8112}
{file: Artemis_Special_3_Cancel-16.png; pivotX: 117.5425; pivotY: 298.8469}
{file: Artemis_Special_3_Cancel-17.png; pivotX: 117.9308; pivotY: 312.6798}
{file: Artemis_Special_3_Cancel-18.png; pivotX: 116.9962; pivotY: 327.6675}
{file: Artemis_Special_3_Cancel-19.png; pivotX: 115.3632; pivotY: 341.1989}
{file: Artemis_Special_3_Cancel-20.png; pivotX: 115.7249; pivotY: 350.5902}
{file: Artemis_Special_3_Cancel-21.png; pivotX: 116.562; pivotY: 356.5284}
{file: Artemis_Special_3_Cancel-22.png; pivotX: 116.6664; pivotY: 370.4007}
{file: Artemis_Special_3_Cancel-23.png; pivotX: 115.3629; pivotY: 382.3481}
{file: Artemis_Special_3_Cancel-24.png; pivotX: 113.9295; pivotY: 390.4452}
{file: Artemis_Special_3_Cancel-25.png; pivotX: 112.1172; pivotY: 401.6447}
{file: Artemis_Special_3_Cancel-26.png; pivotX: 111.764; pivotY: 412.9629}
{file: Artemis_Special_3_Cancel-27.png; pivotX: 110.8671; pivotY: 416.3973}
{file: Artemis_Special_3_Cancel-28.png; pivotX: 110.4418; pivotY: 410.6447}
{file: Artemis_Special_3_Cancel-29.png; pivotX: 109.6754; pivotY: 398.3042}
{file: Artemis_Special_3_Cancel-30.png; pivotX: 110.2908; pivotY: 383.9876}
{file: Artemis_Special_3_Cancel-31.png; pivotX: 112.6633; pivotY: 367.2137}
{file: Artemis_Special_3_Cancel-32.png; pivotX: 114.9473; pivotY: 350.2211}
{file: Artemis_Special_3_Cancel-33.png; pivotX: 116.5295; pivotY: 344.4035}
{file: Artemis_Special_3_Cancel-34.png; pivotX: 117.0913; pivotY: 339.9002}
{file: Artemis_Special_3_Cancel-35.png; pivotX: 117.4751; pivotY: 335.3073}
{file: Artemis_Special_3_Cancel-36.png; pivotX: 117.7347; pivotY: 332.5063}
{file: Artemis_Special_3_Cancel-37.png; pivotX: 117.8041; pivotY: 330.6982}
{file: Artemis_Special_3_Cancel-38.png; pivotX: 117.8644; pivotY: 330.6258}
{file: Artemis_Special_3_Cancel-39.png; pivotX: 117.5719; pivotY: 330.4226}
{file: Artemis_Special_3_Cancel-40.png; pivotX: 117.3894; pivotY: 331.7007}
{file: Artemis_Special_3_Cancel-41.png; pivotX: 117.5778; pivotY: 333.4905}
{file: Artemis_Special_3_Cancel-42.png; pivotX: 117.4371; pivotY: 334.8096}
{file: Artemis_Special_3_Cancel-43.png; pivotX: 117.0719; pivotY: 337.2541}
{file: Artemis_Special_3_Cancel-44.png; pivotX: 117.3147; pivotY: 339.0031}
{file: Artemis_Special_3_Cancel-45.png; pivotX: 116.8414; pivotY: 341.6602}
{file: Artemis_Special_3_Cancel-46.png; pivotX: 116.9729; pivotY: 343.376}
{file: Artemis_Special_3_Cancel-47.png; pivotX: 116.7638; pivotY: 345.7796}
{file: Artemis_Special_3_Cancel-48.png; pivotX: 116.4693; pivotY: 347.0153}
{file: Artemis_Special_3_Cancel-49.png; pivotX: 116.6322; pivotY: 347.8468}
