{file: Artemis_Special_3_Cancel-0.png; posX: -0.1850432; posY: 0}
{file: Artemis_Special_3_Cancel-1.png; posX: -0.1738688; posY: 0.0002468228}
{file: Artemis_Special_3_Cancel-2.png; posX: -0.1570966; posY: 0.0003502369}
{file: Artemis_Special_3_Cancel-3.png; posX: -0.1358441; posY: 0.0008696616}
{file: Artemis_Special_3_Cancel-4.png; posX: -0.1116204; posY: 0.002364427}
{file: Artemis_Special_3_Cancel-5.png; posX: -0.08593433; posY: 0.005394012}
{file: Artemis_Special_3_Cancel-6.png; posX: -0.0602949; posY: 0.01051778}
{file: Artemis_Special_3_Cancel-7.png; posX: -0.03592658; posY: 0.01829514}
{file: Artemis_Special_3_Cancel-8.png; posX: -0.01208946; posY: 0.02820998}
{file: Artemis_Special_3_Cancel-9.png; posX: 0.01228175; posY: 0.03951916}
{file: Artemis_Special_3_Cancel-10.png; posX: 0.03716984; posY: 0.05244142}
{file: Artemis_Special_3_Cancel-11.png; posX: 0.0624827; posY: 0.06719548}
{file: Artemis_Special_3_Cancel-12.png; posX: 0.08809604; posY: 0.08400008}
{file: Artemis_Special_3_Cancel-13.png; posX: 0.1138856; posY: 0.103074}
{file: Artemis_Special_3_Cancel-14.png; posX: 0.139727; posY: 0.124636}
{file: Artemis_Special_3_Cancel-15.png; posX: 0.1657871; posY: 0.1506913}
{file: Artemis_Special_3_Cancel-16.png; posX: 0.1935966; posY: 0.1836173}
{file: Artemis_Special_3_Cancel-17.png; posX: 0.2235936; posY: 0.2241907}
{file: Artemis_Special_3_Cancel-18.png; posX: 0.2530289; posY: 0.2692221}
{file: Artemis_Special_3_Cancel-19.png; posX: 0.2790429; posY: 0.3129216}
{file: Artemis_Special_3_Cancel-20.png; posX: 0.298776; posY: 0.3521651}
{file: Artemis_Special_3_Cancel-21.png; posX: 0.3123024; posY: 0.3838291}
{file: Artemis_Special_3_Cancel-22.png; posX: 0.3220221; posY: 0.4078693}
{file: Artemis_Special_3_Cancel-23.png; posX: 0.3285646; posY: 0.4263656}
{file: Artemis_Special_3_Cancel-24.png; posX: 0.3325589; posY: 0.4393799}
{file: Artemis_Special_3_Cancel-25.png; posX: 0.3346346; posY: 0.4469744}
{file: Artemis_Special_3_Cancel-26.png; posX: 0.3354209; posY: 0.449211}
{file: Artemis_Special_3_Cancel-27.png; posX: 0.3345422; posY: 0.4461521}
{file: Artemis_Special_3_Cancel-28.png; posX: 0.3314853; posY: 0.4378594}
{file: Artemis_Special_3_Cancel-29.png; posX: 0.3266733; posY: 0.4243952}
{file: Artemis_Special_3_Cancel-30.png; posX: 0.3205294; posY: 0.4058216}
{file: Artemis_Special_3_Cancel-31.png; posX: 0.3134767; posY: 0.3837651}
{file: Artemis_Special_3_Cancel-32.png; posX: 0.3059382; posY: 0.3606825}
{file: Artemis_Special_3_Cancel-33.png; posX: 0.2989656; posY: 0.3378808}
{file: Artemis_Special_3_Cancel-34.png; posX: 0.2934735; posY: 0.3166668}
{file: Artemis_Special_3_Cancel-35.png; posX: 0.2896793; posY: 0.2983477}
{file: Artemis_Special_3_Cancel-36.png; posX: 0.2878004; posY: 0.2842304}
{file: Artemis_Special_3_Cancel-37.png; posX: 0.288054; posY: 0.2756219}
{file: Artemis_Special_3_Cancel-38.png; posX: 0.2898845; posY: 0.2719219}
{file: Artemis_Special_3_Cancel-39.png; posX: 0.2925207; posY: 0.271344}
{file: Artemis_Special_3_Cancel-40.png; posX: 0.2958577; posY: 0.2734157}
{file: Artemis_Special_3_Cancel-41.png; posX: 0.2997903; posY: 0.2776646}
{file: Artemis_Special_3_Cancel-42.png; posX: 0.3042134; posY: 0.2836187}
{file: Artemis_Special_3_Cancel-43.png; posX: 0.3090219; posY: 0.2908052}
{file: Artemis_Special_3_Cancel-44.png; posX: 0.3141108; posY: 0.298752}
{file: Artemis_Special_3_Cancel-45.png; posX: 0.3193748; posY: 0.3069868}
{file: Artemis_Special_3_Cancel-46.png; posX: 0.3247089; posY: 0.3150371}
{file: Artemis_Special_3_Cancel-47.png; posX: 0.330008; posY: 0.3224306}
{file: Artemis_Special_3_Cancel-48.png; posX: 0.335167; posY: 0.328695}
{file: Artemis_Special_3_Cancel-49.png; posX: 0.3400808; posY: 0.3333578}
