{file: Devana_Extra_Idle-0.png; pivotX: 333.2469; pivotY: 525.9274}
{file: Devana_Extra_Idle-1.png; pivotX: 335.896; pivotY: 526.7966}
{file: Devana_Extra_Idle-2.png; pivotX: 338.0117; pivotY: 526.9139}
{file: Devana_Extra_Idle-3.png; pivotX: 340.1298; pivotY: 527.7927}
{file: Devana_Extra_Idle-4.png; pivotX: 342.226; pivotY: 527.9146}
{file: Devana_Extra_Idle-5.png; pivotX: 344.8337; pivotY: 528.795}
{file: Devana_Extra_Idle-6.png; pivotX: 346.9308; pivotY: 528.9158}
{file: Devana_Extra_Idle-7.png; pivotX: 349.0486; pivotY: 529.7914}
{file: Devana_Extra_Idle-8.png; pivotX: 351.1673; pivotY: 529.9022}
{file: Devana_Extra_Idle-9.png; pivotX: 352.8157; pivotY: 530.7648}
{file: Devana_Extra_Idle-10.png; pivotX: 354.476; pivotY: 530.8595}
{file: Devana_Extra_Idle-11.png; pivotX: 356.1748; pivotY: 531.7034}
{file: Devana_Extra_Idle-12.png; pivotX: 357.8964; pivotY: 531.7762}
{file: Devana_Extra_Idle-13.png; pivotX: 358.6562; pivotY: 531.8356}
{file: Devana_Extra_Idle-14.png; pivotX: 359.959; pivotY: 531.8806}
{file: Devana_Extra_Idle-15.png; pivotX: 360.8189; pivotY: 532.6702}
{file: Devana_Extra_Idle-16.png; pivotX: 361.2223; pivotY: 532.6814}
{file: Devana_Extra_Idle-17.png; pivotX: 361.1837; pivotY: 532.6727}
{file: Devana_Extra_Idle-18.png; pivotX: 361.1991; pivotY: 531.8841}
{file: Devana_Extra_Idle-19.png; pivotX: 360.7915; pivotY: 531.8331}
{file: Devana_Extra_Idle-20.png; pivotX: 359.9575; pivotY: 531.7572}
{file: Devana_Extra_Idle-21.png; pivotX: 358.6929; pivotY: 530.8937}
{file: Devana_Extra_Idle-22.png; pivotX: 357.0223; pivotY: 530.7612}
{file: Devana_Extra_Idle-23.png; pivotX: 355.3987; pivotY: 529.8499}
{file: Devana_Extra_Idle-24.png; pivotX: 353.2992; pivotY: 528.9318}
{file: Devana_Extra_Idle-25.png; pivotX: 350.7332; pivotY: 528.7621}
{file: Devana_Extra_Idle-26.png; pivotX: 348.6755; pivotY: 527.8235}
{file: Devana_Extra_Idle-27.png; pivotX: 346.135; pivotY: 526.8748}
{file: Devana_Extra_Idle-28.png; pivotX: 343.6094; pivotY: 525.9166}
{file: Devana_Extra_Idle-29.png; pivotX: 341.0963; pivotY: 524.9501}
