{file: Devana_Extra_Idle-0.png; posX: 0; posY: 0}
{file: Devana_Extra_Idle-1.png; posX: 0.003398215; posY: 0.0004554391}
{file: Devana_Extra_Idle-2.png; posX: 0.006919658; posY: 0.0008947849}
{file: Devana_Extra_Idle-3.png; posX: 0.01054054; posY: 0.001317978}
{file: Devana_Extra_Idle-4.png; posX: 0.01423077; posY: 0.001725018}
{file: Devana_Extra_Idle-5.png; posX: 0.01796023; posY: 0.002115905}
{file: Devana_Extra_Idle-6.png; posX: 0.02169884; posY: 0.00249058}
{file: Devana_Extra_Idle-7.png; posX: 0.02541649; posY: 0.002849042}
{file: Devana_Extra_Idle-8.png; posX: 0.02908309; posY: 0.003191233}
{file: Devana_Extra_Idle-9.png; posX: 0.03266853; posY: 0.003517151}
{file: Devana_Extra_Idle-10.png; posX: 0.03614271; posY: 0.003826737}
{file: Devana_Extra_Idle-11.png; posX: 0.03947555; posY: 0.004120052}
{file: Devana_Extra_Idle-12.png; posX: 0.04263692; posY: 0.004396975}
{file: Devana_Extra_Idle-13.png; posX: 0.04559675; posY: 0.004657507}
{file: Devana_Extra_Idle-14.png; posX: 0.04832492; posY: 0.004901707}
{file: Devana_Extra_Idle-15.png; posX: 0.05079135; posY: 0.005129397}
{file: Devana_Extra_Idle-16.png; posX: 0.05282941; posY: 0.005340695}
{file: Devana_Extra_Idle-17.png; posX: 0.05431694; posY: 0.005535483}
{file: Devana_Extra_Idle-18.png; posX: 0.05529049; posY: 0.005713761}
{file: Devana_Extra_Idle-19.png; posX: 0.0557866; posY: 0.005875528}
{file: Devana_Extra_Idle-20.png; posX: 0.05584184; posY: 0.006020725}
{file: Devana_Extra_Idle-21.png; posX: 0.05549275; posY: 0.006149411}
{file: Devana_Extra_Idle-22.png; posX: 0.05487878; posY: 0.006261408}
{file: Devana_Extra_Idle-23.png; posX: 0.05412204; posY: 0.006356835}
{file: Devana_Extra_Idle-24.png; posX: 0.05323308; posY: 0.006435633}
{file: Devana_Extra_Idle-25.png; posX: 0.05222244; posY: 0.006497681}
{file: Devana_Extra_Idle-26.png; posX: 0.05110068; posY: 0.0065431}
{file: Devana_Extra_Idle-27.png; posX: 0.04987834; posY: 0.00657177}
{file: Devana_Extra_Idle-28.png; posX: 0.04856598; posY: 0.006583631}
{file: Devana_Extra_Idle-29.png; posX: 0.04717414; posY: 0.006578803}
{file: Devana_Extra_Idle-30.png; posX: 0.04571338; posY: 0.006557107}
{file: Devana_Extra_Idle-31.png; posX: 0.04419423; posY: 0.006518662}
