{file: Devana_Heavy_Attack-0.png; pivotX: 108.996; pivotY: 323.8733}
{file: Devana_Heavy_Attack-1.png; pivotX: 115.4107; pivotY: 320.5065}
{file: Devana_Heavy_Attack-2.png; pivotX: 113.3097; pivotY: 317.4602}
{file: Devana_Heavy_Attack-3.png; pivotX: 110.5056; pivotY: 311.7628}
{file: Devana_Heavy_Attack-4.png; pivotX: 109.4354; pivotY: 305.7851}
{file: Devana_Heavy_Attack-5.png; pivotX: 104.7139; pivotY: 324.6482}
{file: Devana_Heavy_Attack-6.png; pivotX: 106.0865; pivotY: 349.8392}
{file: Devana_Heavy_Attack-7.png; pivotX: 107.1557; pivotY: 360.1862}
{file: Devana_Heavy_Attack-8.png; pivotX: 108.0123; pivotY: 347.8058}
{file: Devana_Heavy_Attack-9.png; pivotX: 110.9994; pivotY: 297.2648}
{file: Devana_Heavy_Attack-10.png; pivotX: 111.9336; pivotY: 294.9882}
{file: Devana_Heavy_Attack-11.png; pivotX: 111.1827; pivotY: 288.0457}
{file: Devana_Heavy_Attack-12.png; pivotX: 108.4653; pivotY: 281.7333}
{file: Devana_Heavy_Attack-13.png; pivotX: 108.6402; pivotY: 276.6342}
{file: Devana_Heavy_Attack-14.png; pivotX: 109.2243; pivotY: 272.7609}
{file: Devana_Heavy_Attack-15.png; pivotX: 110.139; pivotY: 268.9012}
{file: Devana_Heavy_Attack-16.png; pivotX: 110.3015; pivotY: 266.8094}
{file: Devana_Heavy_Attack-17.png; pivotX: 111.0852; pivotY: 265.6858}
{file: Devana_Heavy_Attack-18.png; pivotX: 111.3358; pivotY: 264.6702}
{file: Devana_Heavy_Attack-19.png; pivotX: 112.0269; pivotY: 262.8616}
{file: Devana_Heavy_Attack-20.png; pivotX: 112.4753; pivotY: 262.9371}
{file: Devana_Heavy_Attack-21.png; pivotX: 112.2611; pivotY: 261.9489}
{file: Devana_Heavy_Attack-22.png; pivotX: 111.9535; pivotY: 261.9773}
{file: Devana_Heavy_Attack-23.png; pivotX: 112.0918; pivotY: 262.05}
{file: Devana_Heavy_Attack-24.png; pivotX: 111.6577; pivotY: 262.1425}
{file: Devana_Heavy_Attack-25.png; pivotX: 111.5781; pivotY: 263.1939}
{file: Devana_Heavy_Attack-26.png; pivotX: 111.443; pivotY: 263.2732}
{file: Devana_Heavy_Attack-27.png; pivotX: 111.1341; pivotY: 264.2864}
{file: Devana_Heavy_Attack-28.png; pivotX: 110.6332; pivotY: 266.2221}
{file: Devana_Heavy_Attack-29.png; pivotX: 110.0488; pivotY: 267.1434}
{file: Devana_Heavy_Attack-30.png; pivotX: 109.3561; pivotY: 269.0031}
{file: Devana_Heavy_Attack-31.png; pivotX: 109.2807; pivotY: 270.8962}
{file: Devana_Heavy_Attack-32.png; pivotX: 108.7753; pivotY: 272.8405}
{file: Devana_Heavy_Attack-33.png; pivotX: 108.8677; pivotY: 274.8185}
{file: Devana_Heavy_Attack-34.png; pivotX: 108.5899; pivotY: 276.8029}
{file: Devana_Heavy_Attack-35.png; pivotX: 107.9931; pivotY: 278.7874}
{file: Devana_Heavy_Attack-36.png; pivotX: 107.6199; pivotY: 280.7726}
{file: Devana_Heavy_Attack-37.png; pivotX: 107.4313; pivotY: 283.7173}
{file: Devana_Heavy_Attack-38.png; pivotX: 107.0677; pivotY: 285.705}
{file: Devana_Heavy_Attack-39.png; pivotX: 106.9649; pivotY: 287.6937}
{file: Devana_Heavy_Attack-40.png; pivotX: 106.5575; pivotY: 290.6425}
{file: Devana_Heavy_Attack-41.png; pivotX: 106.4304; pivotY: 292.6328}
{file: Devana_Heavy_Attack-42.png; pivotX: 105.9471; pivotY: 295.5827}
{file: Devana_Heavy_Attack-43.png; pivotX: 105.6506; pivotY: 297.5723}
{file: Devana_Heavy_Attack-44.png; pivotX: 105.4115; pivotY: 300.5203}
{file: Devana_Heavy_Attack-45.png; pivotX: 105.2813; pivotY: 303.4332}
{file: Devana_Heavy_Attack-46.png; pivotX: 105.3476; pivotY: 306.3024}
{file: Devana_Heavy_Attack-47.png; pivotX: 105.5155; pivotY: 309.1595}
{file: Devana_Heavy_Attack-48.png; pivotX: 105.0929; pivotY: 312.0178}
{file: Devana_Heavy_Attack-49.png; pivotX: 104.8441; pivotY: 314.8728}
{file: Devana_Heavy_Attack-50.png; pivotX: 104.3188; pivotY: 317.7527}
{file: Devana_Heavy_Attack-51.png; pivotX: 103.7481; pivotY: 320.7052}
{file: Devana_Heavy_Attack-52.png; pivotX: 103.222; pivotY: 323.8009}
{file: Devana_Heavy_Attack-53.png; pivotX: 102.3166; pivotY: 326.1036}
{file: Devana_Heavy_Attack-54.png; pivotX: 101.0219; pivotY: 328.4842}
{file: Devana_Heavy_Attack-55.png; pivotX: 99.92682; pivotY: 330.7256}
{file: Devana_Heavy_Attack-56.png; pivotX: 99.15279; pivotY: 331.9893}
{file: Devana_Heavy_Attack-57.png; pivotX: 97.81389; pivotY: 333.0471}
{file: Devana_Heavy_Attack-58.png; pivotX: 97.00636; pivotY: 334.7617}
{file: Devana_Heavy_Attack-59.png; pivotX: 96.30347; pivotY: 335.421}
{file: Devana_Heavy_Attack-60.png; pivotX: 95.55663; pivotY: 335.9786}
{file: Devana_Heavy_Attack-61.png; pivotX: 94.96835; pivotY: 336.4215}
{file: Devana_Heavy_Attack-62.png; pivotX: 94.201; pivotY: 337.7634}
{file: Devana_Heavy_Attack-63.png; pivotX: 93.62624; pivotY: 338.1586}
{file: Devana_Heavy_Attack-64.png; pivotX: 93.13254; pivotY: 337.6502}
{file: Devana_Heavy_Attack-65.png; pivotX: 92.40679; pivotY: 338.1359}
{file: Devana_Heavy_Attack-66.png; pivotX: 92.1727; pivotY: 337.7664}
{file: Devana_Heavy_Attack-67.png; pivotX: 91.4258; pivotY: 337.4909}
{file: Devana_Heavy_Attack-68.png; pivotX: 91.16533; pivotY: 337.3207}
{file: Devana_Heavy_Attack-69.png; pivotX: 90.89165; pivotY: 337.2351}
{file: Devana_Heavy_Attack-70.png; pivotX: 90.11478; pivotY: 336.2576}
{file: Devana_Heavy_Attack-71.png; pivotX: 89.82874; pivotY: 335.2414}
{file: Devana_Heavy_Attack-72.png; pivotX: 89.53432; pivotY: 335.1458}
{file: Devana_Heavy_Attack-73.png; pivotX: 89.76036; pivotY: 334.2435}
{file: Devana_Heavy_Attack-74.png; pivotX: 89.52133; pivotY: 333.4521}
{file: Devana_Heavy_Attack-75.png; pivotX: 89.34135; pivotY: 332.7716}
{file: Devana_Heavy_Attack-76.png; pivotX: 89.23447; pivotY: 332.2127}
{file: Devana_Heavy_Attack-77.png; pivotX: 89.71294; pivotY: 331.7877}
{file: Devana_Heavy_Attack-78.png; pivotX: 89.78857; pivotY: 331.5057}
{file: Devana_Heavy_Attack-79.png; pivotX: 89.92966; pivotY: 331.3759}
{file: Devana_Heavy_Attack-80.png; pivotX: 90.08762; pivotY: 331.4077}
