{file: Devana_Heavy_Attack-0.png; posX: 0.02836008; posY: 0}
{file: Devana_Heavy_Attack-1.png; posX: 0.03370592; posY: 0.005797327}
{file: Devana_Heavy_Attack-2.png; posX: 0.03969207; posY: 0.008357048}
{file: Devana_Heavy_Attack-3.png; posX: 0.04699655; posY: 0.00766921}
{file: Devana_Heavy_Attack-4.png; posX: 0.05598512; posY: 0.003723681}
{file: Devana_Heavy_Attack-5.png; posX: 0.06432986; posY: -0.00136447}
{file: Devana_Heavy_Attack-6.png; posX: 0.06866834; posY: -0.005456209}
{file: Devana_Heavy_Attack-7.png; posX: 0.06665704; posY: -0.00852561}
{file: Devana_Heavy_Attack-8.png; posX: 0.05441009; posY: -0.01054686}
{file: Devana_Heavy_Attack-9.png; posX: 0.03376145; posY: -0.0114941}
{file: Devana_Heavy_Attack-10.png; posX: 0.0103872; posY: -0.01134133}
{file: Devana_Heavy_Attack-11.png; posX: -0.01003682; posY: -0.0114069}
{file: Devana_Heavy_Attack-12.png; posX: -0.02183456; posY: -0.01282996}
{file: Devana_Heavy_Attack-13.png; posX: -0.02482599; posY: -0.01531583}
{file: Devana_Heavy_Attack-14.png; posX: -0.02357621; posY: -0.01856989}
{file: Devana_Heavy_Attack-15.png; posX: -0.01924879; posY: -0.02229762}
{file: Devana_Heavy_Attack-16.png; posX: -0.01351323; posY: -0.02620435}
{file: Devana_Heavy_Attack-17.png; posX: -0.007533094; posY: -0.02999544}
{file: Devana_Heavy_Attack-18.png; posX: -0.002724908; posY: -0.03337634}
{file: Devana_Heavy_Attack-19.png; posX: -0.0004546076; posY: -0.03605241}
{file: Devana_Heavy_Attack-20.png; posX: -0.0002193924; posY: -0.03772902}
{file: Devana_Heavy_Attack-21.png; posX: -0.0005457402; posY: -0.03811157}
{file: Devana_Heavy_Attack-22.png; posX: -0.001340129; posY: -0.03766328}
{file: Devana_Heavy_Attack-23.png; posX: -0.00252575; posY: -0.03705561}
{file: Devana_Heavy_Attack-24.png; posX: -0.003992384; posY: -0.03630608}
{file: Devana_Heavy_Attack-25.png; posX: -0.005657573; posY: -0.0354324}
{file: Devana_Heavy_Attack-26.png; posX: -0.007444701; posY: -0.03445202}
{file: Devana_Heavy_Attack-27.png; posX: -0.009252314; posY: -0.03338265}
{file: Devana_Heavy_Attack-28.png; posX: -0.01097897; posY: -0.03224182}
{file: Devana_Heavy_Attack-29.png; posX: -0.01258723; posY: -0.03104711}
{file: Devana_Heavy_Attack-30.png; posX: -0.01422498; posY: -0.02981621}
{file: Devana_Heavy_Attack-31.png; posX: -0.01606865; posY: -0.0285666}
{file: Devana_Heavy_Attack-32.png; posX: -0.01817502; posY: -0.02731597}
{file: Devana_Heavy_Attack-33.png; posX: -0.02044322; posY: -0.02608186}
{file: Devana_Heavy_Attack-34.png; posX: -0.02281329; posY: -0.02488184}
{file: Devana_Heavy_Attack-35.png; posX: -0.02522532; posY: -0.02373362}
{file: Devana_Heavy_Attack-36.png; posX: -0.02761936; posY: -0.02265465}
{file: Devana_Heavy_Attack-37.png; posX: -0.02993545; posY: -0.02166265}
{file: Devana_Heavy_Attack-38.png; posX: -0.03211366; posY: -0.02077514}
{file: Devana_Heavy_Attack-39.png; posX: -0.03409404; posY: -0.01980954}
{file: Devana_Heavy_Attack-40.png; posX: -0.03581667; posY: -0.01858389}
{file: Devana_Heavy_Attack-41.png; posX: -0.03722158; posY: -0.01711702}
{file: Devana_Heavy_Attack-42.png; posX: -0.03824885; posY: -0.01542765}
{file: Devana_Heavy_Attack-43.png; posX: -0.03883852; posY: -0.01353437}
{file: Devana_Heavy_Attack-44.png; posX: -0.03893066; posY: -0.01145595}
{file: Devana_Heavy_Attack-45.png; posX: -0.03839233; posY: -0.009211123}
{file: Devana_Heavy_Attack-46.png; posX: -0.03702781; posY: -0.006818533}
{file: Devana_Heavy_Attack-47.png; posX: -0.03468295; posY: -0.004297018}
{file: Devana_Heavy_Attack-48.png; posX: -0.03136913; posY: -0.001665175}
{file: Devana_Heavy_Attack-49.png; posX: -0.02733284; posY: 0.001058221}
{file: Devana_Heavy_Attack-50.png; posX: -0.02277262; posY: 0.003854513}
{file: Devana_Heavy_Attack-51.png; posX: -0.01788697; posY: 0.006704926}
{file: Devana_Heavy_Attack-52.png; posX: -0.01287439; posY: 0.009590805}
{file: Devana_Heavy_Attack-53.png; posX: -0.007933427; posY: 0.01249343}
{file: Devana_Heavy_Attack-54.png; posX: -0.003262578; posY: 0.01539403}
{file: Devana_Heavy_Attack-55.png; posX: 0.0009863935; posY: 0.01827395}
{file: Devana_Heavy_Attack-56.png; posX: 0.00458778; posY: 0.02096295}
{file: Devana_Heavy_Attack-57.png; posX: 0.007387503; posY: 0.02330256}
{file: Devana_Heavy_Attack-58.png; posX: 0.009177602; posY: 0.0252918}
