{file: Devana_Heavy_Attack_Charge-0.png; pivotX: 91.95104; pivotY: 334.6987}
{file: Devana_Heavy_Attack_Charge-1.png; pivotX: 91.26302; pivotY: 335.1186}
{file: Devana_Heavy_Attack_Charge-2.png; pivotX: 90.58647; pivotY: 334.7787}
{file: Devana_Heavy_Attack_Charge-3.png; pivotX: 89.98105; pivotY: 333.6163}
{file: Devana_Heavy_Attack_Charge-4.png; pivotX: 89.46392; pivotY: 332.4894}
{file: Devana_Heavy_Attack_Charge-5.png; pivotX: 89.40656; pivotY: 331.3165}
{file: Devana_Heavy_Attack_Charge-6.png; pivotX: 88.52874; pivotY: 330.014}
{file: Devana_Heavy_Attack_Charge-7.png; pivotX: 96.23926; pivotY: 329.4607}
{file: Devana_Heavy_Attack_Charge-8.png; pivotX: 99.55279; pivotY: 327.7176}
{file: Devana_Heavy_Attack_Charge-9.png; pivotX: 100.5977; pivotY: 327.5837}
{file: Devana_Heavy_Attack_Charge-10.png; pivotX: 102.1353; pivotY: 326.1771}
{file: Devana_Heavy_Attack_Charge-11.png; pivotX: 102.8252; pivotY: 326.3743}
{file: Devana_Heavy_Attack_Charge-12.png; pivotX: 102.8214; pivotY: 326.4277}
{file: Devana_Heavy_Attack_Charge-13.png; pivotX: 102.7368; pivotY: 326.4413}
{file: Devana_Heavy_Attack_Charge-14.png; pivotX: 103.2136; pivotY: 325.4765}
{file: Devana_Heavy_Attack_Charge-15.png; pivotX: 103.2187; pivotY: 325.4421}
{file: Devana_Heavy_Attack_Charge-16.png; pivotX: 103.2424; pivotY: 325.3908}
{file: Devana_Heavy_Attack_Charge-17.png; pivotX: 103.2642; pivotY: 325.3267}
{file: Devana_Heavy_Attack_Charge-18.png; pivotX: 103.2938; pivotY: 326.2045}
{file: Devana_Heavy_Attack_Charge-19.png; pivotX: 103.3482; pivotY: 326.1254}
{file: Devana_Heavy_Attack_Charge-20.png; pivotX: 103.4318; pivotY: 326.0438}
{file: Devana_Heavy_Attack_Charge-21.png; pivotX: 103.5432; pivotY: 325.963}
{file: Devana_Heavy_Attack_Charge-22.png; pivotX: 104.18; pivotY: 325.8861}
{file: Devana_Heavy_Attack_Charge-23.png; pivotX: 104.3409; pivotY: 325.8134}
{file: Devana_Heavy_Attack_Charge-24.png; pivotX: 104.5236; pivotY: 325.7435}
{file: Devana_Heavy_Attack_Charge-25.png; pivotX: 104.7243; pivotY: 325.6766}
{file: Devana_Heavy_Attack_Charge-26.png; pivotX: 104.9411; pivotY: 326.5622}
{file: Devana_Heavy_Attack_Charge-27.png; pivotX: 105.664; pivotY: 326.5018}
{file: Devana_Heavy_Attack_Charge-28.png; pivotX: 105.8921; pivotY: 326.445}
{file: Devana_Heavy_Attack_Charge-29.png; pivotX: 106.1225; pivotY: 326.3923}
{file: Devana_Heavy_Attack_Charge-30.png; pivotX: 106.3575; pivotY: 326.3438}
{file: Devana_Heavy_Attack_Charge-31.png; pivotX: 106.5986; pivotY: 326.2997}
{file: Devana_Heavy_Attack_Charge-32.png; pivotX: 106.8393; pivotY: 326.2604}
{file: Devana_Heavy_Attack_Charge-33.png; pivotX: 107.5737; pivotY: 326.2262}
{file: Devana_Heavy_Attack_Charge-34.png; pivotX: 107.8004; pivotY: 326.1974}
{file: Devana_Heavy_Attack_Charge-35.png; pivotX: 108.0174; pivotY: 326.1744}
{file: Devana_Heavy_Attack_Charge-36.png; pivotX: 108.2229; pivotY: 326.1576}
{file: Devana_Heavy_Attack_Charge-37.png; pivotX: 108.4149; pivotY: 326.1472}
{file: Devana_Heavy_Attack_Charge-38.png; pivotX: 108.5916; pivotY: 326.1438}
{file: Devana_Heavy_Attack_Charge-39.png; pivotX: 108.751; pivotY: 326.1477}
