{file: Devana_Heavy_Attack_Charge-0.png; posX: 2.980232E-10; posY: 0}
{file: Devana_Heavy_Attack_Charge-1.png; posX: -0.0002774031; posY: -0.001497686}
{file: Devana_Heavy_Attack_Charge-2.png; posX: -0.0006127256; posY: -0.002901614}
{file: Devana_Heavy_Attack_Charge-3.png; posX: -0.000985214; posY: -0.004214466}
{file: Devana_Heavy_Attack_Charge-4.png; posX: -0.001368011; posY: -0.005438864}
{file: Devana_Heavy_Attack_Charge-5.png; posX: -0.00173426; posY: -0.006577551}
{file: Devana_Heavy_Attack_Charge-6.png; posX: -0.002057104; posY: -0.00763315}
{file: Devana_Heavy_Attack_Charge-7.png; posX: -0.002309685; posY: -0.008608341}
{file: Devana_Heavy_Attack_Charge-8.png; posX: -0.002465146; posY: -0.009505808}
{file: Devana_Heavy_Attack_Charge-9.png; posX: -0.00249663; posY: -0.01032823}
{file: Devana_Heavy_Attack_Charge-10.png; posX: -0.002389492; posY: -0.0110783}
{file: Devana_Heavy_Attack_Charge-11.png; posX: -0.002184916; posY: -0.01175869}
{file: Devana_Heavy_Attack_Charge-12.png; posX: -0.001939792; posY: -0.01237208}
{file: Devana_Heavy_Attack_Charge-13.png; posX: -0.001681717; posY: -0.01292109}
{file: Devana_Heavy_Attack_Charge-14.png; posX: -0.00140152; posY: -0.01340848}
{file: Devana_Heavy_Attack_Charge-15.png; posX: -0.001100943; posY: -0.01383692}
{file: Devana_Heavy_Attack_Charge-16.png; posX: -0.0007817269; posY: -0.01420897}
{file: Devana_Heavy_Attack_Charge-17.png; posX: -0.0004456134; posY: -0.0145275}
{file: Devana_Heavy_Attack_Charge-18.png; posX: -9.434263E-05; posY: -0.01479501}
{file: Devana_Heavy_Attack_Charge-19.png; posX: 0.0002703427; posY: -0.01501423}
{file: Devana_Heavy_Attack_Charge-20.png; posX: 0.0006467027; posY: -0.01518792}
{file: Devana_Heavy_Attack_Charge-21.png; posX: 0.001032995; posY: -0.01531863}
{file: Devana_Heavy_Attack_Charge-22.png; posX: 0.001427479; posY: -0.01540911}
{file: Devana_Heavy_Attack_Charge-23.png; posX: 0.001828413; posY: -0.01547855}
{file: Devana_Heavy_Attack_Charge-24.png; posX: 0.002234057; posY: -0.01554447}
{file: Devana_Heavy_Attack_Charge-25.png; posX: 0.002642667; posY: -0.01560688}
{file: Devana_Heavy_Attack_Charge-26.png; posX: 0.003052505; posY: -0.01566583}
{file: Devana_Heavy_Attack_Charge-27.png; posX: 0.003461828; posY: -0.01572144}
{file: Devana_Heavy_Attack_Charge-28.png; posX: 0.003868894; posY: -0.01577371}
{file: Devana_Heavy_Attack_Charge-29.png; posX: 0.004271963; posY: -0.01582271}
{file: Devana_Heavy_Attack_Charge-30.png; posX: 0.004669294; posY: -0.01586854}
{file: Devana_Heavy_Attack_Charge-31.png; posX: 0.005059145; posY: -0.01591116}
{file: Devana_Heavy_Attack_Charge-32.png; posX: 0.00543702; posY: -0.0159508}
