{file: Devana_Light_Combo_Part_2-0.png; pivotX: 134.0282; pivotY: 291.3182}
{file: Devana_Light_Combo_Part_2-1.png; pivotX: 134.9521; pivotY: 292.6023}
{file: Devana_Light_Combo_Part_2-2.png; pivotX: 135.037; pivotY: 294.5312}
{file: Devana_Light_Combo_Part_2-3.png; pivotX: 133.6458; pivotY: 296.8608}
{file: Devana_Light_Combo_Part_2-4.png; pivotX: 131.1872; pivotY: 298.6512}
{file: Devana_Light_Combo_Part_2-5.png; pivotX: 126.219; pivotY: 301.012}
{file: Devana_Light_Combo_Part_2-6.png; pivotX: 120.8165; pivotY: 302.6228}
{file: Devana_Light_Combo_Part_2-7.png; pivotX: 114.8169; pivotY: 304.7517}
{file: Devana_Light_Combo_Part_2-8.png; pivotX: 130.2015; pivotY: 308.6693}
{file: Devana_Light_Combo_Part_2-9.png; pivotX: 176.1143; pivotY: 311.6983}
{file: Devana_Light_Combo_Part_2-10.png; pivotX: 143.7047; pivotY: 315.7199}
{file: Devana_Light_Combo_Part_2-11.png; pivotX: 121.8623; pivotY: 319.2776}
{file: Devana_Light_Combo_Part_2-12.png; pivotX: 122.2369; pivotY: 360.8197}
{file: Devana_Light_Combo_Part_2-13.png; pivotX: 124.323; pivotY: 439.0535}
{file: Devana_Light_Combo_Part_2-14.png; pivotX: 128.838; pivotY: 477.1034}
{file: Devana_Light_Combo_Part_2-15.png; pivotX: 121.0212; pivotY: 479.1404}
{file: Devana_Light_Combo_Part_2-16.png; pivotX: 111.3005; pivotY: 473.0098}
{file: Devana_Light_Combo_Part_2-17.png; pivotX: 103.3866; pivotY: 468.7064}
{file: Devana_Light_Combo_Part_2-18.png; pivotX: 110.6986; pivotY: 444.3303}
{file: Devana_Light_Combo_Part_2-19.png; pivotX: 118.6871; pivotY: 339.5681}
{file: Devana_Light_Combo_Part_2-20.png; pivotX: 117.2844; pivotY: 424.3812}
{file: Devana_Light_Combo_Part_2-21.png; pivotX: 120.9448; pivotY: 307.033}
{file: Devana_Light_Combo_Part_2-22.png; pivotX: 135.6679; pivotY: 269.054}
{file: Devana_Light_Combo_Part_2-23.png; pivotX: 170.061; pivotY: 256.4408}
{file: Devana_Light_Combo_Part_2-24.png; pivotX: 141.0317; pivotY: 357.3378}
{file: Devana_Light_Combo_Part_2-25.png; pivotX: 144.1055; pivotY: 384.1083}
{file: Devana_Light_Combo_Part_2-26.png; pivotX: 144.4024; pivotY: 384.8759}
{file: Devana_Light_Combo_Part_2-27.png; pivotX: 145.4722; pivotY: 383.4009}
{file: Devana_Light_Combo_Part_2-28.png; pivotX: 145.7809; pivotY: 379.5275}
{file: Devana_Light_Combo_Part_2-29.png; pivotX: 146.7118; pivotY: 373.7112}
{file: Devana_Light_Combo_Part_2-30.png; pivotX: 147.0627; pivotY: 366.9042}
{file: Devana_Light_Combo_Part_2-31.png; pivotX: 146.6394; pivotY: 358.9203}
{file: Devana_Light_Combo_Part_2-32.png; pivotX: 145.4756; pivotY: 349.1082}
{file: Devana_Light_Combo_Part_2-33.png; pivotX: 143.4506; pivotY: 336.0949}
{file: Devana_Light_Combo_Part_2-34.png; pivotX: 141.3681; pivotY: 323.057}
{file: Devana_Light_Combo_Part_2-35.png; pivotX: 139.4512; pivotY: 314.3041}
{file: Devana_Light_Combo_Part_2-36.png; pivotX: 137.6484; pivotY: 308.5126}
{file: Devana_Light_Combo_Part_2-37.png; pivotX: 135.7048; pivotY: 303.5488}
{file: Devana_Light_Combo_Part_2-38.png; pivotX: 156.6644; pivotY: 292.3532}
{file: Devana_Light_Combo_Part_2-39.png; pivotX: 173.2906; pivotY: 272.095}
{file: Devana_Light_Combo_Part_2-40.png; pivotX: 178.4975; pivotY: 245.966}
{file: Devana_Light_Combo_Part_2-41.png; pivotX: 169.898; pivotY: 249.8422}
{file: Devana_Light_Combo_Part_2-42.png; pivotX: 147.0007; pivotY: 252.7238}
{file: Devana_Light_Combo_Part_2-43.png; pivotX: 123.5155; pivotY: 256.5026}
{file: Devana_Light_Combo_Part_2-44.png; pivotX: 121.3587; pivotY: 261.4365}
{file: Devana_Light_Combo_Part_2-45.png; pivotX: 119.8252; pivotY: 265.6465}
{file: Devana_Light_Combo_Part_2-46.png; pivotX: 117.1905; pivotY: 269.8244}
{file: Devana_Light_Combo_Part_2-47.png; pivotX: 115.0801; pivotY: 275.0632}
{file: Devana_Light_Combo_Part_2-48.png; pivotX: 113.9898; pivotY: 282.3998}
{file: Devana_Light_Combo_Part_2-49.png; pivotX: 113.5611; pivotY: 291.5193}
{file: Devana_Light_Combo_Part_2-50.png; pivotX: 114.4509; pivotY: 298.3206}
{file: Devana_Light_Combo_Part_2-51.png; pivotX: 115.6878; pivotY: 301.5766}
{file: Devana_Light_Combo_Part_2-52.png; pivotX: 116.1829; pivotY: 304.9129}
{file: Devana_Light_Combo_Part_2-53.png; pivotX: 115.0565; pivotY: 306.8737}
{file: Devana_Light_Combo_Part_2-54.png; pivotX: 113.266; pivotY: 308.8342}
{file: Devana_Light_Combo_Part_2-55.png; pivotX: 110.6038; pivotY: 338.9088}
{file: Devana_Light_Combo_Part_2-56.png; pivotX: 108.6571; pivotY: 339.1798}
{file: Devana_Light_Combo_Part_2-57.png; pivotX: 105.4724; pivotY: 341.3293}
{file: Devana_Light_Combo_Part_2-58.png; pivotX: 101.6014; pivotY: 344.319}
{file: Devana_Light_Combo_Part_2-59.png; pivotX: 98.29595; pivotY: 345.3327}
{file: Devana_Light_Combo_Part_2-60.png; pivotX: 95.44718; pivotY: 346.3257}
{file: Devana_Light_Combo_Part_2-61.png; pivotX: 93.79019; pivotY: 346.3811}
{file: Devana_Light_Combo_Part_2-62.png; pivotX: 92.78331; pivotY: 345.3673}
{file: Devana_Light_Combo_Part_2-63.png; pivotX: 92.64108; pivotY: 345.0778}
{file: Devana_Light_Combo_Part_2-64.png; pivotX: 92.6953; pivotY: 342.8296}
{file: Devana_Light_Combo_Part_2-65.png; pivotX: 92.40044; pivotY: 341.6891}
{file: Devana_Light_Combo_Part_2-66.png; pivotX: 92.65297; pivotY: 339.9546}
{file: Devana_Light_Combo_Part_2-67.png; pivotX: 92.48148; pivotY: 338.764}
{file: Devana_Light_Combo_Part_2-68.png; pivotX: 92.37473; pivotY: 338.0457}
{file: Devana_Light_Combo_Part_2-69.png; pivotX: 92.19744; pivotY: 337.5937}
{file: Devana_Light_Combo_Part_2-70.png; pivotX: 92.01264; pivotY: 336.4782}
{file: Devana_Light_Combo_Part_2-71.png; pivotX: 91.34373; pivotY: 335.6089}
{file: Devana_Light_Combo_Part_2-72.png; pivotX: 91.21484; pivotY: 335.886}
{file: Devana_Light_Combo_Part_2-73.png; pivotX: 91.17078; pivotY: 335.4728}
{file: Devana_Light_Combo_Part_2-74.png; pivotX: 91.2405; pivotY: 335.2762}
{file: Devana_Light_Combo_Part_2-75.png; pivotX: 91.34813; pivotY: 335.2419}
{file: Devana_Light_Combo_Part_2-76.png; pivotX: 91.41244; pivotY: 335.3111}
{file: Devana_Light_Combo_Part_2-77.png; pivotX: 91.95048; pivotY: 335.4731}
{file: Devana_Light_Combo_Part_2-78.png; pivotX: 91.46645; pivotY: 335.7175}
{file: Devana_Light_Combo_Part_2-79.png; pivotX: 91.46488; pivotY: 336.0336}
{file: Devana_Light_Combo_Part_2-80.png; pivotX: 91.45076; pivotY: 336.4111}
{file: Devana_Light_Combo_Part_2-81.png; pivotX: 91.43542; pivotY: 335.9241}
{file: Devana_Light_Combo_Part_2-82.png; pivotX: 91.41416; pivotY: 336.3914}
{file: Devana_Light_Combo_Part_2-83.png; pivotX: 91.39985; pivotY: 336.8881}
{file: Devana_Light_Combo_Part_2-84.png; pivotX: 91.40051; pivotY: 337.4031}
{file: Devana_Light_Combo_Part_2-85.png; pivotX: 91.41128; pivotY: 337.9214}
{file: Devana_Light_Combo_Part_2-86.png; pivotX: 91.92114; pivotY: 338.4361}
{file: Devana_Light_Combo_Part_2-87.png; pivotX: 91.93111; pivotY: 338.936}
{file: Devana_Light_Combo_Part_2-88.png; pivotX: 91.94643; pivotY: 338.4847}
{file: Devana_Light_Combo_Part_2-89.png; pivotX: 91.9538; pivotY: 338.9193}
