{file: Devana_Light_Combo_Part_4-0.png; posX: 1.864655; posY: 0}
{file: Devana_Light_Combo_Part_4-1.png; posX: 1.862686; posY: 0.007609785}
{file: Devana_Light_Combo_Part_4-2.png; posX: 1.862334; posY: 0.01090574}
{file: Devana_Light_Combo_Part_4-3.png; posX: 1.86413; posY: 0.008441746}
{file: Devana_Light_Combo_Part_4-4.png; posX: 1.86861; posY: -0.001228333}
{file: Devana_Light_Combo_Part_4-5.png; posX: 1.876306; posY: -0.01661366}
{file: Devana_Light_Combo_Part_4-6.png; posX: 1.887751; posY: -0.03480101}
{file: Devana_Light_Combo_Part_4-7.png; posX: 1.903479; posY: -0.05510288}
{file: Devana_Light_Combo_Part_4-8.png; posX: 1.924022; posY: -0.07683194}
{file: Devana_Light_Combo_Part_4-9.png; posX: 1.954563; posY: -0.09930074}
{file: Devana_Light_Combo_Part_4-10.png; posX: 2.004663; posY: -0.1260052}
{file: Devana_Light_Combo_Part_4-11.png; posX: 2.081422; posY: -0.1578794}
{file: Devana_Light_Combo_Part_4-12.png; posX: 2.186246; posY: -0.1903932}
{file: Devana_Light_Combo_Part_4-13.png; posX: 2.306125; posY: -0.2190168}
{file: Devana_Light_Combo_Part_4-14.png; posX: 2.426536; posY: -0.2369989}
{file: Devana_Light_Combo_Part_4-15.png; posX: 2.532954; posY: -0.2398507}
{file: Devana_Light_Combo_Part_4-16.png; posX: 2.610857; posY: -0.2300323}
{file: Devana_Light_Combo_Part_4-17.png; posX: 2.651133; posY: -0.2123349}
{file: Devana_Light_Combo_Part_4-18.png; posX: 2.673051; posY: -0.1891187}
{file: Devana_Light_Combo_Part_4-19.png; posX: 2.704668; posY: -0.1627437}
{file: Devana_Light_Combo_Part_4-20.png; posX: 2.748349; posY: -0.13557}
{file: Devana_Light_Combo_Part_4-21.png; posX: 2.787881; posY: -0.1099576}
{file: Devana_Light_Combo_Part_4-22.png; posX: 2.823447; posY: -0.08954388}
{file: Devana_Light_Combo_Part_4-23.png; posX: 2.855232; posY: -0.07551867}
{file: Devana_Light_Combo_Part_4-24.png; posX: 2.883418; posY: -0.066571}
{file: Devana_Light_Combo_Part_4-25.png; posX: 2.90819; posY: -0.06139004}
{file: Devana_Light_Combo_Part_4-26.png; posX: 2.929732; posY: -0.05866498}
{file: Devana_Light_Combo_Part_4-27.png; posX: 2.951288; posY: -0.05708492}
{file: Devana_Light_Combo_Part_4-28.png; posX: 2.975701; posY: -0.05533898}
{file: Devana_Light_Combo_Part_4-29.png; posX: 3.002558; posY: -0.05373925}
{file: Devana_Light_Combo_Part_4-30.png; posX: 3.03144; posY: -0.05333936}
{file: Devana_Light_Combo_Part_4-31.png; posX: 3.061932; posY: -0.05394047}
{file: Devana_Light_Combo_Part_4-32.png; posX: 3.093618; posY: -0.05534393}
{file: Devana_Light_Combo_Part_4-33.png; posX: 3.126082; posY: -0.05735087}
{file: Devana_Light_Combo_Part_4-34.png; posX: 3.158907; posY: -0.05976278}
{file: Devana_Light_Combo_Part_4-35.png; posX: 3.191181; posY: -0.06238067}
{file: Devana_Light_Combo_Part_4-36.png; posX: 3.222312; posY: -0.06500596}
{file: Devana_Light_Combo_Part_4-37.png; posX: 3.252366; posY: -0.06743991}
{file: Devana_Light_Combo_Part_4-38.png; posX: 3.281409; posY: -0.06948376}
{file: Devana_Light_Combo_Part_4-39.png; posX: 3.309506; posY: -0.07093871}
{file: Devana_Light_Combo_Part_4-40.png; posX: 3.336726; posY: -0.07193786}
{file: Devana_Light_Combo_Part_4-41.png; posX: 3.363133; posY: -0.07273901}
{file: Devana_Light_Combo_Part_4-42.png; posX: 3.388794; posY: -0.07333076}
{file: Devana_Light_Combo_Part_4-43.png; posX: 3.413775; posY: -0.07370162}
{file: Devana_Light_Combo_Part_4-44.png; posX: 3.438142; posY: -0.07384026}
{file: Devana_Light_Combo_Part_4-45.png; posX: 3.461962; posY: -0.07373512}
{file: Devana_Light_Combo_Part_4-46.png; posX: 3.4853; posY: -0.07337487}
{file: Devana_Light_Combo_Part_4-47.png; posX: 3.508222; posY: -0.07274795}
{file: Devana_Light_Combo_Part_4-48.png; posX: 3.530796; posY: -0.07184309}
{file: Devana_Light_Combo_Part_4-49.png; posX: 3.553086; posY: -0.07064873}
{file: Devana_Light_Combo_Part_4-50.png; posX: 3.57516; posY: -0.06915349}
{file: Devana_Light_Combo_Part_4-51.png; posX: 3.597083; posY: -0.06734586}
{file: Devana_Light_Combo_Part_4-52.png; posX: 3.618922; posY: -0.06521451}
{file: Devana_Light_Combo_Part_4-53.png; posX: 3.640743; posY: -0.06274796}
{file: Devana_Light_Combo_Part_4-54.png; posX: 3.662611; posY: -0.05993474}
{file: Devana_Light_Combo_Part_4-55.png; posX: 3.684593; posY: -0.05676341}
{file: Devana_Light_Combo_Part_4-56.png; posX: 3.706756; posY: -0.05322266}
{file: Devana_Light_Combo_Part_4-57.png; posX: 3.729165; posY: -0.04930085}
{file: Devana_Light_Combo_Part_4-58.png; posX: 3.751887; posY: -0.04498672}
{file: Devana_Light_Combo_Part_4-59.png; posX: 3.774987; posY: -0.04026884}
{file: Devana_Light_Combo_Part_4-60.png; posX: 3.798532; posY: -0.03513563}
{file: Devana_Light_Combo_Part_4-61.png; posX: 3.822589; posY: -0.02980101}
{file: Devana_Light_Combo_Part_4-62.png; posX: 3.847223; posY: -0.02453262}
{file: Devana_Light_Combo_Part_4-63.png; posX: 3.8725; posY: -0.01939964}
{file: Devana_Light_Combo_Part_4-64.png; posX: 3.898487; posY: -0.01447117}
{file: Devana_Light_Combo_Part_4-65.png; posX: 3.92525; posY: -0.009816527}
{file: Devana_Light_Combo_Part_4-66.png; posX: 3.952855; posY: -0.005504787}
{file: Devana_Light_Combo_Part_4-67.png; posX: 3.979976; posY: -0.001605093}
{file: Devana_Light_Combo_Part_4-68.png; posX: 4.005282; posY: 0.001813293}
{file: Devana_Light_Combo_Part_4-69.png; posX: 4.028832; posY: 0.00468123}
{file: Devana_Light_Combo_Part_4-70.png; posX: 4.050684; posY: 0.006929517}
{file: Devana_Light_Combo_Part_4-71.png; posX: 4.070898; posY: 0.008489013}
{file: Devana_Light_Combo_Part_4-72.png; posX: 4.08953; posY: 0.009290457}
{file: Devana_Light_Combo_Part_4-73.png; posX: 4.106641; posY: 0.009264827}
{file: Devana_Light_Combo_Part_4-74.png; posX: 4.122288; posY: 0.008342803}
{file: Devana_Light_Combo_Part_4-75.png; posX: 4.13653; posY: 0.006455243}
{file: Devana_Light_Combo_Part_4-76.png; posX: 4.149425; posY: 0.003533006}
