{file: Devana_Medium_Combo_Part_1-0.png; posX: -0.0730767; posY: 0}
{file: Devana_Medium_Combo_Part_1-1.png; posX: -0.1270127; posY: -0.0364058}
{file: Devana_Medium_Combo_Part_1-2.png; posX: -0.1566849; posY: -0.05316657}
{file: Devana_Medium_Combo_Part_1-3.png; posX: -0.2006426; posY: -0.07473516}
{file: Devana_Medium_Combo_Part_1-4.png; posX: -0.2152868; posY: -0.08152068}
{file: Devana_Medium_Combo_Part_1-5.png; posX: -0.2220044; posY: -0.0806278}
{file: Devana_Medium_Combo_Part_1-6.png; posX: -0.2243417; posY: -0.0781672}
{file: Devana_Medium_Combo_Part_1-7.png; posX: -0.223968; posY: -0.0761264}
{file: Devana_Medium_Combo_Part_1-8.png; posX: -0.2129246; posY: -0.07231843}
{file: Devana_Medium_Combo_Part_1-9.png; posX: -0.1688036; posY: -0.06659216}
{file: Devana_Medium_Combo_Part_1-10.png; posX: 0.2576503; posY: -0.05879629}
{file: Devana_Medium_Combo_Part_1-11.png; posX: 0.3768993; posY: -0.04868251}
{file: Devana_Medium_Combo_Part_1-12.png; posX: 0.4794036; posY: -0.05262285}
{file: Devana_Medium_Combo_Part_1-13.png; posX: 0.5328646; posY: -0.05942786}
{file: Devana_Medium_Combo_Part_1-14.png; posX: 0.5772839; posY: -0.06224227}
{file: Devana_Medium_Combo_Part_1-15.png; posX: 0.6171853; posY: -0.06339461}
{file: Devana_Medium_Combo_Part_1-16.png; posX: 0.6504385; posY: -0.06323886}
{file: Devana_Medium_Combo_Part_1-17.png; posX: 0.6748475; posY: -0.06212884}
{file: Devana_Medium_Combo_Part_1-18.png; posX: 0.6935906; posY: -0.06041861}
{file: Devana_Medium_Combo_Part_1-19.png; posX: 0.709846; posY: -0.0584619}
{file: Devana_Medium_Combo_Part_1-20.png; posX: 0.7232253; posY: -0.05661273}
{file: Devana_Medium_Combo_Part_1-21.png; posX: 0.7325; posY: -0.05522501}
{file: Devana_Medium_Combo_Part_1-22.png; posX: 0.7395877; posY: -0.05465263}
{file: Devana_Medium_Combo_Part_1-23.png; posX: 0.7464064; posY: -0.05383664}
{file: Devana_Medium_Combo_Part_1-24.png; posX: 0.7548738; posY: -0.0516094}
{file: Devana_Medium_Combo_Part_1-25.png; posX: 0.7669078; posY: -0.04816163}
{file: Devana_Medium_Combo_Part_1-26.png; posX: 0.7820601; posY: -0.04368412}
{file: Devana_Medium_Combo_Part_1-27.png; posX: 0.7983162; posY: -0.03836757}
{file: Devana_Medium_Combo_Part_1-28.png; posX: 0.8152447; posY: -0.03240275}
{file: Devana_Medium_Combo_Part_1-29.png; posX: 0.8324139; posY: -0.02598035}
{file: Devana_Medium_Combo_Part_1-30.png; posX: 0.8493925; posY: -0.01929122}
{file: Devana_Medium_Combo_Part_1-31.png; posX: 0.8657491; posY: -0.01252598}
{file: Devana_Medium_Combo_Part_1-32.png; posX: 0.881052; posY: -0.005875528}
{file: Devana_Medium_Combo_Part_1-33.png; posX: 0.8948698; posY: 0.0004695654}
{file: Devana_Medium_Combo_Part_1-34.png; posX: 0.9067711; posY: 0.00631839}
{file: Devana_Medium_Combo_Part_1-35.png; posX: 0.9163243; posY: 0.01148027}
{file: Devana_Medium_Combo_Part_1-36.png; posX: 0.923098; posY: 0.01576453}
{file: Devana_Medium_Combo_Part_1-37.png; posX: 0.9266607; posY: 0.01934969}
{file: Devana_Medium_Combo_Part_1-38.png; posX: 0.926581; posY: 0.02254355}
{file: Devana_Medium_Combo_Part_1-39.png; posX: 0.9234428; posY: 0.0253492}
{file: Devana_Medium_Combo_Part_1-40.png; posX: 0.9183971; posY: 0.02776963}
{file: Devana_Medium_Combo_Part_1-41.png; posX: 0.9118624; posY: 0.02980793}
{file: Devana_Medium_Combo_Part_1-42.png; posX: 0.9042574; posY: 0.03146714}
{file: Devana_Medium_Combo_Part_1-43.png; posX: 0.8960004; posY: 0.03275031}
{file: Devana_Medium_Combo_Part_1-44.png; posX: 0.8875101; posY: 0.03366053}
{file: Devana_Medium_Combo_Part_1-45.png; posX: 0.8792052; posY: 0.03420079}
{file: Devana_Medium_Combo_Part_1-46.png; posX: 0.871504; posY: 0.03437412}
{file: Devana_Medium_Combo_Part_1-47.png; posX: 0.8648253; posY: 0.03418362}
{file: Devana_Medium_Combo_Part_1-48.png; posX: 0.8595876; posY: 0.03363234}
{file: Devana_Medium_Combo_Part_1-49.png; posX: 0.8562095; posY: 0.03272331}
{file: Devana_Medium_Combo_Part_1-50.png; posX: 0.8551095; posY: 0.03145957}
{file: Devana_Medium_Combo_Part_1-51.png; posX: 0.8555079; posY: 0.02984416}
{file: Devana_Medium_Combo_Part_1-52.png; posX: 0.8563167; posY: 0.02788019}
{file: Devana_Medium_Combo_Part_1-53.png; posX: 0.8574914; posY: 0.02557063}
{file: Devana_Medium_Combo_Part_1-54.png; posX: 0.8589876; posY: 0.02291858}
{file: Devana_Medium_Combo_Part_1-55.png; posX: 0.8607611; posY: 0.01992702}
{file: Devana_Medium_Combo_Part_1-56.png; posX: 0.8627675; posY: 0.01659912}
{file: Devana_Medium_Combo_Part_1-57.png; posX: 0.8649625; posY: 0.01293778}
{file: Devana_Medium_Combo_Part_1-58.png; posX: 0.8673016; posY: 0.00894618}
{file: Devana_Medium_Combo_Part_1-59.png; posX: 0.8697405; posY: 0.004627347}
{file: Devana_Medium_Combo_Part_1-60.png; posX: 0.8722351; posY: 0.0004097819}
{file: Devana_Medium_Combo_Part_1-61.png; posX: 0.8747407; posY: -0.003296912}
{file: Devana_Medium_Combo_Part_1-62.png; posX: 0.8772131; posY: -0.006518662}
{file: Devana_Medium_Combo_Part_1-63.png; posX: 0.879608; posY: -0.009281218}
{file: Devana_Medium_Combo_Part_1-64.png; posX: 0.881881; posY: -0.01161045}
