{file: Devana_Medium_Combo_Part_2-0.png; pivotX: 150.1686; pivotY: 300.9397}
{file: Devana_Medium_Combo_Part_2-1.png; pivotX: 148.4019; pivotY: 302.0438}
{file: Devana_Medium_Combo_Part_2-2.png; pivotX: 146.3353; pivotY: 302.9141}
{file: Devana_Medium_Combo_Part_2-3.png; pivotX: 144.3603; pivotY: 303.7421}
{file: Devana_Medium_Combo_Part_2-4.png; pivotX: 142.5614; pivotY: 303.5983}
{file: Devana_Medium_Combo_Part_2-5.png; pivotX: 140.0145; pivotY: 304.383}
{file: Devana_Medium_Combo_Part_2-6.png; pivotX: 137.9234; pivotY: 306.093}
{file: Devana_Medium_Combo_Part_2-7.png; pivotX: 135.6722; pivotY: 307.6657}
{file: Devana_Medium_Combo_Part_2-8.png; pivotX: 135.0846; pivotY: 308.9683}
{file: Devana_Medium_Combo_Part_2-9.png; pivotX: 133.3824; pivotY: 308.218}
{file: Devana_Medium_Combo_Part_2-10.png; pivotX: 131.8913; pivotY: 321.19}
{file: Devana_Medium_Combo_Part_2-11.png; pivotX: 130.0031; pivotY: 346.7351}
{file: Devana_Medium_Combo_Part_2-12.png; pivotX: 130.3402; pivotY: 351.6837}
{file: Devana_Medium_Combo_Part_2-13.png; pivotX: 130.972; pivotY: 343.3873}
{file: Devana_Medium_Combo_Part_2-14.png; pivotX: 129.6901; pivotY: 318.1742}
{file: Devana_Medium_Combo_Part_2-15.png; pivotX: 132.7437; pivotY: 276.1451}
{file: Devana_Medium_Combo_Part_2-16.png; pivotX: 141.3082; pivotY: 267.8685}
{file: Devana_Medium_Combo_Part_2-17.png; pivotX: 142.0409; pivotY: 264.4749}
{file: Devana_Medium_Combo_Part_2-18.png; pivotX: 134.2638; pivotY: 281.6466}
{file: Devana_Medium_Combo_Part_2-19.png; pivotX: 122.785; pivotY: 297.658}
{file: Devana_Medium_Combo_Part_2-20.png; pivotX: 120.1887; pivotY: 303.735}
{file: Devana_Medium_Combo_Part_2-21.png; pivotX: 117.8077; pivotY: 305.7502}
{file: Devana_Medium_Combo_Part_2-22.png; pivotX: 116.9969; pivotY: 306.532}
{file: Devana_Medium_Combo_Part_2-23.png; pivotX: 117.2876; pivotY: 305.4797}
{file: Devana_Medium_Combo_Part_2-24.png; pivotX: 116.8473; pivotY: 305.4974}
{file: Devana_Medium_Combo_Part_2-25.png; pivotX: 116.3033; pivotY: 304.5657}
{file: Devana_Medium_Combo_Part_2-26.png; pivotX: 115.8482; pivotY: 302.7265}
{file: Devana_Medium_Combo_Part_2-27.png; pivotX: 115.1388; pivotY: 299.9039}
{file: Devana_Medium_Combo_Part_2-28.png; pivotX: 115.0938; pivotY: 296.0151}
{file: Devana_Medium_Combo_Part_2-29.png; pivotX: 115.1034; pivotY: 290.8063}
{file: Devana_Medium_Combo_Part_2-30.png; pivotX: 114.702; pivotY: 286.6685}
{file: Devana_Medium_Combo_Part_2-31.png; pivotX: 114.9154; pivotY: 282.7412}
{file: Devana_Medium_Combo_Part_2-32.png; pivotX: 115.2109; pivotY: 280.8079}
{file: Devana_Medium_Combo_Part_2-33.png; pivotX: 115.5367; pivotY: 278.9099}
{file: Devana_Medium_Combo_Part_2-34.png; pivotX: 115.8371; pivotY: 278.9447}
{file: Devana_Medium_Combo_Part_2-35.png; pivotX: 116.1861; pivotY: 278.0883}
{file: Devana_Medium_Combo_Part_2-36.png; pivotX: 116.1242; pivotY: 278.2919}
{file: Devana_Medium_Combo_Part_2-37.png; pivotX: 116.587; pivotY: 279.4178}
{file: Devana_Medium_Combo_Part_2-38.png; pivotX: 116.4892; pivotY: 279.5594}
{file: Devana_Medium_Combo_Part_2-39.png; pivotX: 116.24; pivotY: 280.4552}
{file: Devana_Medium_Combo_Part_2-40.png; pivotX: 115.3401; pivotY: 281.2229}
{file: Devana_Medium_Combo_Part_2-41.png; pivotX: 114.3436; pivotY: 282.9852}
{file: Devana_Medium_Combo_Part_2-42.png; pivotX: 113.2309; pivotY: 283.8734}
{file: Devana_Medium_Combo_Part_2-43.png; pivotX: 112.5052; pivotY: 283.6938}
{file: Devana_Medium_Combo_Part_2-44.png; pivotX: 123.5125; pivotY: 282.4337}
{file: Devana_Medium_Combo_Part_2-45.png; pivotX: 142.9147; pivotY: 278.3168}
{file: Devana_Medium_Combo_Part_2-46.png; pivotX: 160.712; pivotY: 272.3745}
{file: Devana_Medium_Combo_Part_2-47.png; pivotX: 176.178; pivotY: 268.4082}
{file: Devana_Medium_Combo_Part_2-48.png; pivotX: 188.7041; pivotY: 273.284}
{file: Devana_Medium_Combo_Part_2-49.png; pivotX: 196.3724; pivotY: 278.2056}
{file: Devana_Medium_Combo_Part_2-50.png; pivotX: 199.2906; pivotY: 283.1545}
{file: Devana_Medium_Combo_Part_2-51.png; pivotX: 197.4067; pivotY: 288.0449}
{file: Devana_Medium_Combo_Part_2-52.png; pivotX: 190.9444; pivotY: 292.916}
{file: Devana_Medium_Combo_Part_2-53.png; pivotX: 181.2521; pivotY: 296.7734}
{file: Devana_Medium_Combo_Part_2-54.png; pivotX: 169.6747; pivotY: 300.7063}
{file: Devana_Medium_Combo_Part_2-55.png; pivotX: 157.8489; pivotY: 303.8171}
{file: Devana_Medium_Combo_Part_2-56.png; pivotX: 188.9541; pivotY: 306.9725}
{file: Devana_Medium_Combo_Part_2-57.png; pivotX: 107.7422; pivotY: 324.0534}
{file: Devana_Medium_Combo_Part_2-58.png; pivotX: 102.8639; pivotY: 327.1176}
{file: Devana_Medium_Combo_Part_2-59.png; pivotX: 100.4232; pivotY: 329.2556}
{file: Devana_Medium_Combo_Part_2-60.png; pivotX: 99.78593; pivotY: 331.392}
{file: Devana_Medium_Combo_Part_2-61.png; pivotX: 99.02623; pivotY: 333.4973}
{file: Devana_Medium_Combo_Part_2-62.png; pivotX: 98.56355; pivotY: 335.5516}
{file: Devana_Medium_Combo_Part_2-63.png; pivotX: 98.1519; pivotY: 337.5514}
{file: Devana_Medium_Combo_Part_2-64.png; pivotX: 97.81728; pivotY: 338.5478}
{file: Devana_Medium_Combo_Part_2-65.png; pivotX: 97.31345; pivotY: 339.9319}
{file: Devana_Medium_Combo_Part_2-66.png; pivotX: 96.49561; pivotY: 340.2797}
{file: Devana_Medium_Combo_Part_2-67.png; pivotX: 95.86764; pivotY: 340.8574}
{file: Devana_Medium_Combo_Part_2-68.png; pivotX: 95.32592; pivotY: 340.726}
{file: Devana_Medium_Combo_Part_2-69.png; pivotX: 94.96561; pivotY: 340.8371}
{file: Devana_Medium_Combo_Part_2-70.png; pivotX: 94.54337; pivotY: 340.2395}
{file: Devana_Medium_Combo_Part_2-71.png; pivotX: 93.66422; pivotY: 339.7736}
{file: Devana_Medium_Combo_Part_2-72.png; pivotX: 93.40079; pivotY: 339.376}
{file: Devana_Medium_Combo_Part_2-73.png; pivotX: 93.04333; pivotY: 338.1392}
{file: Devana_Medium_Combo_Part_2-74.png; pivotX: 92.67198; pivotY: 337.9433}
{file: Devana_Medium_Combo_Part_2-75.png; pivotX: 92.36586; pivotY: 336.9584}
{file: Devana_Medium_Combo_Part_2-76.png; pivotX: 92.10719; pivotY: 336.1222}
{file: Devana_Medium_Combo_Part_2-77.png; pivotX: 91.87542; pivotY: 335.4372}
{file: Devana_Medium_Combo_Part_2-78.png; pivotX: 91.65218; pivotY: 334.9017}
{file: Devana_Medium_Combo_Part_2-79.png; pivotX: 91.46521; pivotY: 334.5893}
{file: Devana_Medium_Combo_Part_2-80.png; pivotX: 91.84857; pivotY: 334.4909}
{file: Devana_Medium_Combo_Part_2-81.png; pivotX: 91.77532; pivotY: 334.4916}
{file: Devana_Medium_Combo_Part_2-82.png; pivotX: 91.71528; pivotY: 334.5667}
{file: Devana_Medium_Combo_Part_2-83.png; pivotX: 91.65857; pivotY: 334.6916}
{file: Devana_Medium_Combo_Part_2-84.png; pivotX: 91.60712; pivotY: 334.8418}
{file: Devana_Medium_Combo_Part_2-85.png; pivotX: 92.06176; pivotY: 334.9925}
