{file: Devana_Medium_Combo_Part_2-0.png; posX: 0.8129873; posY: 0}
{file: Devana_Medium_Combo_Part_2-1.png; posX: 0.8256385; posY: 0.003533244}
{file: Devana_Medium_Combo_Part_2-2.png; posX: 0.8379111; posY: 0.007430375}
{file: Devana_Medium_Combo_Part_2-3.png; posX: 0.8505648; posY: 0.01158947}
{file: Devana_Medium_Combo_Part_2-4.png; posX: 0.8643588; posY: 0.01590866}
{file: Devana_Medium_Combo_Part_2-5.png; posX: 0.8800527; posY: 0.02028602}
{file: Devana_Medium_Combo_Part_2-6.png; posX: 0.898406; posY: 0.0246197}
{file: Devana_Medium_Combo_Part_2-7.png; posX: 0.9201781; posY: 0.02880776}
{file: Devana_Medium_Combo_Part_2-8.png; posX: 0.9489785; posY: 0.03274828}
{file: Devana_Medium_Combo_Part_2-9.png; posX: 0.9838333; posY: 0.03633946}
{file: Devana_Medium_Combo_Part_2-10.png; posX: 1.018627; posY: 0.03947932}
{file: Devana_Medium_Combo_Part_2-11.png; posX: 1.047243; posY: 0.04042393}
{file: Devana_Medium_Combo_Part_2-12.png; posX: 1.063566; posY: 0.03800505}
{file: Devana_Medium_Combo_Part_2-13.png; posX: 1.07142; posY: 0.0329845}
{file: Devana_Medium_Combo_Part_2-14.png; posX: 1.078016; posY: 0.026124}
{file: Devana_Medium_Combo_Part_2-15.png; posX: 1.082325; posY: 0.01818532}
{file: Devana_Medium_Combo_Part_2-16.png; posX: 1.083315; posY: 0.009930193}
{file: Devana_Medium_Combo_Part_2-17.png; posX: 1.079956; posY: 0.002120376}
{file: Devana_Medium_Combo_Part_2-18.png; posX: 1.072137; posY: -0.005667388}
{file: Devana_Medium_Combo_Part_2-19.png; posX: 1.06194; posY: -0.0140276}
{file: Devana_Medium_Combo_Part_2-20.png; posX: 1.051623; posY: -0.02245539}
{file: Devana_Medium_Combo_Part_2-21.png; posX: 1.043446; posY: -0.03044575}
{file: Devana_Medium_Combo_Part_2-22.png; posX: 1.039667; posY: -0.03749382}
{file: Devana_Medium_Combo_Part_2-23.png; posX: 1.039077; posY: -0.04309458}
{file: Devana_Medium_Combo_Part_2-24.png; posX: 1.038913; posY: -0.04674315}
{file: Devana_Medium_Combo_Part_2-25.png; posX: 1.039104; posY: -0.04916668}
{file: Devana_Medium_Combo_Part_2-26.png; posX: 1.039576; posY: -0.05142009}
{file: Devana_Medium_Combo_Part_2-27.png; posX: 1.040257; posY: -0.05348998}
{file: Devana_Medium_Combo_Part_2-28.png; posX: 1.041075; posY: -0.05536288}
{file: Devana_Medium_Combo_Part_2-29.png; posX: 1.041958; posY: -0.05702543}
{file: Devana_Medium_Combo_Part_2-30.png; posX: 1.042832; posY: -0.05846417}
{file: Devana_Medium_Combo_Part_2-31.png; posX: 1.043626; posY: -0.05966568}
{file: Devana_Medium_Combo_Part_2-32.png; posX: 1.044268; posY: -0.06061661}
{file: Devana_Medium_Combo_Part_2-33.png; posX: 1.044683; posY: -0.0613035}
{file: Devana_Medium_Combo_Part_2-34.png; posX: 1.044802; posY: -0.06171292}
{file: Devana_Medium_Combo_Part_2-35.png; posX: 1.04455; posY: -0.06183147}
