{file: Devana_Special_1-0.png; pivotX: 91.96709; pivotY: 313.7614}
{file: Devana_Special_1-1.png; pivotX: 91.81891; pivotY: 313.9166}
{file: Devana_Special_1-2.png; pivotX: 89.59956; pivotY: 314.7704}
{file: Devana_Special_1-3.png; pivotX: 84.2308; pivotY: 317.4654}
{file: Devana_Special_1-4.png; pivotX: 81.30914; pivotY: 319.0226}
{file: Devana_Special_1-5.png; pivotX: 79.14139; pivotY: 321.0024}
{file: Devana_Special_1-6.png; pivotX: 77.32703; pivotY: 323.1588}
{file: Devana_Special_1-7.png; pivotX: 76.59662; pivotY: 325.1484}
{file: Devana_Special_1-8.png; pivotX: 76.61479; pivotY: 326.7792}
{file: Devana_Special_1-9.png; pivotX: 77.09532; pivotY: 328.6395}
{file: Devana_Special_1-10.png; pivotX: 78.70391; pivotY: 330.494}
{file: Devana_Special_1-11.png; pivotX: 80.31038; pivotY: 332.4149}
{file: Devana_Special_1-12.png; pivotX: 80.85267; pivotY: 333.4673}
{file: Devana_Special_1-13.png; pivotX: 81.84267; pivotY: 334.4198}
{file: Devana_Special_1-14.png; pivotX: 81.62268; pivotY: 334.4887}
{file: Devana_Special_1-15.png; pivotX: 81.90546; pivotY: 334.5519}
{file: Devana_Special_1-16.png; pivotX: 81.90062; pivotY: 334.545}
{file: Devana_Special_1-17.png; pivotX: 82.08694; pivotY: 334.4906}
{file: Devana_Special_1-18.png; pivotX: 81.8951; pivotY: 334.4685}
{file: Devana_Special_1-19.png; pivotX: 81.76999; pivotY: 334.4514}
{file: Devana_Special_1-20.png; pivotX: 81.70399; pivotY: 334.4563}
{file: Devana_Special_1-21.png; pivotX: 81.71779; pivotY: 334.4969}
{file: Devana_Special_1-22.png; pivotX: 81.21635; pivotY: 334.5221}
{file: Devana_Special_1-23.png; pivotX: 84.25392; pivotY: 332.7349}
{file: Devana_Special_1-24.png; pivotX: 89.2931; pivotY: 330.8291}
{file: Devana_Special_1-25.png; pivotX: 91.1981; pivotY: 329.6078}
{file: Devana_Special_1-26.png; pivotX: 91.48923; pivotY: 328.351}
{file: Devana_Special_1-27.png; pivotX: 91.40092; pivotY: 327.5882}
{file: Devana_Special_1-28.png; pivotX: 90.57767; pivotY: 326.808}
{file: Devana_Special_1-29.png; pivotX: 89.03606; pivotY: 326.573}
{file: Devana_Special_1-30.png; pivotX: 87.46635; pivotY: 325.4719}
{file: Devana_Special_1-31.png; pivotX: 85.83813; pivotY: 325.6571}
{file: Devana_Special_1-32.png; pivotX: 84.26502; pivotY: 324.9175}
{file: Devana_Special_1-33.png; pivotX: 81.94928; pivotY: 325.041}
{file: Devana_Special_1-34.png; pivotX: 80.14247; pivotY: 324.0605}
{file: Devana_Special_1-35.png; pivotX: 79.23643; pivotY: 324.0576}
{file: Devana_Special_1-36.png; pivotX: 81.05035; pivotY: 324.1549}
{file: Devana_Special_1-37.png; pivotX: 82.34704; pivotY: 323.231}
{file: Devana_Special_1-38.png; pivotX: 83.65505; pivotY: 323.16}
{file: Devana_Special_1-39.png; pivotX: 85.21148; pivotY: 322.911}
{file: Devana_Special_1-40.png; pivotX: 86.42023; pivotY: 322.6931}
{file: Devana_Special_1-41.png; pivotX: 87.22986; pivotY: 321.8008}
{file: Devana_Special_1-42.png; pivotX: 88.12676; pivotY: 320.9195}
{file: Devana_Special_1-43.png; pivotX: 88.35376; pivotY: 320.7369}
{file: Devana_Special_1-44.png; pivotX: 88.81118; pivotY: 319.6433}
{file: Devana_Special_1-45.png; pivotX: 89.78671; pivotY: 318.992}
{file: Devana_Special_1-46.png; pivotX: 90.15605; pivotY: 318.2949}
{file: Devana_Special_1-47.png; pivotX: 90.62838; pivotY: 317.9185}
{file: Devana_Special_1-48.png; pivotX: 90.70309; pivotY: 316.5488}
{file: Devana_Special_1-49.png; pivotX: 90.83244; pivotY: 315.5881}
{file: Devana_Special_1-50.png; pivotX: 91.46729; pivotY: 314.6878}
{file: Devana_Special_1-51.png; pivotX: 91.65428; pivotY: 314.7451}
{file: Devana_Special_1-52.png; pivotX: 91.7983; pivotY: 313.828}
{file: Devana_Special_1-53.png; pivotX: 91.90646; pivotY: 313.8652}
{file: Devana_Special_1-54.png; pivotX: 92.0382; pivotY: 313.8568}
{file: Devana_Special_1-55.png; pivotX: 92.06787; pivotY: 313.8021}
