{file: Devana_Special_1-0.png; posX: 2.980232E-10; posY: 0}
{file: Devana_Special_1-1.png; posX: -0.004922833; posY: 0.002587378}
{file: Devana_Special_1-2.png; posX: -0.01412927; posY: 0.01051229}
{file: Devana_Special_1-3.png; posX: -0.03812178; posY: 0.03117156}
{file: Devana_Special_1-4.png; posX: -0.06252735; posY: 0.05239695}
{file: Devana_Special_1-5.png; posX: -0.07388053; posY: 0.0634464}
{file: Devana_Special_1-6.png; posX: -0.07996109; posY: 0.06869793}
{file: Devana_Special_1-7.png; posX: -0.08452573; posY: 0.07161403}
{file: Devana_Special_1-8.png; posX: -0.08617818; posY: 0.07565713}
{file: Devana_Special_1-9.png; posX: -0.08382758; posY: 0.0814966}
{file: Devana_Special_1-10.png; posX: -0.07893077; posY: 0.08727992}
{file: Devana_Special_1-11.png; posX: -0.07332796; posY: 0.09268665}
{file: Devana_Special_1-12.png; posX: -0.06885935; posY: 0.09739643}
{file: Devana_Special_1-13.png; posX: -0.06680357; posY: 0.1010887}
{file: Devana_Special_1-14.png; posX: -0.06646729; posY: 0.1034432}
{file: Devana_Special_1-15.png; posX: -0.06673279; posY: 0.1041394}
{file: Devana_Special_1-16.png; posX: -0.06686869; posY: 0.1039751}
{file: Devana_Special_1-17.png; posX: -0.06694402; posY: 0.1038581}
{file: Devana_Special_1-18.png; posX: -0.06704171; posY: 0.1036327}
{file: Devana_Special_1-19.png; posX: -0.0672447; posY: 0.1031436}
{file: Devana_Special_1-20.png; posX: -0.06763592; posY: 0.1022352}
{file: Devana_Special_1-21.png; posX: -0.0680698; posY: 0.1007519}
{file: Devana_Special_1-22.png; posX: -0.07067814; posY: 0.09853834}
{file: Devana_Special_1-23.png; posX: -0.07775978; posY: 0.09543878}
{file: Devana_Special_1-24.png; posX: -0.08673666; posY: 0.09129786}
{file: Devana_Special_1-25.png; posX: -0.09536336; posY: 0.086757}
{file: Devana_Special_1-26.png; posX: -0.1024974; posY: 0.08253294}
{file: Devana_Special_1-27.png; posX: -0.1065388; posY: 0.07858312}
{file: Devana_Special_1-28.png; posX: -0.1089541; posY: 0.07486486}
{file: Devana_Special_1-29.png; posX: -0.1113733; posY: 0.07133555}
{file: Devana_Special_1-30.png; posX: -0.1115085; posY: 0.06795269}
{file: Devana_Special_1-31.png; posX: -0.1072917; posY: 0.06467354}
{file: Devana_Special_1-32.png; posX: -0.09956916; posY: 0.06145561}
{file: Devana_Special_1-33.png; posX: -0.08866274; posY: 0.05825621}
{file: Devana_Special_1-34.png; posX: -0.07753585; posY: 0.05503273}
{file: Devana_Special_1-35.png; posX: -0.06936592; posY: 0.05185843}
{file: Devana_Special_1-36.png; posX: -0.06248331; posY: 0.04880667}
{file: Devana_Special_1-37.png; posX: -0.05565272; posY: 0.04583508}
{file: Devana_Special_1-38.png; posX: -0.04801456; posY: 0.04290116}
{file: Devana_Special_1-39.png; posX: -0.03812524; posY: 0.03996259}
{file: Devana_Special_1-40.png; posX: -0.02933227; posY: 0.03697687}
{file: Devana_Special_1-41.png; posX: -0.02527851; posY: 0.03390169}
{file: Devana_Special_1-42.png; posX: -0.02268722; posY: 0.03069454}
{file: Devana_Special_1-43.png; posX: -0.0190482; posY: 0.02731311}
{file: Devana_Special_1-44.png; posX: -0.0157046; posY: 0.0237149}
{file: Devana_Special_1-45.png; posX: -0.01391731; posY: 0.01985759}
{file: Devana_Special_1-46.png; posX: -0.01208142; posY: 0.01569867}
{file: Devana_Special_1-47.png; posX: -0.008392993; posY: 0.01119578}
{file: Devana_Special_1-48.png; posX: -0.004710092; posY: 0.006306529}
{file: Devana_Special_1-49.png; posX: -0.002555863; posY: 0.002033114}
{file: Devana_Special_1-50.png; posX: -0.001131164; posY: -0.0007590055}
{file: Devana_Special_1-51.png; posX: -0.000139171; posY: -0.00231725}
{file: Devana_Special_1-52.png; posX: 0.0004038715; posY: -0.002888978}
{file: Devana_Special_1-53.png; posX: 0.0005151244; posY: -0.002721667}
{file: Devana_Special_1-54.png; posX: 0.0003912072; posY: -0.002062738}
{file: Devana_Special_1-55.png; posX: 0.0002388947; posY: -0.001159608}
