{file: Devana_Special_2_Part_1-0.png; posX: 2.980232E-10; posY: 0}
{file: Devana_Special_2_Part_1-1.png; posX: 0.02384987; posY: 0.009568155}
{file: Devana_Special_2_Part_1-2.png; posX: 0.04900061; posY: 0.01852536}
{file: Devana_Special_2_Part_1-3.png; posX: 0.07589662; posY: 0.02553469}
{file: Devana_Special_2_Part_1-4.png; posX: 0.1084083; posY: 0.02925926}
{file: Devana_Special_2_Part_1-5.png; posX: 0.1506215; posY: 0.02836215}
{file: Devana_Special_2_Part_1-6.png; posX: 0.1985968; posY: 0.02426362}
{file: Devana_Special_2_Part_1-7.png; posX: 0.2482417; posY: 0.02082509}
{file: Devana_Special_2_Part_1-8.png; posX: 0.2988754; posY: 0.0203715}
{file: Devana_Special_2_Part_1-9.png; posX: 0.3497324; posY: 0.02522773}
{file: Devana_Special_2_Part_1-10.png; posX: 0.4000475; posY: 0.03771877}
{file: Devana_Special_2_Part_1-11.png; posX: 0.4490554; posY: 0.06016952}
{file: Devana_Special_2_Part_1-12.png; posX: 0.4959907; posY: 0.09239799}
{file: Devana_Special_2_Part_1-13.png; posX: 0.5415999; posY: 0.1309908}
{file: Devana_Special_2_Part_1-14.png; posX: 0.5872896; posY: 0.1734259}
{file: Devana_Special_2_Part_1-15.png; posX: 0.6332842; posY: 0.2171809}
{file: Devana_Special_2_Part_1-16.png; posX: 0.6798083; posY: 0.2597339}
{file: Devana_Special_2_Part_1-17.png; posX: 0.7270862; posY: 0.2985626}
{file: Devana_Special_2_Part_1-18.png; posX: 0.7753426; posY: 0.3312343}
{file: Devana_Special_2_Part_1-19.png; posX: 0.8229343; posY: 0.3561776}
{file: Devana_Special_2_Part_1-20.png; posX: 0.8678216; posY: 0.3721623}
{file: Devana_Special_2_Part_1-21.png; posX: 0.909635; posY: 0.3779582}
{file: Devana_Special_2_Part_1-22.png; posX: 0.9480045; posY: 0.3723353}
{file: Devana_Special_2_Part_1-23.png; posX: 0.9825603; posY: 0.3564919}
{file: Devana_Special_2_Part_1-24.png; posX: 1.01743; posY: 0.3330327}
{file: Devana_Special_2_Part_1-25.png; posX: 1.056523; posY: 0.3028365}
{file: Devana_Special_2_Part_1-26.png; posX: 1.099147; posY: 0.2667816}
{file: Devana_Special_2_Part_1-27.png; posX: 1.144607; posY: 0.2257473}
{file: Devana_Special_2_Part_1-28.png; posX: 1.192208; posY: 0.1845854}
{file: Devana_Special_2_Part_1-29.png; posX: 1.241257; posY: 0.147317}
{file: Devana_Special_2_Part_1-30.png; posX: 1.28558; posY: 0.1135739}
{file: Devana_Special_2_Part_1-31.png; posX: 1.319441; posY: 0.08298784}
{file: Devana_Special_2_Part_1-32.png; posX: 1.342797; posY: 0.05519044}
{file: Devana_Special_2_Part_1-33.png; posX: 1.355602; posY: 0.02981353}
{file: Devana_Special_2_Part_1-34.png; posX: 1.369059; posY: 0.008890986}
{file: Devana_Special_2_Part_1-35.png; posX: 1.397617; posY: -0.006428838}
{file: Devana_Special_2_Part_1-36.png; posX: 1.435824; posY: -0.01784313}
{file: Devana_Special_2_Part_1-37.png; posX: 1.474716; posY: -0.02704895}
{file: Devana_Special_2_Part_1-38.png; posX: 1.513859; posY: -0.03574318}
{file: Devana_Special_2_Part_1-39.png; posX: 1.552817; posY: -0.04397714}
{file: Devana_Special_2_Part_1-40.png; posX: 1.591154; posY: -0.05063647}
{file: Devana_Special_2_Part_1-41.png; posX: 1.628435; posY: -0.0556702}
{file: Devana_Special_2_Part_1-42.png; posX: 1.664225; posY: -0.05902708}
{file: Devana_Special_2_Part_1-43.png; posX: 1.698087; posY: -0.06065601}
{file: Devana_Special_2_Part_1-44.png; posX: 1.729588; posY: -0.06050593}
{file: Devana_Special_2_Part_1-45.png; posX: 1.758666; posY: -0.05852568}
{file: Devana_Special_2_Part_1-46.png; posX: 1.785499; posY: -0.05466419}
{file: Devana_Special_2_Part_1-47.png; posX: 1.810011; posY: -0.04887027}
{file: Devana_Special_2_Part_1-48.png; posX: 1.832126; posY: -0.04109287}
{file: Devana_Special_2_Part_1-49.png; posX: 1.851768; posY: -0.03128082}
{file: Devana_Special_2_Part_1-50.png; posX: 1.868861; posY: -0.02124161}
{file: Devana_Special_2_Part_1-51.png; posX: 1.883327; posY: -0.01275009}
{file: Devana_Special_2_Part_1-52.png; posX: 1.895092; posY: -0.005706608}
{file: Devana_Special_2_Part_1-53.png; posX: 1.904078; posY: -1.138449E-05}
{file: Devana_Special_2_Part_1-54.png; posX: 1.91021; posY: 0.00443542}
{file: Devana_Special_2_Part_1-55.png; posX: 1.913411; posY: 0.007733524}
{file: Devana_Special_2_Part_1-56.png; posX: 1.91482; posY: 0.009982705}
{file: Devana_Special_2_Part_1-57.png; posX: 1.915675; posY: 0.01128274}
{file: Devana_Special_2_Part_1-58.png; posX: 1.916056; posY: 0.01173341}
{file: Devana_Special_2_Part_1-59.png; posX: 1.916039; posY: 0.01143444}
{file: Devana_Special_2_Part_1-60.png; posX: 1.915703; posY: 0.01048565}
{file: Devana_Special_2_Part_1-61.png; posX: 1.915124; posY: 0.008986771}
{file: Devana_Special_2_Part_1-62.png; posX: 1.914381; posY: 0.00703758}
{file: Devana_Special_2_Part_1-63.png; posX: 1.913551; posY: 0.004737854}
{file: Devana_Special_2_Part_1-64.png; posX: 1.912711; posY: 0.002187431}
{file: Devana_Special_2_Part_1-65.png; posX: 1.91194; posY: -0.0005140901}
{file: Devana_Special_2_Part_1-66.png; posX: 1.911315; posY: -0.003266752}
{file: Devana_Special_2_Part_1-67.png; posX: 1.910913; posY: -0.005970895}
{file: Devana_Special_2_Part_1-68.png; posX: 1.910812; posY: -0.00834024}
{file: Devana_Special_2_Part_1-69.png; posX: 1.91109; posY: -0.01018184}
{file: Devana_Special_2_Part_1-70.png; posX: 1.911825; posY: -0.01153618}
{file: Devana_Special_2_Part_1-71.png; posX: 1.913093; posY: -0.0124436}
{file: Devana_Special_2_Part_1-72.png; posX: 1.914446; posY: -0.0129444}
{file: Devana_Special_2_Part_1-73.png; posX: 1.915415; posY: -0.01307899}
{file: Devana_Special_2_Part_1-74.png; posX: 1.916048; posY: -0.01288778}
{file: Devana_Special_2_Part_1-75.png; posX: 1.916392; posY: -0.01241112}
{file: Devana_Special_2_Part_1-76.png; posX: 1.916496; posY: -0.01168931}
{file: Devana_Special_2_Part_1-77.png; posX: 1.916408; posY: -0.01076281}
{file: Devana_Special_2_Part_1-78.png; posX: 1.916176; posY: -0.009671986}
{file: Devana_Special_2_Part_1-79.png; posX: 1.915848; posY: -0.008457124}
{file: Devana_Special_2_Part_1-80.png; posX: 1.915472; posY: -0.007158697}
{file: Devana_Special_2_Part_1-81.png; posX: 1.915095; posY: -0.005816936}
{file: Devana_Special_2_Part_1-82.png; posX: 1.914767; posY: -0.004472375}
{file: Devana_Special_2_Part_1-83.png; posX: 1.914535; posY: -0.003165305}
