{file: Devana_Special_2_Part_3-0.png; posX: 1.937858; posY: 0}
{file: Devana_Special_2_Part_3-1.png; posX: 1.940605; posY: -0.0001428127}
{file: Devana_Special_2_Part_3-2.png; posX: 1.941944; posY: 0.0008334517}
{file: Devana_Special_2_Part_3-3.png; posX: 1.942189; posY: 0.002719223}
{file: Devana_Special_2_Part_3-4.png; posX: 1.941655; posY: 0.005304933}
{file: Devana_Special_2_Part_3-5.png; posX: 1.940655; posY: 0.008381009}
{file: Devana_Special_2_Part_3-6.png; posX: 1.939505; posY: 0.01173776}
{file: Devana_Special_2_Part_3-7.png; posX: 1.938518; posY: 0.01516569}
{file: Devana_Special_2_Part_3-8.png; posX: 1.93801; posY: 0.01845509}
{file: Devana_Special_2_Part_3-9.png; posX: 1.938294; posY: 0.02139652}
{file: Devana_Special_2_Part_3-10.png; posX: 1.939685; posY: 0.02378029}
{file: Devana_Special_2_Part_3-11.png; posX: 1.942497; posY: 0.02539682}
{file: Devana_Special_2_Part_3-12.png; posX: 1.955268; posY: 0.0260365}
{file: Devana_Special_2_Part_3-13.png; posX: 1.983962; posY: 0.02548981}
{file: Devana_Special_2_Part_3-14.png; posX: 2.025037; posY: 0.02354711}
{file: Devana_Special_2_Part_3-15.png; posX: 2.074949; posY: 0.01999879}
{file: Devana_Special_2_Part_3-16.png; posX: 2.130154; posY: 0.01561469}
{file: Devana_Special_2_Part_3-17.png; posX: 2.187109; posY: 0.01127493}
{file: Devana_Special_2_Part_3-18.png; posX: 2.242271; posY: 0.006935239}
{file: Devana_Special_2_Part_3-19.png; posX: 2.295758; posY: 0.002551377}
{file: Devana_Special_2_Part_3-20.png; posX: 2.349804; posY: -0.001920938}
{file: Devana_Special_2_Part_3-21.png; posX: 2.404037; posY: -0.006525934}
{file: Devana_Special_2_Part_3-22.png; posX: 2.458087; posY: -0.0113079}
{file: Devana_Special_2_Part_3-23.png; posX: 2.511581; posY: -0.01631105}
{file: Devana_Special_2_Part_3-24.png; posX: 2.564149; posY: -0.02157962}
{file: Devana_Special_2_Part_3-25.png; posX: 2.615419; posY: -0.0271579}
{file: Devana_Special_2_Part_3-26.png; posX: 2.66502; posY: -0.03495127}
{file: Devana_Special_2_Part_3-27.png; posX: 2.71258; posY: -0.0454424}
{file: Devana_Special_2_Part_3-28.png; posX: 2.753198; posY: -0.05654174}
{file: Devana_Special_2_Part_3-29.png; posX: 2.783238; posY: -0.06615961}
{file: Devana_Special_2_Part_3-30.png; posX: 2.804229; posY: -0.0722065}
{file: Devana_Special_2_Part_3-31.png; posX: 2.817703; posY: -0.07259268}
{file: Devana_Special_2_Part_3-32.png; posX: 2.825188; posY: -0.06965172}
{file: Devana_Special_2_Part_3-33.png; posX: 2.828216; posY: -0.06708205}
{file: Devana_Special_2_Part_3-34.png; posX: 2.828315; posY: -0.06484151}
{file: Devana_Special_2_Part_3-35.png; posX: 2.827017; posY: -0.06288791}
{file: Devana_Special_2_Part_3-36.png; posX: 2.82585; posY: -0.0611791}
{file: Devana_Special_2_Part_3-37.png; posX: 2.826344; posY: -0.05967283}
{file: Devana_Special_2_Part_3-38.png; posX: 2.828131; posY: -0.05832696}
{file: Devana_Special_2_Part_3-39.png; posX: 2.829823; posY: -0.05709934}
{file: Devana_Special_2_Part_3-40.png; posX: 2.83142; posY: -0.05594772}
