{file: Devana_Special_2_Part_4-0.png; pivotX: 100.1377; pivotY: 274.6385}
{file: Devana_Special_2_Part_4-1.png; pivotX: 101.2321; pivotY: 274.6375}
{file: Devana_Special_2_Part_4-2.png; pivotX: 102.3513; pivotY: 275.6764}
{file: Devana_Special_2_Part_4-3.png; pivotX: 103.3976; pivotY: 276.7464}
{file: Devana_Special_2_Part_4-4.png; pivotX: 104.7377; pivotY: 278.692}
{file: Devana_Special_2_Part_4-5.png; pivotX: 104.954; pivotY: 279.5877}
{file: Devana_Special_2_Part_4-6.png; pivotX: 105.7086; pivotY: 281.5107}
{file: Devana_Special_2_Part_4-7.png; pivotX: 108.448; pivotY: 282.4584}
{file: Devana_Special_2_Part_4-8.png; pivotX: 107.509; pivotY: 282.52}
{file: Devana_Special_2_Part_4-9.png; pivotX: 98.07932; pivotY: 281.6736}
{file: Devana_Special_2_Part_4-10.png; pivotX: 82.34209; pivotY: 280.9632}
{file: Devana_Special_2_Part_4-11.png; pivotX: 56.58936; pivotY: 279.4196}
{file: Devana_Special_2_Part_4-12.png; pivotX: 47.17981; pivotY: 277.9948}
{file: Devana_Special_2_Part_4-13.png; pivotX: 46.50295; pivotY: 281.4806}
{file: Devana_Special_2_Part_4-14.png; pivotX: 45.45667; pivotY: 288.012}
{file: Devana_Special_2_Part_4-15.png; pivotX: 45.79305; pivotY: 295.9213}
{file: Devana_Special_2_Part_4-16.png; pivotX: 66.29707; pivotY: 304.9583}
{file: Devana_Special_2_Part_4-17.png; pivotX: 82.15816; pivotY: 313.0471}
{file: Devana_Special_2_Part_4-18.png; pivotX: 87.41877; pivotY: 320.3239}
{file: Devana_Special_2_Part_4-19.png; pivotX: 80.39173; pivotY: 325.6529}
{file: Devana_Special_2_Part_4-20.png; pivotX: 69.57504; pivotY: 326.4308}
{file: Devana_Special_2_Part_4-21.png; pivotX: 66.01144; pivotY: 323.6231}
{file: Devana_Special_2_Part_4-22.png; pivotX: 67.26024; pivotY: 318.1238}
{file: Devana_Special_2_Part_4-23.png; pivotX: 63.81561; pivotY: 308.7266}
{file: Devana_Special_2_Part_4-24.png; pivotX: 79.83728; pivotY: 300.4614}
{file: Devana_Special_2_Part_4-25.png; pivotX: 81.73488; pivotY: 295.3005}
{file: Devana_Special_2_Part_4-26.png; pivotX: 94.50194; pivotY: 290.9767}
{file: Devana_Special_2_Part_4-27.png; pivotX: 103.2087; pivotY: 289.464}
{file: Devana_Special_2_Part_4-28.png; pivotX: 111.7816; pivotY: 287.3667}
{file: Devana_Special_2_Part_4-29.png; pivotX: 122.3908; pivotY: 287.2686}
{file: Devana_Special_2_Part_4-30.png; pivotX: 133.0113; pivotY: 288.1635}
{file: Devana_Special_2_Part_4-31.png; pivotX: 134.4698; pivotY: 291.7014}
{file: Devana_Special_2_Part_4-32.png; pivotX: 128.611; pivotY: 300.0873}
{file: Devana_Special_2_Part_4-33.png; pivotX: 108.3035; pivotY: 310.7085}
{file: Devana_Special_2_Part_4-34.png; pivotX: 91.15047; pivotY: 321.9758}
{file: Devana_Special_2_Part_4-35.png; pivotX: 73.80256; pivotY: 325.8069}
{file: Devana_Special_2_Part_4-36.png; pivotX: 50.32783; pivotY: 329.0556}
{file: Devana_Special_2_Part_4-37.png; pivotX: 49.18414; pivotY: 331.3057}
{file: Devana_Special_2_Part_4-38.png; pivotX: 55.67753; pivotY: 330.8507}
{file: Devana_Special_2_Part_4-39.png; pivotX: 51.94048; pivotY: 335.8961}
{file: Devana_Special_2_Part_4-40.png; pivotX: 53.01566; pivotY: 348.3261}
{file: Devana_Special_2_Part_4-41.png; pivotX: 58.45068; pivotY: 354.7478}
{file: Devana_Special_2_Part_4-42.png; pivotX: 65.15233; pivotY: 356.4564}
{file: Devana_Special_2_Part_4-43.png; pivotX: 69.55167; pivotY: 360.0499}
{file: Devana_Special_2_Part_4-44.png; pivotX: 68.69364; pivotY: 361.5038}
{file: Devana_Special_2_Part_4-45.png; pivotX: 63.65926; pivotY: 362.5851}
{file: Devana_Special_2_Part_4-46.png; pivotX: 66.52071; pivotY: 364.0224}
{file: Devana_Special_2_Part_4-47.png; pivotX: 73.10449; pivotY: 365.3797}
{file: Devana_Special_2_Part_4-48.png; pivotX: 77.06342; pivotY: 365.9435}
{file: Devana_Special_2_Part_4-49.png; pivotX: 78.65137; pivotY: 366.221}
{file: Devana_Special_2_Part_4-50.png; pivotX: 78.8601; pivotY: 363.3633}
{file: Devana_Special_2_Part_4-51.png; pivotX: 77.34649; pivotY: 361.4034}
{file: Devana_Special_2_Part_4-52.png; pivotX: 76.31036; pivotY: 358.5073}
{file: Devana_Special_2_Part_4-53.png; pivotX: 80.56282; pivotY: 352.679}
{file: Devana_Special_2_Part_4-54.png; pivotX: 83.60859; pivotY: 343.7107}
{file: Devana_Special_2_Part_4-55.png; pivotX: 86.65018; pivotY: 334.8029}
{file: Devana_Special_2_Part_4-56.png; pivotX: 88.77081; pivotY: 326.9805}
{file: Devana_Special_2_Part_4-57.png; pivotX: 90.04133; pivotY: 327.1859}
{file: Devana_Special_2_Part_4-58.png; pivotX: 89.8289; pivotY: 327.3472}
{file: Devana_Special_2_Part_4-59.png; pivotX: 88.79665; pivotY: 327.254}
{file: Devana_Special_2_Part_4-60.png; pivotX: 87.44112; pivotY: 328.0795}
{file: Devana_Special_2_Part_4-61.png; pivotX: 87.35441; pivotY: 327.8315}
{file: Devana_Special_2_Part_4-62.png; pivotX: 86.76436; pivotY: 326.4698}
{file: Devana_Special_2_Part_4-63.png; pivotX: 89.4753; pivotY: 325.8838}
{file: Devana_Special_2_Part_4-64.png; pivotX: 90.75007; pivotY: 325.4499}
