{file: Devana_WallBump-0.png; pivotX: 140.8997; pivotY: 541.6852}
{file: Devana_WallBump-1.png; pivotX: 141.7963; pivotY: 541.5639}
{file: Devana_WallBump-2.png; pivotX: 143.0925; pivotY: 541.5775}
{file: Devana_WallBump-3.png; pivotX: 144.5519; pivotY: 541.6141}
{file: Devana_WallBump-4.png; pivotX: 146.4231; pivotY: 540.8106}
{file: Devana_WallBump-5.png; pivotX: 148.8387; pivotY: 540.6496}
{file: Devana_WallBump-6.png; pivotX: 151.6924; pivotY: 539.6659}
{file: Devana_WallBump-7.png; pivotX: 154.4926; pivotY: 536.8629}
{file: Devana_WallBump-8.png; pivotX: 158.3235; pivotY: 533.7311}
{file: Devana_WallBump-9.png; pivotX: 162.076; pivotY: 527.8839}
{file: Devana_WallBump-10.png; pivotX: 166.3002; pivotY: 519.8105}
{file: Devana_WallBump-11.png; pivotX: 170.9244; pivotY: 510.8724}
{file: Devana_WallBump-12.png; pivotX: 175.5137; pivotY: 503.318}
{file: Devana_WallBump-13.png; pivotX: 181.2191; pivotY: 498.1967}
{file: Devana_WallBump-14.png; pivotX: 186.7253; pivotY: 495.0077}
{file: Devana_WallBump-15.png; pivotX: 192.5934; pivotY: 492.1835}
{file: Devana_WallBump-16.png; pivotX: 199.4298; pivotY: 491.1775}
{file: Devana_WallBump-17.png; pivotX: 207.3992; pivotY: 491.1058}
{file: Devana_WallBump-18.png; pivotX: 216.4989; pivotY: 491.1081}
{file: Devana_WallBump-19.png; pivotX: 226.1105; pivotY: 491.8229}
{file: Devana_WallBump-20.png; pivotX: 235.7037; pivotY: 491.9735}
{file: Devana_WallBump-21.png; pivotX: 244.779; pivotY: 493.0422}
{file: Devana_WallBump-22.png; pivotX: 252.4593; pivotY: 494.9586}
{file: Devana_WallBump-23.png; pivotX: 258.7562; pivotY: 497.0766}
{file: Devana_WallBump-24.png; pivotX: 263.7587; pivotY: 499.9242}
{file: Devana_WallBump-25.png; pivotX: 267.3279; pivotY: 502.0788}
{file: Devana_WallBump-26.png; pivotX: 270.8988; pivotY: 505.0701}
{file: Devana_WallBump-27.png; pivotX: 274.9183; pivotY: 508.0916}
{file: Devana_WallBump-28.png; pivotX: 279.3619; pivotY: 511.0524}
{file: Devana_WallBump-29.png; pivotX: 284.2134; pivotY: 513.9523}
{file: Devana_WallBump-30.png; pivotX: 289.9554; pivotY: 516.7916}
{file: Devana_WallBump-31.png; pivotX: 296.1451; pivotY: 518.8189}
{file: Devana_WallBump-32.png; pivotX: 302.4034; pivotY: 520.7942}
{file: Devana_WallBump-33.png; pivotX: 308.7207; pivotY: 522.7233}
{file: Devana_WallBump-34.png; pivotX: 314.5093; pivotY: 523.8589}
{file: Devana_WallBump-35.png; pivotX: 319.412; pivotY: 525.7145}
{file: Devana_WallBump-36.png; pivotX: 323.8282; pivotY: 525.9416}
{file: Devana_WallBump-37.png; pivotX: 327.6629; pivotY: 526.7687}
{file: Devana_WallBump-38.png; pivotX: 330.0898; pivotY: 526.774}
{file: Devana_WallBump-39.png; pivotX: 332.1934; pivotY: 526.7255}
