{file: Devana_WallBump-0.png; posX: -0.2099928; posY: 0}
{file: Devana_WallBump-1.png; posX: -0.1484541; posY: -0.0006655455}
{file: Devana_WallBump-2.png; posX: -0.08765881; posY: -0.0002360344}
{file: Devana_WallBump-3.png; posX: -0.03029996; posY: -1.341105E-05}
{file: Devana_WallBump-4.png; posX: 0.02151824; posY: -0.001299679}
{file: Devana_WallBump-5.png; posX: 0.0700502; posY: -0.005396843}
{file: Devana_WallBump-6.png; posX: 0.1192859; posY: -0.01360691}
{file: Devana_WallBump-7.png; posX: 0.1729929; posY: -0.02723187}
{file: Devana_WallBump-8.png; posX: 0.2272158; posY: -0.0475738}
{file: Devana_WallBump-9.png; posX: 0.2762667; posY: -0.07874906}
{file: Devana_WallBump-10.png; posX: 0.3171977; posY: -0.1198006}
{file: Devana_WallBump-11.png; posX: 0.3508423; posY: -0.1644201}
{file: Devana_WallBump-12.png; posX: 0.3771846; posY: -0.2030506}
{file: Devana_WallBump-13.png; posX: 0.3962085; posY: -0.2313863}
{file: Devana_WallBump-14.png; posX: 0.4078982; posY: -0.2509953}
{file: Devana_WallBump-15.png; posX: 0.4134458; posY: -0.2634456}
{file: Devana_WallBump-16.png; posX: 0.4147671; posY: -0.2703055}
{file: Devana_WallBump-17.png; posX: 0.4129321; posY: -0.2731431}
{file: Devana_WallBump-18.png; posX: 0.4090109; posY: -0.2735265}
{file: Devana_WallBump-19.png; posX: 0.4040733; posY: -0.2730238}
{file: Devana_WallBump-20.png; posX: 0.3973312; posY: -0.2709542}
{file: Devana_WallBump-21.png; posX: 0.3871044; posY: -0.2659153}
{file: Devana_WallBump-22.png; posX: 0.3762505; posY: -0.258393}
{file: Devana_WallBump-23.png; posX: 0.3693218; posY: -0.2488731}
{file: Devana_WallBump-24.png; posX: 0.3653023; posY: -0.2378412}
{file: Devana_WallBump-25.png; posX: 0.3607391; posY: -0.2257833}
{file: Devana_WallBump-26.png; posX: 0.35425; posY: -0.2131852}
{file: Devana_WallBump-27.png; posX: 0.3461648; posY: -0.2005326}
{file: Devana_WallBump-28.png; posX: 0.3379021; posY: -0.1883113}
{file: Devana_WallBump-29.png; posX: 0.3297128; posY: -0.1773002}
{file: Devana_WallBump-30.png; posX: 0.3218478; posY: -0.1678982}
{file: Devana_WallBump-31.png; posX: 0.3145581; posY: -0.1600217}
{file: Devana_WallBump-32.png; posX: 0.3080947; posY: -0.1535869}
{file: Devana_WallBump-33.png; posX: 0.3027084; posY: -0.1485103}
{file: Devana_WallBump-34.png; posX: 0.2986503; posY: -0.144708}
{file: Devana_WallBump-35.png; posX: 0.2971032; posY: -0.1420963}
{file: Devana_WallBump-36.png; posX: 0.2988933; posY: -0.1405917}
{file: Devana_WallBump-37.png; posX: 0.3037363; posY: -0.1401103}
{file: Devana_WallBump-38.png; posX: 0.3099721; posY: -0.1405685}
{file: Devana_WallBump-39.png; posX: 0.3154602; posY: -0.1418825}
