{file: Devana_WallSlam-0.png; pivotX: 140.903; pivotY: 541.6628}
{file: Devana_WallSlam-1.png; pivotX: 144.2458; pivotY: 541.7066}
{file: Devana_WallSlam-2.png; pivotX: 148.2694; pivotY: 541.7755}
{file: Devana_WallSlam-3.png; pivotX: 160.0863; pivotY: 541.7755}
{file: Devana_WallSlam-4.png; pivotX: 168.6047; pivotY: 541.696}
{file: Devana_WallSlam-5.png; pivotX: 170.5407; pivotY: 540.6262}
{file: Devana_WallSlam-6.png; pivotX: 168.5419; pivotY: 539.5383}
{file: Devana_WallSlam-7.png; pivotX: 167.0332; pivotY: 535.7947}
{file: Devana_WallSlam-8.png; pivotX: 169.4065; pivotY: 529.7545}
{file: Devana_WallSlam-9.png; pivotX: 161.8698; pivotY: 521.9046}
{file: Devana_WallSlam-10.png; pivotX: 154.9785; pivotY: 513.938}
{file: Devana_WallSlam-11.png; pivotX: 148.7109; pivotY: 504.1078}
{file: Devana_WallSlam-12.png; pivotX: 156.8366; pivotY: 492.1791}
{file: Devana_WallSlam-13.png; pivotX: 173.6606; pivotY: 477.261}
{file: Devana_WallSlam-14.png; pivotX: 190.5939; pivotY: 459.39}
{file: Devana_WallSlam-15.png; pivotX: 206.3038; pivotY: 439.5971}
{file: Devana_WallSlam-16.png; pivotX: 220.2827; pivotY: 417.1198}
{file: Devana_WallSlam-17.png; pivotX: 233.5757; pivotY: 392.3021}
{file: Devana_WallSlam-18.png; pivotX: 245.2958; pivotY: 364.2447}
{file: Devana_WallSlam-19.png; pivotX: 256.0706; pivotY: 333.1702}
{file: Devana_WallSlam-20.png; pivotX: 265.9715; pivotY: 298.5303}
{file: Devana_WallSlam-21.png; pivotX: 274.0516; pivotY: 259.7543}
{file: Devana_WallSlam-22.png; pivotX: 281.089; pivotY: 227.7627}
{file: Devana_WallSlam-23.png; pivotX: 284.8353; pivotY: 220.1122}
{file: Devana_WallSlam-24.png; pivotX: 285.6088; pivotY: 206.2647}
{file: Devana_WallSlam-25.png; pivotX: 283.5971; pivotY: 205.7292}
{file: Devana_WallSlam-26.png; pivotX: 279.1961; pivotY: 205.4851}
{file: Devana_WallSlam-27.png; pivotX: 274.5453; pivotY: 205.9438}
{file: Devana_WallSlam-28.png; pivotX: 271.0767; pivotY: 206.7761}
{file: Devana_WallSlam-29.png; pivotX: 269.3047; pivotY: 207.0763}
{file: Devana_WallSlam-30.png; pivotX: 268.7857; pivotY: 207.335}
{file: Devana_WallSlam-31.png; pivotX: 270.2997; pivotY: 207.4982}
{file: Devana_WallSlam-32.png; pivotX: 274.5789; pivotY: 207.3493}
{file: Devana_WallSlam-33.png; pivotX: 278.0763; pivotY: 206.6885}
{file: Devana_WallSlam-34.png; pivotX: 280.86; pivotY: 206.3978}
{file: Devana_WallSlam-35.png; pivotX: 283.3359; pivotY: 206.7321}
{file: Devana_WallSlam-36.png; pivotX: 285.0526; pivotY: 207.5434}
{file: Devana_WallSlam-37.png; pivotX: 286.5616; pivotY: 208.3779}
{file: Devana_WallSlam-38.png; pivotX: 287.3928; pivotY: 208.7861}
{file: Devana_WallSlam-39.png; pivotX: 288.0613; pivotY: 208.4692}
{file: Devana_WallSlam-40.png; pivotX: 288.1488; pivotY: 207.7962}
{file: Devana_WallSlam-41.png; pivotX: 288.1738; pivotY: 207.0748}
{file: Devana_WallSlam-42.png; pivotX: 287.6162; pivotY: 206.6943}
{file: Devana_WallSlam-43.png; pivotX: 286.9587; pivotY: 206.5661}
{file: Devana_WallSlam-44.png; pivotX: 286.1764; pivotY: 206.4895}
{file: Devana_WallSlam-45.png; pivotX: 285.3148; pivotY: 206.555}
{file: Devana_WallSlam-46.png; pivotX: 284.9835; pivotY: 206.6584}
{file: Devana_WallSlam-47.png; pivotX: 284.2687; pivotY: 206.8328}
{file: Devana_WallSlam-48.png; pivotX: 283.622; pivotY: 207.0077}
{file: Devana_WallSlam-49.png; pivotX: 283.4951; pivotY: 207.1121}
{file: Devana_WallSlam-50.png; pivotX: 282.8765; pivotY: 207.126}
{file: Devana_WallSlam-51.png; pivotX: 282.7587; pivotY: 207.117}
{file: Devana_WallSlam-52.png; pivotX: 282.0993; pivotY: 207.146}
{file: Devana_WallSlam-53.png; pivotX: 281.9189; pivotY: 207.2029}
{file: Devana_WallSlam-54.png; pivotX: 281.7648; pivotY: 207.2384}
{file: Devana_WallSlam-55.png; pivotX: 281.6354; pivotY: 207.255}
{file: Devana_WallSlam-56.png; pivotX: 281.5291; pivotY: 207.2549}
{file: Devana_WallSlam-57.png; pivotX: 281.4442; pivotY: 207.2406}
{file: Devana_WallSlam-58.png; pivotX: 281.379; pivotY: 207.2142}
{file: Devana_WallSlam-59.png; pivotX: 281.332; pivotY: 207.1781}
{file: Devana_WallSlam-60.png; pivotX: 281.3014; pivotY: 207.1346}
{file: Devana_WallSlam-61.png; pivotX: 281.2856; pivotY: 207.086}
{file: Devana_WallSlam-62.png; pivotX: 281.2831; pivotY: 207.0346}
{file: Devana_WallSlam-63.png; pivotX: 281.2921; pivotY: 206.9827}
{file: Devana_WallSlam-64.png; pivotX: 281.3111; pivotY: 206.9326}
{file: Devana_WallSlam-65.png; pivotX: 281.3384; pivotY: 206.8868}
{file: Devana_WallSlam-66.png; pivotX: 281.3724; pivotY: 206.8474}
{file: Devana_WallSlam-67.png; pivotX: 281.9114; pivotY: 206.817}
{file: Devana_WallSlam-68.png; pivotX: 281.9479; pivotY: 206.7951}
{file: Devana_WallSlam-69.png; pivotX: 281.9725; pivotY: 206.7811}
