{file: Devana_WallSlam-0.png; posX: -0.2099928; posY: 0}
{file: Devana_WallSlam-1.png; posX: -0.1489492; posY: 8.296967E-05}
{file: Devana_WallSlam-2.png; posX: -0.0884248; posY: 0.001524389}
{file: Devana_WallSlam-3.png; posX: -0.0303; posY: 0.002539694}
{file: Devana_WallSlam-4.png; posX: 0.02395635; posY: 0.001344383}
{file: Devana_WallSlam-5.png; posX: 0.07603185; posY: -0.003846109}
{file: Devana_WallSlam-6.png; posX: 0.1283658; posY: -0.01481628}
{file: Devana_WallSlam-7.png; posX: 0.1825504; posY: -0.03512865}
{file: Devana_WallSlam-8.png; posX: 0.2372279; posY: -0.06528515}
{file: Devana_WallSlam-9.png; posX: 0.2913994; posY: -0.1024792}
{file: Devana_WallSlam-10.png; posX: 0.3440658; posY: -0.1439043}
{file: Devana_WallSlam-11.png; posX: 0.3956443; posY: -0.186754}
{file: Devana_WallSlam-12.png; posX: 0.4472325; posY: -0.2295958}
{file: Devana_WallSlam-13.png; posX: 0.4988532; posY: -0.2727557}
{file: Devana_WallSlam-14.png; posX: 0.5505289; posY: -0.3160645}
{file: Devana_WallSlam-15.png; posX: 0.6022823; posY: -0.3593533}
{file: Devana_WallSlam-16.png; posX: 0.6541358; posY: -0.4024529}
{file: Devana_WallSlam-17.png; posX: 0.7061121; posY: -0.4451945}
{file: Devana_WallSlam-18.png; posX: 0.7582338; posY: -0.4874088}
{file: Devana_WallSlam-19.png; posX: 0.8105235; posY: -0.5289271}
{file: Devana_WallSlam-20.png; posX: 0.862811; posY: -0.56958}
{file: Devana_WallSlam-21.png; posX: 0.9146308; posY: -0.6091987}
{file: Devana_WallSlam-22.png; posX: 0.9655617; posY: -0.6476141}
{file: Devana_WallSlam-23.png; posX: 1.015182; posY: -0.6851155}
{file: Devana_WallSlam-24.png; posX: 1.063072; posY: -0.7215121}
{file: Devana_WallSlam-25.png; posX: 1.10881; posY: -0.7559151}
{file: Devana_WallSlam-26.png; posX: 1.151974; posY: -0.7874358}
{file: Devana_WallSlam-27.png; posX: 1.192144; posY: -0.8154322}
{file: Devana_WallSlam-28.png; posX: 1.228898; posY: -0.7912742}
{file: Devana_WallSlam-29.png; posX: 1.261815; posY: -0.7714204}
{file: Devana_WallSlam-30.png; posX: 1.290475; posY: -0.7572424}
{file: Devana_WallSlam-31.png; posX: 1.315075; posY: -0.7496786}
{file: Devana_WallSlam-32.png; posX: 1.336233; posY: -0.7471663}
{file: Devana_WallSlam-33.png; posX: 1.35416; posY: -0.7495095}
{file: Devana_WallSlam-34.png; posX: 1.369066; posY: -0.7564742}
{file: Devana_WallSlam-35.png; posX: 1.381161; posY: -0.7664424}
{file: Devana_WallSlam-36.png; posX: 1.390655; posY: -0.7777961}
{file: Devana_WallSlam-37.png; posX: 1.39776; posY: -0.7889175}
{file: Devana_WallSlam-38.png; posX: 1.402683; posY: -0.7981886}
{file: Devana_WallSlam-39.png; posX: 1.405638; posY: -0.8039914}
{file: Devana_WallSlam-40.png; posX: 1.406832; posY: -0.8055497}
{file: Devana_WallSlam-41.png; posX: 1.406477; posY: -0.8039545}
{file: Devana_WallSlam-42.png; posX: 1.404782; posY: -0.8003887}
{file: Devana_WallSlam-43.png; posX: 1.401959; posY: -0.7960352}
{file: Devana_WallSlam-44.png; posX: 1.398217; posY: -0.7920769}
{file: Devana_WallSlam-45.png; posX: 1.394294; posY: -0.7896968}
{file: Devana_WallSlam-46.png; posX: 1.390774; posY: -0.789042}
{file: Devana_WallSlam-47.png; posX: 1.387637; posY: -0.7892811}
{file: Devana_WallSlam-48.png; posX: 1.384862; posY: -0.7901288}
{file: Devana_WallSlam-49.png; posX: 1.38243; posY: -0.7912997}
{file: Devana_WallSlam-50.png; posX: 1.380319; posY: -0.7925087}
{file: Devana_WallSlam-51.png; posX: 1.378509; posY: -0.7934705}
{file: Devana_WallSlam-52.png; posX: 1.376981; posY: -0.7938998}
{file: Devana_WallSlam-53.png; posX: 1.375713; posY: -0.7938852}
{file: Devana_WallSlam-54.png; posX: 1.374686; posY: -0.7937204}
{file: Devana_WallSlam-55.png; posX: 1.373879; posY: -0.7934278}
{file: Devana_WallSlam-56.png; posX: 1.373271; posY: -0.79303}
{file: Devana_WallSlam-57.png; posX: 1.372843; posY: -0.7925491}
{file: Devana_WallSlam-58.png; posX: 1.372573; posY: -0.7920077}
{file: Devana_WallSlam-59.png; posX: 1.372442; posY: -0.7914282}
{file: Devana_WallSlam-60.png; posX: 1.372429; posY: -0.7908329}
{file: Devana_WallSlam-61.png; posX: 1.372514; posY: -0.7902443}
{file: Devana_WallSlam-62.png; posX: 1.372677; posY: -0.7896848}
{file: Devana_WallSlam-63.png; posX: 1.372896; posY: -0.7891768}
{file: Devana_WallSlam-64.png; posX: 1.373153; posY: -0.7887427}
{file: Devana_WallSlam-65.png; posX: 1.373425; posY: -0.7884048}
{file: Devana_WallSlam-66.png; posX: 1.373694; posY: -0.7881857}
{file: Devana_WallSlam-67.png; posX: 1.373939; posY: -0.7881076}
{file: Devana_WallSlam-68.png; posX: 1.374139; posY: -0.7881076}
{file: Devana_WallSlam-69.png; posX: 1.374273; posY: -0.7881076}
