{file: Devana_Win-0.png; pivotX: 91.95239; pivotY: 334.6987}
{file: Devana_Win-1.png; pivotX: 92.58628; pivotY: 335.4671}
{file: Devana_Win-2.png; pivotX: 93.29418; pivotY: 336.2428}
{file: Devana_Win-3.png; pivotX: 93.88265; pivotY: 337.0275}
{file: Devana_Win-4.png; pivotX: 94.50689; pivotY: 337.8229}
{file: Devana_Win-5.png; pivotX: 95.65708; pivotY: 338.6311}
{file: Devana_Win-6.png; pivotX: 96.32377; pivotY: 339.4545}
{file: Devana_Win-7.png; pivotX: 96.99792; pivotY: 340.2943}
{file: Devana_Win-8.png; pivotX: 97.67095; pivotY: 341.1501}
{file: Devana_Win-9.png; pivotX: 98.33527; pivotY: 341.0889}
{file: Devana_Win-10.png; pivotX: 98.98225; pivotY: 341.9788}
{file: Devana_Win-11.png; pivotX: 99.60636; pivotY: 342.8901}
{file: Devana_Win-12.png; pivotX: 100.7015; pivotY: 342.8844}
{file: Devana_Win-13.png; pivotX: 101.2642; pivotY: 343.8456}
{file: Devana_Win-14.png; pivotX: 101.7903; pivotY: 343.8786}
{file: Devana_Win-15.png; pivotX: 102.2796; pivotY: 344.8989}
{file: Devana_Win-16.png; pivotX: 102.7341; pivotY: 345.0283}
{file: Devana_Win-17.png; pivotX: 103.2778; pivotY: 345.2349}
{file: Devana_Win-18.png; pivotX: 104.1557; pivotY: 345.5417}
{file: Devana_Win-19.png; pivotX: 103.6053; pivotY: 345.9738}
{file: Devana_Win-20.png; pivotX: 102.851; pivotY: 345.5912}
{file: Devana_Win-21.png; pivotX: 101.5927; pivotY: 345.2968}
{file: Devana_Win-22.png; pivotX: 100.9505; pivotY: 345.264}
{file: Devana_Win-23.png; pivotX: 99.92756; pivotY: 345.2277}
{file: Devana_Win-24.png; pivotX: 98.94681; pivotY: 345.1876}
{file: Devana_Win-25.png; pivotX: 100.1707; pivotY: 345.1452}
{file: Devana_Win-26.png; pivotX: 104.4338; pivotY: 344.1326}
{file: Devana_Win-27.png; pivotX: 108.8127; pivotY: 343.12}
{file: Devana_Win-28.png; pivotX: 112.8132; pivotY: 343.0777}
{file: Devana_Win-29.png; pivotX: 116.8712; pivotY: 342.0679}
{file: Devana_Win-30.png; pivotX: 120.8798; pivotY: 341.0606}
{file: Devana_Win-31.png; pivotX: 124.4344; pivotY: 339.0864}
{file: Devana_Win-32.png; pivotX: 128.0761; pivotY: 338.0829}
{file: Devana_Win-33.png; pivotX: 131.8171; pivotY: 337.1018}
{file: Devana_Win-34.png; pivotX: 134.9335; pivotY: 338.0954}
{file: Devana_Win-35.png; pivotX: 137.006; pivotY: 338.1122}
{file: Devana_Win-36.png; pivotX: 138.8638; pivotY: 338.1131}
{file: Devana_Win-37.png; pivotX: 140.7921; pivotY: 338.1011}
{file: Devana_Win-38.png; pivotX: 142.992; pivotY: 339.0481}
{file: Devana_Win-39.png; pivotX: 145.5291; pivotY: 339.0157}
{file: Devana_Win-40.png; pivotX: 148.5775; pivotY: 338.9773}
{file: Devana_Win-41.png; pivotX: 152.2283; pivotY: 338.9351}
{file: Devana_Win-42.png; pivotX: 155.9896; pivotY: 338.887}
{file: Devana_Win-43.png; pivotX: 159.898; pivotY: 338.8391}
{file: Devana_Win-44.png; pivotX: 164.4903; pivotY: 338.7982}
{file: Devana_Win-45.png; pivotX: 169.3052; pivotY: 338.7682}
{file: Devana_Win-46.png; pivotX: 174.2358; pivotY: 337.7853}
{file: Devana_Win-47.png; pivotX: 179.9285; pivotY: 337.7747}
{file: Devana_Win-48.png; pivotX: 185.7505; pivotY: 337.76}
{file: Devana_Win-49.png; pivotX: 191.557; pivotY: 336.7792}
{file: Devana_Win-50.png; pivotX: 197.0187; pivotY: 336.7738}
{file: Devana_Win-51.png; pivotX: 201.9941; pivotY: 336.7638}
{file: Devana_Win-52.png; pivotX: 206.8244; pivotY: 335.7648}
