{file: Devana_Win-0.png; posX: 2.980232E-10; posY: 0}
{file: Devana_Win-1.png; posX: 0.003405; posY: 0.004329681}
{file: Devana_Win-2.png; posX: 0.006824458; posY: 0.008695006}
{file: Devana_Win-3.png; posX: 0.01025609; posY: 0.01308906}
{file: Devana_Win-4.png; posX: 0.01369762; posY: 0.01750499}
{file: Devana_Win-5.png; posX: 0.01714675; posY: 0.02193588}
{file: Devana_Win-6.png; posX: 0.02060121; posY: 0.02637488}
{file: Devana_Win-7.png; posX: 0.02405571; posY: 0.03081501}
{file: Devana_Win-8.png; posX: 0.02750137; posY: 0.03524941}
{file: Devana_Win-9.png; posX: 0.03093049; posY: 0.03967124}
{file: Devana_Win-10.png; posX: 0.03433534; posY: 0.04407346}
{file: Devana_Win-11.png; posX: 0.03770824; posY: 0.04844934}
{file: Devana_Win-12.png; posX: 0.04104147; posY: 0.05279189}
{file: Devana_Win-13.png; posX: 0.04432734; posY: 0.05709422}
{file: Devana_Win-14.png; posX: 0.04755814; posY: 0.06134945}
{file: Devana_Win-15.png; posX: 0.05076489; posY: 0.06555068}
{file: Devana_Win-16.png; posX: 0.05401703; posY: 0.06969106}
{file: Devana_Win-17.png; posX: 0.05736447; posY: 0.07376355}
{file: Devana_Win-18.png; posX: 0.06085713; posY: 0.07776141}
{file: Devana_Win-19.png; posX: 0.0645449; posY: 0.08167768}
{file: Devana_Win-20.png; posX: 0.06847773; posY: 0.08550543}
{file: Devana_Win-21.png; posX: 0.07262246; posY: 0.08923781}
{file: Devana_Win-22.png; posX: 0.07687746; posY: 0.09286791}
{file: Devana_Win-23.png; posX: 0.08118977; posY: 0.09638888}
{file: Devana_Win-24.png; posX: 0.08550651; posY: 0.09979373}
{file: Devana_Win-25.png; posX: 0.08977474; posY: 0.1030756}
{file: Devana_Win-26.png; posX: 0.09394153; posY: 0.1062276}
{file: Devana_Win-27.png; posX: 0.09795398; posY: 0.1092429}
{file: Devana_Win-28.png; posX: 0.1017592; posY: 0.1121145}
{file: Devana_Win-29.png; posX: 0.1053041; posY: 0.1148356}
{file: Devana_Win-30.png; posX: 0.108536; posY: 0.1173992}
{file: Devana_Win-31.png; posX: 0.1114019; posY: 0.1197984}
{file: Devana_Win-32.png; posX: 0.1138488; posY: 0.1220264}
{file: Devana_Win-33.png; posX: 0.1158238; posY: 0.1240762}
{file: Devana_Win-34.png; posX: 0.117274; posY: 0.125941}
{file: Devana_Win-35.png; posX: 0.1181466; posY: 0.127614}
{file: Devana_Win-36.png; posX: 0.1183885; posY: 0.129088}
{file: Devana_Win-37.png; posX: 0.1179468; posY: 0.1303563}
{file: Devana_Win-38.png; posX: 0.1167687; posY: 0.131412}
{file: Devana_Win-39.png; posX: 0.11481; posY: 0.1322083}
{file: Devana_Win-40.png; posX: 0.112099; posY: 0.1327163}
{file: Devana_Win-41.png; posX: 0.1086915; posY: 0.1329561}
{file: Devana_Win-42.png; posX: 0.1046431; posY: 0.1329476}
{file: Devana_Win-43.png; posX: 0.1000095; posY: 0.1327107}
