{file: DummyFemale_Block_Loop-0.png; pivotX: 361.4353; pivotY: 532.7532}
{file: DummyFemale_Block_Loop-1.png; pivotX: 361.4394; pivotY: 532.7761}
{file: DummyFemale_Block_Loop-2.png; pivotX: 361.4436; pivotY: 532.7999}
{file: DummyFemale_Block_Loop-3.png; pivotX: 361.448; pivotY: 532.8245}
{file: DummyFemale_Block_Loop-4.png; pivotX: 361.4525; pivotY: 532.8497}
{file: DummyFemale_Block_Loop-5.png; pivotX: 361.4571; pivotY: 532.8751}
{file: DummyFemale_Block_Loop-6.png; pivotX: 361.4188; pivotY: 533.6611}
{file: DummyFemale_Block_Loop-7.png; pivotX: 361.4235; pivotY: 533.6868}
{file: DummyFemale_Block_Loop-8.png; pivotX: 361.428; pivotY: 533.7123}
{file: DummyFemale_Block_Loop-9.png; pivotX: 361.4324; pivotY: 533.7375}
{file: DummyFemale_Block_Loop-10.png; pivotX: 361.4369; pivotY: 533.762}
{file: DummyFemale_Block_Loop-11.png; pivotX: 361.4412; pivotY: 533.7858}
{file: DummyFemale_Block_Loop-12.png; pivotX: 361.4452; pivotY: 533.8087}
{file: DummyFemale_Block_Loop-13.png; pivotX: 361.449; pivotY: 533.8304}
{file: DummyFemale_Block_Loop-14.png; pivotX: 361.4526; pivotY: 533.8507}
{file: DummyFemale_Block_Loop-15.png; pivotX: 361.4561; pivotY: 533.8695}
{file: DummyFemale_Block_Loop-16.png; pivotX: 361.4591; pivotY: 533.8866}
{file: DummyFemale_Block_Loop-17.png; pivotX: 361.419; pivotY: 534.6624}
{file: DummyFemale_Block_Loop-18.png; pivotX: 361.4214; pivotY: 534.6754}
{file: DummyFemale_Block_Loop-19.png; pivotX: 361.4234; pivotY: 534.6866}
{file: DummyFemale_Block_Loop-20.png; pivotX: 361.4251; pivotY: 534.6962}
{file: DummyFemale_Block_Loop-21.png; pivotX: 361.4264; pivotY: 534.7041}
{file: DummyFemale_Block_Loop-22.png; pivotX: 361.4277; pivotY: 534.7106}
{file: DummyFemale_Block_Loop-23.png; pivotX: 361.4286; pivotY: 534.7158}
{file: DummyFemale_Block_Loop-24.png; pivotX: 361.4293; pivotY: 534.7198}
{file: DummyFemale_Block_Loop-25.png; pivotX: 361.4297; pivotY: 534.7225}
{file: DummyFemale_Block_Loop-26.png; pivotX: 361.4301; pivotY: 534.7242}
{file: DummyFemale_Block_Loop-27.png; pivotX: 361.4303; pivotY: 534.7251}
{file: DummyFemale_Block_Loop-28.png; pivotX: 361.4303; pivotY: 534.725}
{file: DummyFemale_Block_Loop-29.png; pivotX: 361.4301; pivotY: 534.7242}
{file: DummyFemale_Block_Loop-30.png; pivotX: 361.4298; pivotY: 534.723}
{file: DummyFemale_Block_Loop-31.png; pivotX: 361.4294; pivotY: 534.7209}
{file: DummyFemale_Block_Loop-32.png; pivotX: 361.4291; pivotY: 534.7185}
{file: DummyFemale_Block_Loop-33.png; pivotX: 361.4285; pivotY: 534.7158}
{file: DummyFemale_Block_Loop-34.png; pivotX: 361.4281; pivotY: 534.7128}
{file: DummyFemale_Block_Loop-35.png; pivotX: 361.4275; pivotY: 534.7098}
{file: DummyFemale_Block_Loop-36.png; pivotX: 361.4269; pivotY: 534.7065}
{file: DummyFemale_Block_Loop-37.png; pivotX: 361.4265; pivotY: 534.7042}
{file: DummyFemale_Block_Loop-38.png; pivotX: 361.4263; pivotY: 534.7029}
{file: DummyFemale_Block_Loop-39.png; pivotX: 361.4261; pivotY: 534.7025}
{file: DummyFemale_Block_Loop-40.png; pivotX: 361.4261; pivotY: 534.7025}
{file: DummyFemale_Block_Loop-41.png; pivotX: 361.4262; pivotY: 534.7028}
{file: DummyFemale_Block_Loop-42.png; pivotX: 361.4262; pivotY: 534.7027}
{file: DummyFemale_Block_Loop-43.png; pivotX: 361.4262; pivotY: 534.7022}
{file: DummyFemale_Block_Loop-44.png; pivotX: 361.4259; pivotY: 534.7007}
{file: DummyFemale_Block_Loop-45.png; pivotX: 361.4254; pivotY: 534.6981}
{file: DummyFemale_Block_Loop-46.png; pivotX: 361.4247; pivotY: 534.6939}
{file: DummyFemale_Block_Loop-47.png; pivotX: 361.4236; pivotY: 534.6878}
{file: DummyFemale_Block_Loop-48.png; pivotX: 361.4221; pivotY: 534.6793}
{file: DummyFemale_Block_Loop-49.png; pivotX: 361.4201; pivotY: 534.6684}
{file: DummyFemale_Block_Loop-50.png; pivotX: 361.4177; pivotY: 534.6544}
{file: DummyFemale_Block_Loop-51.png; pivotX: 361.4574; pivotY: 533.8767}
{file: DummyFemale_Block_Loop-52.png; pivotX: 361.4537; pivotY: 533.8559}
{file: DummyFemale_Block_Loop-53.png; pivotX: 361.4492; pivotY: 533.8311}
{file: DummyFemale_Block_Loop-54.png; pivotX: 361.444; pivotY: 533.802}
