{file: DummyFemale_Block_Loop-0.png; posX: 0; posY: 0}
{file: DummyFemale_Block_Loop-1.png; posX: 0.0003203518; posY: 0.0004895926}
{file: DummyFemale_Block_Loop-2.png; posX: 0.0006413301; posY: 0.0009999275}
{file: DummyFemale_Block_Loop-3.png; posX: 0.0009628096; posY: 0.001526356}
{file: DummyFemale_Block_Loop-4.png; posX: 0.001284665; posY: 0.002065063}
{file: DummyFemale_Block_Loop-5.png; posX: 0.001606771; posY: 0.002612054}
{file: DummyFemale_Block_Loop-6.png; posX: 0.001929002; posY: 0.003162861}
{file: DummyFemale_Block_Loop-7.png; posX: 0.002251233; posY: 0.003713965}
{file: DummyFemale_Block_Loop-8.png; posX: 0.002573339; posY: 0.004260957}
{file: DummyFemale_Block_Loop-9.png; posX: 0.002895194; posY: 0.004799604}
{file: DummyFemale_Block_Loop-10.png; posX: 0.003216674; posY: 0.005326033}
{file: DummyFemale_Block_Loop-11.png; posX: 0.003537652; posY: 0.005836308}
{file: DummyFemale_Block_Loop-12.png; posX: 0.003858004; posY: 0.00632596}
{file: DummyFemale_Block_Loop-13.png; posX: 0.004177604; posY: 0.006791174}
{file: DummyFemale_Block_Loop-14.png; posX: 0.004496328; posY: 0.007227898}
{file: DummyFemale_Block_Loop-15.png; posX: 0.004814048; posY: 0.007631719}
{file: DummyFemale_Block_Loop-16.png; posX: 0.005130641; posY: 0.007998943}
{file: DummyFemale_Block_Loop-17.png; posX: 0.005445981; posY: 0.008325279}
{file: DummyFemale_Block_Loop-18.png; posX: 0.005759942; posY: 0.008606732}
{file: DummyFemale_Block_Loop-19.png; posX: 0.006079646; posY: 0.008845985}
{file: DummyFemale_Block_Loop-20.png; posX: 0.006410684; posY: 0.009050071}
{file: DummyFemale_Block_Loop-21.png; posX: 0.00675064; posY: 0.009220839}
{file: DummyFemale_Block_Loop-22.png; posX: 0.007097096; posY: 0.009360909}
{file: DummyFemale_Block_Loop-23.png; posX: 0.007447634; posY: 0.009471893}
{file: DummyFemale_Block_Loop-24.png; posX: 0.007799837; posY: 0.009556472}
{file: DummyFemale_Block_Loop-25.png; posX: 0.008151289; posY: 0.009616494}
{file: DummyFemale_Block_Loop-26.png; posX: 0.008499571; posY: 0.009654045}
{file: DummyFemale_Block_Loop-27.png; posX: 0.008842267; posY: 0.00967145}
{file: DummyFemale_Block_Loop-28.png; posX: 0.009176961; posY: 0.009670794}
{file: DummyFemale_Block_Loop-29.png; posX: 0.009501236; posY: 0.009654343}
{file: DummyFemale_Block_Loop-30.png; posX: 0.009812669; posY: 0.009624064}
{file: DummyFemale_Block_Loop-31.png; posX: 0.01010885; posY: 0.009582162}
{file: DummyFemale_Block_Loop-32.png; posX: 0.01038735; posY: 0.009530842}
{file: DummyFemale_Block_Loop-33.png; posX: 0.01064577; posY: 0.009472251}
{file: DummyFemale_Block_Loop-34.png; posX: 0.01088168; posY: 0.009408474}
