{file: DummyFemale_Dash_Backward-0.png; pivotX: 91.96569; pivotY: 313.7614}
{file: DummyFemale_Dash_Backward-1.png; pivotX: 89.12875; pivotY: 301.0508}
{file: DummyFemale_Dash_Backward-2.png; pivotX: 85.32676; pivotY: 284.0628}
{file: DummyFemale_Dash_Backward-3.png; pivotX: 82.32237; pivotY: 265.9086}
{file: DummyFemale_Dash_Backward-4.png; pivotX: 79.80238; pivotY: 252.0007}
{file: DummyFemale_Dash_Backward-5.png; pivotX: 75.70975; pivotY: 245.4156}
{file: DummyFemale_Dash_Backward-6.png; pivotX: 71.44209; pivotY: 253.4225}
{file: DummyFemale_Dash_Backward-7.png; pivotX: 62.38894; pivotY: 282.9145}
{file: DummyFemale_Dash_Backward-8.png; pivotX: 66.24811; pivotY: 309.6804}
{file: DummyFemale_Dash_Backward-9.png; pivotX: 67.61897; pivotY: 329.1488}
{file: DummyFemale_Dash_Backward-10.png; pivotX: 69.43456; pivotY: 336.6195}
{file: DummyFemale_Dash_Backward-11.png; pivotX: 73.83425; pivotY: 336.7899}
{file: DummyFemale_Dash_Backward-12.png; pivotX: 80.95246; pivotY: 334.8506}
{file: DummyFemale_Dash_Backward-13.png; pivotX: 86.90449; pivotY: 333.55}
{file: DummyFemale_Dash_Backward-14.png; pivotX: 93.40528; pivotY: 332.2193}
{file: DummyFemale_Dash_Backward-15.png; pivotX: 101.8646; pivotY: 330.0686}
{file: DummyFemale_Dash_Backward-16.png; pivotX: 111.3377; pivotY: 327.0024}
{file: DummyFemale_Dash_Backward-17.png; pivotX: 119.8901; pivotY: 325.21}
{file: DummyFemale_Dash_Backward-18.png; pivotX: 126.3256; pivotY: 322.9695}
{file: DummyFemale_Dash_Backward-19.png; pivotX: 130.5102; pivotY: 320.626}
{file: DummyFemale_Dash_Backward-20.png; pivotX: 132.174; pivotY: 318.3647}
{file: DummyFemale_Dash_Backward-21.png; pivotX: 132.6342; pivotY: 314.9017}
{file: DummyFemale_Dash_Backward-22.png; pivotX: 135.6326; pivotY: 312.0339}
{file: DummyFemale_Dash_Backward-23.png; pivotX: 140.5513; pivotY: 309.1968}
{file: DummyFemale_Dash_Backward-24.png; pivotX: 144.3823; pivotY: 305.7493}
{file: DummyFemale_Dash_Backward-25.png; pivotX: 146.8135; pivotY: 302.3014}
{file: DummyFemale_Dash_Backward-26.png; pivotX: 148.951; pivotY: 297.651}
{file: DummyFemale_Dash_Backward-27.png; pivotX: 142.5614; pivotY: 293.4781}
{file: DummyFemale_Dash_Backward-28.png; pivotX: 134.0255; pivotY: 288.8583}
{file: DummyFemale_Dash_Backward-29.png; pivotX: 131.2593; pivotY: 284.3554}
{file: DummyFemale_Dash_Backward-30.png; pivotX: 139.6339; pivotY: 281.0072}
{file: DummyFemale_Dash_Backward-31.png; pivotX: 133.3641; pivotY: 279.0441}
{file: DummyFemale_Dash_Backward-32.png; pivotX: 126.3525; pivotY: 278.9479}
{file: DummyFemale_Dash_Backward-33.png; pivotX: 119.921; pivotY: 279.1616}
{file: DummyFemale_Dash_Backward-34.png; pivotX: 113.8589; pivotY: 280.6536}
{file: DummyFemale_Dash_Backward-35.png; pivotX: 108.2523; pivotY: 282.0025}
{file: DummyFemale_Dash_Backward-36.png; pivotX: 104.1077; pivotY: 284.1281}
{file: DummyFemale_Dash_Backward-37.png; pivotX: 99.70222; pivotY: 287.4232}
{file: DummyFemale_Dash_Backward-38.png; pivotX: 94.46304; pivotY: 291.5819}
{file: DummyFemale_Dash_Backward-39.png; pivotX: 89.87292; pivotY: 295.6862}
{file: DummyFemale_Dash_Backward-40.png; pivotX: 90.23002; pivotY: 299.7188}
{file: DummyFemale_Dash_Backward-41.png; pivotX: 89.82254; pivotY: 302.8532}
{file: DummyFemale_Dash_Backward-42.png; pivotX: 89.77772; pivotY: 305.8701}
{file: DummyFemale_Dash_Backward-43.png; pivotX: 89.60083; pivotY: 307.7741}
{file: DummyFemale_Dash_Backward-44.png; pivotX: 89.43867; pivotY: 309.6068}
{file: DummyFemale_Dash_Backward-45.png; pivotX: 90.03003; pivotY: 311.6308}
{file: DummyFemale_Dash_Backward-46.png; pivotX: 90.66507; pivotY: 312.6718}
{file: DummyFemale_Dash_Backward-47.png; pivotX: 91.31557; pivotY: 312.7058}
