{file: DummyFemale_Dash_Backward-0.png; posX: 0; posY: 0.7460679}
{file: DummyFemale_Dash_Backward-1.png; posX: -4.072471E-05; posY: 0.7469417}
{file: DummyFemale_Dash_Backward-2.png; posX: -7.833358E-06; posY: 0.7470438}
{file: DummyFemale_Dash_Backward-3.png; posX: 8.231225E-06; posY: 0.7464588}
{file: DummyFemale_Dash_Backward-4.png; posX: 0; posY: 0.7460679}
{file: DummyFemale_Dash_Backward-5.png; posX: 0; posY: 0.7460679}
{file: DummyFemale_Dash_Backward-6.png; posX: -3.208499E-05; posY: 0.7460679}
{file: DummyFemale_Dash_Backward-7.png; posX: 0; posY: 0.7460679}
{file: DummyFemale_Dash_Backward-8.png; posX: -0.0001262654; posY: 0.7460681}
{file: DummyFemale_Dash_Backward-9.png; posX: -0.0002410126; posY: 0.7460679}
{file: DummyFemale_Dash_Backward-10.png; posX: -0.0001414554; posY: 0.7428398}
{file: DummyFemale_Dash_Backward-11.png; posX: -1.795407E-05; posY: 0.7425066}
{file: DummyFemale_Dash_Backward-12.png; posX: 7.807079E-05; posY: 0.7460829}
{file: DummyFemale_Dash_Backward-13.png; posX: 0.0001423951; posY: 0.7437863}
{file: DummyFemale_Dash_Backward-14.png; posX: 0.0001550797; posY: 0.7419187}
{file: DummyFemale_Dash_Backward-15.png; posX: 0.0001086557; posY: 0.7414193}
{file: DummyFemale_Dash_Backward-16.png; posX: 1.446727E-05; posY: 0.743561}
{file: DummyFemale_Dash_Backward-17.png; posX: -6.428467E-06; posY: 0.745631}
{file: DummyFemale_Dash_Backward-18.png; posX: -9.334421E-06; posY: 0.7471227}
{file: DummyFemale_Dash_Backward-19.png; posX: -3.958412E-06; posY: 0.7493073}
{file: DummyFemale_Dash_Backward-20.png; posX: 0; posY: 0.7498105}
{file: DummyFemale_Dash_Backward-21.png; posX: -1.860247E-08; posY: 0.7482266}
{file: DummyFemale_Dash_Backward-22.png; posX: -2.63332E-08; posY: 0.7473301}
{file: DummyFemale_Dash_Backward-23.png; posX: -2.298447E-08; posY: 0.7471862}
{file: DummyFemale_Dash_Backward-24.png; posX: -7.157642E-09; posY: 0.7467685}
{file: DummyFemale_Dash_Backward-25.png; posX: 5.801553E-09; posY: 0.7468324}
{file: DummyFemale_Dash_Backward-26.png; posX: 0; posY: 0.7481336}
{file: DummyFemale_Dash_Backward-27.png; posX: -1.740314E-05; posY: 0.7485912}
{file: DummyFemale_Dash_Backward-28.png; posX: -5.084723E-05; posY: 0.7471235}
{file: DummyFemale_Dash_Backward-29.png; posX: -7.253868E-05; posY: 0.7459827}
{file: DummyFemale_Dash_Backward-30.png; posX: -5.43607E-05; posY: 0.7452955}
{file: DummyFemale_Dash_Backward-31.png; posX: 1.865377E-05; posY: 0.7457827}
{file: DummyFemale_Dash_Backward-32.png; posX: 7.45115E-05; posY: 0.7469218}
{file: DummyFemale_Dash_Backward-33.png; posX: 6.556485E-05; posY: 0.7472121}
{file: DummyFemale_Dash_Backward-34.png; posX: -8.433781E-05; posY: 0.7460679}
{file: DummyFemale_Dash_Backward-35.png; posX: 0; posY: 0.7464198}
{file: DummyFemale_Dash_Backward-36.png; posX: 0.0001172854; posY: 0.7489123}
{file: DummyFemale_Dash_Backward-37.png; posX: 0; posY: 0.7490547}
{file: DummyFemale_Dash_Backward-38.png; posX: -0.0001079763; posY: 0.7471021}
{file: DummyFemale_Dash_Backward-39.png; posX: -1.480971E-05; posY: 0.746118}
{file: DummyFemale_Dash_Backward-40.png; posX: 4.479178E-06; posY: 0.7461216}
{file: DummyFemale_Dash_Backward-41.png; posX: 0; posY: 0.7469628}
{file: DummyFemale_Dash_Backward-42.png; posX: 0; posY: 0.7477973}
{file: DummyFemale_Dash_Backward-43.png; posX: 4.480818E-05; posY: 0.747659}
{file: DummyFemale_Dash_Backward-44.png; posX: -1.512245E-05; posY: 0.7472051}
{file: DummyFemale_Dash_Backward-45.png; posX: 8.689255E-06; posY: 0.7465119}
{file: DummyFemale_Dash_Backward-46.png; posX: 5.737033E-06; posY: 0.7459121}
{file: DummyFemale_Dash_Backward-47.png; posX: 0; posY: 0.7457384}
