{file: DummyFemale_Dash_Forward-0.png; pivotX: 91.9657; pivotY: 313.7614}
{file: DummyFemale_Dash_Forward-1.png; pivotX: 117.085; pivotY: 308.2304}
{file: DummyFemale_Dash_Forward-2.png; pivotX: 135.2276; pivotY: 294.4401}
{file: DummyFemale_Dash_Forward-3.png; pivotX: 138.9187; pivotY: 277.67}
{file: DummyFemale_Dash_Forward-4.png; pivotX: 143.7714; pivotY: 260.7164}
{file: DummyFemale_Dash_Forward-5.png; pivotX: 121.4294; pivotY: 235.8698}
{file: DummyFemale_Dash_Forward-6.png; pivotX: 91.17173; pivotY: 219.7774}
{file: DummyFemale_Dash_Forward-7.png; pivotX: 163.4612; pivotY: 212.2459}
{file: DummyFemale_Dash_Forward-8.png; pivotX: 175.0523; pivotY: 208.1766}
{file: DummyFemale_Dash_Forward-9.png; pivotX: 178.8352; pivotY: 207.581}
{file: DummyFemale_Dash_Forward-10.png; pivotX: 181.5139; pivotY: 209.9346}
{file: DummyFemale_Dash_Forward-11.png; pivotX: 183.7747; pivotY: 213.7984}
{file: DummyFemale_Dash_Forward-12.png; pivotX: 184.398; pivotY: 218.2453}
{file: DummyFemale_Dash_Forward-13.png; pivotX: 183.5681; pivotY: 222.886}
{file: DummyFemale_Dash_Forward-14.png; pivotX: 180.4874; pivotY: 227.9578}
{file: DummyFemale_Dash_Forward-15.png; pivotX: 176.9426; pivotY: 232.678}
{file: DummyFemale_Dash_Forward-16.png; pivotX: 173.0921; pivotY: 239.1243}
{file: DummyFemale_Dash_Forward-17.png; pivotX: 167.1836; pivotY: 251.8864}
{file: DummyFemale_Dash_Forward-18.png; pivotX: 160.6922; pivotY: 265.9619}
{file: DummyFemale_Dash_Forward-19.png; pivotX: 153.5985; pivotY: 277.6007}
{file: DummyFemale_Dash_Forward-20.png; pivotX: 139.2981; pivotY: 283.8532}
{file: DummyFemale_Dash_Forward-21.png; pivotX: 116.0487; pivotY: 285.7841}
{file: DummyFemale_Dash_Forward-22.png; pivotX: 90.50271; pivotY: 285.3972}
{file: DummyFemale_Dash_Forward-23.png; pivotX: 72.37916; pivotY: 286.5227}
{file: DummyFemale_Dash_Forward-24.png; pivotX: 54.44705; pivotY: 287.0638}
{file: DummyFemale_Dash_Forward-25.png; pivotX: 46.79544; pivotY: 288.1128}
{file: DummyFemale_Dash_Forward-26.png; pivotX: 53.44497; pivotY: 291.4072}
{file: DummyFemale_Dash_Forward-27.png; pivotX: 58.85327; pivotY: 293.5969}
{file: DummyFemale_Dash_Forward-28.png; pivotX: 62.6903; pivotY: 296.4172}
{file: DummyFemale_Dash_Forward-29.png; pivotX: 64.83166; pivotY: 298.1149}
{file: DummyFemale_Dash_Forward-30.png; pivotX: 65.2168; pivotY: 298.9122}
{file: DummyFemale_Dash_Forward-31.png; pivotX: 62.07271; pivotY: 298.8253}
{file: DummyFemale_Dash_Forward-32.png; pivotX: 59.93435; pivotY: 298.7291}
{file: DummyFemale_Dash_Forward-33.png; pivotX: 61.60851; pivotY: 298.0462}
{file: DummyFemale_Dash_Forward-34.png; pivotX: 67.31173; pivotY: 297.7712}
{file: DummyFemale_Dash_Forward-35.png; pivotX: 73.97414; pivotY: 296.3547}
{file: DummyFemale_Dash_Forward-36.png; pivotX: 80.09068; pivotY: 295.866}
{file: DummyFemale_Dash_Forward-37.png; pivotX: 86.73876; pivotY: 297.2896}
{file: DummyFemale_Dash_Forward-38.png; pivotX: 92.68588; pivotY: 298.0019}
{file: DummyFemale_Dash_Forward-39.png; pivotX: 93.6372; pivotY: 299.4812}
{file: DummyFemale_Dash_Forward-40.png; pivotX: 93.60217; pivotY: 301.1619}
{file: DummyFemale_Dash_Forward-41.png; pivotX: 93.6875; pivotY: 302.4754}
{file: DummyFemale_Dash_Forward-42.png; pivotX: 92.78874; pivotY: 303.4887}
{file: DummyFemale_Dash_Forward-43.png; pivotX: 91.96401; pivotY: 305.5207}
{file: DummyFemale_Dash_Forward-44.png; pivotX: 91.34148; pivotY: 306.6677}
{file: DummyFemale_Dash_Forward-45.png; pivotX: 91.28649; pivotY: 308.6631}
{file: DummyFemale_Dash_Forward-46.png; pivotX: 91.33138; pivotY: 309.6441}
{file: DummyFemale_Dash_Forward-47.png; pivotX: 91.47992; pivotY: 310.7365}
{file: DummyFemale_Dash_Forward-48.png; pivotX: 91.68813; pivotY: 311.8914}
{file: DummyFemale_Dash_Forward-49.png; pivotX: 91.83892; pivotY: 311.9569}
{file: DummyFemale_Dash_Forward-50.png; pivotX: 91.90942; pivotY: 312.8977}
{file: DummyFemale_Dash_Forward-51.png; pivotX: 91.95667; pivotY: 313.8394}
