{file: DummyFemale_Death-0.png; pivotX: 333.2469; pivotY: 525.9273}
{file: DummyFemale_Death-1.png; pivotX: 323.8623; pivotY: 527.9277}
{file: DummyFemale_Death-2.png; pivotX: 313.9338; pivotY: 529.9061}
{file: DummyFemale_Death-3.png; pivotX: 303.4024; pivotY: 531.8461}
{file: DummyFemale_Death-4.png; pivotX: 292.685; pivotY: 532.9406}
{file: DummyFemale_Death-5.png; pivotX: 282.2841; pivotY: 534.7185}
{file: DummyFemale_Death-6.png; pivotX: 272.6059; pivotY: 535.637}
{file: DummyFemale_Death-7.png; pivotX: 263.2814; pivotY: 536.4951}
{file: DummyFemale_Death-8.png; pivotX: 253.393; pivotY: 536.605}
{file: DummyFemale_Death-9.png; pivotX: 243.5027; pivotY: 537.4836}
{file: DummyFemale_Death-10.png; pivotX: 233.5346; pivotY: 537.6061}
{file: DummyFemale_Death-11.png; pivotX: 223.0571; pivotY: 538.4933}
{file: DummyFemale_Death-12.png; pivotX: 212.9888; pivotY: 538.6201}
{file: DummyFemale_Death-13.png; pivotX: 203.3627; pivotY: 538.7441}
{file: DummyFemale_Death-14.png; pivotX: 193.7171; pivotY: 539.6233}
{file: DummyFemale_Death-15.png; pivotX: 184.4638; pivotY: 539.7319}
{file: DummyFemale_Death-16.png; pivotX: 175.6409; pivotY: 539.8301}
{file: DummyFemale_Death-17.png; pivotX: 167.765; pivotY: 540.7126}
{file: DummyFemale_Death-18.png; pivotX: 160.423; pivotY: 540.8331}
{file: DummyFemale_Death-19.png; pivotX: 153.448; pivotY: 541.7761}
{file: DummyFemale_Death-20.png; pivotX: 148.6414; pivotY: 542.8091}
{file: DummyFemale_Death-21.png; pivotX: 146.2404; pivotY: 544.6844}
{file: DummyFemale_Death-22.png; pivotX: 145.0379; pivotY: 546.5494}
{file: DummyFemale_Death-23.png; pivotX: 145.8277; pivotY: 547.5658}
{file: DummyFemale_Death-24.png; pivotX: 146.9988; pivotY: 549.282}
{file: DummyFemale_Death-25.png; pivotX: 148.8098; pivotY: 550.1891}
{file: DummyFemale_Death-26.png; pivotX: 150.5847; pivotY: 550.307}
{file: DummyFemale_Death-27.png; pivotX: 151.6827; pivotY: 550.3566}
{file: DummyFemale_Death-28.png; pivotX: 152.6568; pivotY: 549.5107}
{file: DummyFemale_Death-29.png; pivotX: 153.7107; pivotY: 548.5269}
{file: DummyFemale_Death-30.png; pivotX: 154.259; pivotY: 546.6816}
{file: DummyFemale_Death-31.png; pivotX: 155.359; pivotY: 545.563}
{file: DummyFemale_Death-32.png; pivotX: 156.4128; pivotY: 543.6544}
{file: DummyFemale_Death-33.png; pivotX: 157.4815; pivotY: 542.4985}
{file: DummyFemale_Death-34.png; pivotX: 158.4634; pivotY: 540.5793}
{file: DummyFemale_Death-35.png; pivotX: 158.9222; pivotY: 539.434}
{file: DummyFemale_Death-36.png; pivotX: 158.753; pivotY: 537.5515}
{file: DummyFemale_Death-37.png; pivotX: 159.022; pivotY: 536.4695}
{file: DummyFemale_Death-38.png; pivotX: 158.1662; pivotY: 535.4407}
{file: DummyFemale_Death-39.png; pivotX: 157.1657; pivotY: 534.4906}
{file: DummyFemale_Death-40.png; pivotX: 155.4839; pivotY: 533.6072}
{file: DummyFemale_Death-41.png; pivotX: 153.8725; pivotY: 532.7466}
{file: DummyFemale_Death-42.png; pivotX: 151.6702; pivotY: 532.6628}
{file: DummyFemale_Death-43.png; pivotX: 148.765; pivotY: 531.8102}
{file: DummyFemale_Death-44.png; pivotX: 145.1984; pivotY: 530.9342}
{file: DummyFemale_Death-45.png; pivotX: 141.0055; pivotY: 530.7277}
{file: DummyFemale_Death-46.png; pivotX: 136.5983; pivotY: 529.658}
{file: DummyFemale_Death-47.png; pivotX: 131.4807; pivotY: 527.8168}
{file: DummyFemale_Death-48.png; pivotX: 125.5091; pivotY: 525.6725}
{file: DummyFemale_Death-49.png; pivotX: 119.9017; pivotY: 522.4051}
{file: DummyFemale_Death-50.png; pivotX: 116.1906; pivotY: 518.3428}
{file: DummyFemale_Death-51.png; pivotX: 112.7623; pivotY: 511.9864}
