{file: DummyFemale_Death-0.png; posX: 0; posY: 0}
{file: DummyFemale_Death-1.png; posX: -0.01510584; posY: -0.001841128}
{file: DummyFemale_Death-2.png; posX: -0.02996759; posY: -0.003407836}
{file: DummyFemale_Death-3.png; posX: -0.04497867; posY: -0.004484296}
{file: DummyFemale_Death-4.png; posX: -0.06058467; posY: -0.00485456}
{file: DummyFemale_Death-5.png; posX: -0.07723117; posY: -0.004302859}
{file: DummyFemale_Death-6.png; posX: -0.09484169; posY: -0.002613306}
{file: DummyFemale_Death-7.png; posX: -0.1129698; posY: 0.0004299879}
{file: DummyFemale_Death-8.png; posX: -0.1315065; posY: 0.004413784}
{file: DummyFemale_Death-9.png; posX: -0.1503425; posY: 0.008754373}
{file: DummyFemale_Death-10.png; posX: -0.1693687; posY: 0.01341164}
{file: DummyFemale_Death-11.png; posX: -0.1884759; posY: 0.01834571}
{file: DummyFemale_Death-12.png; posX: -0.2075551; posY: 0.02351642}
{file: DummyFemale_Death-13.png; posX: -0.2264969; posY: 0.02888381}
{file: DummyFemale_Death-14.png; posX: -0.2451923; posY: 0.03440785}
{file: DummyFemale_Death-15.png; posX: -0.2635322; posY: 0.04004854}
{file: DummyFemale_Death-16.png; posX: -0.2814074; posY: 0.04576582}
{file: DummyFemale_Death-17.png; posX: -0.2981696; posY: 0.05151963}
{file: DummyFemale_Death-18.png; posX: -0.3104353; posY: 0.05727005}
{file: DummyFemale_Death-19.png; posX: -0.3171886; posY: 0.06297696}
{file: DummyFemale_Death-20.png; posX: -0.3216449; posY: 0.06860036}
{file: DummyFemale_Death-21.png; posX: -0.3259382; posY: 0.07410032}
{file: DummyFemale_Death-22.png; posX: -0.3304846; posY: 0.07943666}
{file: DummyFemale_Death-23.png; posX: -0.3342434; posY: 0.08456945}
{file: DummyFemale_Death-24.png; posX: -0.3371633; posY: 0.08945864}
{file: DummyFemale_Death-25.png; posX: -0.3391933; posY: 0.09362054}
{file: DummyFemale_Death-26.png; posX: -0.340282; posY: 0.09666616}
{file: DummyFemale_Death-27.png; posX: -0.3403785; posY: 0.09869736}
{file: DummyFemale_Death-28.png; posX: -0.3394314; posY: 0.0998162}
{file: DummyFemale_Death-29.png; posX: -0.3373896; posY: 0.1001247}
{file: DummyFemale_Death-30.png; posX: -0.3345671; posY: 0.09972459}
{file: DummyFemale_Death-31.png; posX: -0.3314459; posY: 0.09871805}
{file: DummyFemale_Death-32.png; posX: -0.3282277; posY: 0.09720701}
{file: DummyFemale_Death-33.png; posX: -0.3251139; posY: 0.09529346}
{file: DummyFemale_Death-34.png; posX: -0.3223061; posY: 0.09307927}
{file: DummyFemale_Death-35.png; posX: -0.3200057; posY: 0.09066653}
{file: DummyFemale_Death-36.png; posX: -0.3184142; posY: 0.08815712}
{file: DummyFemale_Death-37.png; posX: -0.3177331; posY: 0.08565301}
{file: DummyFemale_Death-38.png; posX: -0.3181639; posY: 0.08325624}
{file: DummyFemale_Death-39.png; posX: -0.3199081; posY: 0.08106869}
{file: DummyFemale_Death-40.png; posX: -0.3227136; posY: 0.0791924}
{file: DummyFemale_Death-41.png; posX: -0.3260947; posY: 0.07729268}
{file: DummyFemale_Death-42.png; posX: -0.3299029; posY: 0.07488781}
{file: DummyFemale_Death-43.png; posX: -0.3339897; posY: 0.07185906}
{file: DummyFemale_Death-44.png; posX: -0.3382065; posY: 0.06808758}
{file: DummyFemale_Death-45.png; posX: -0.3424049; posY: 0.06345463}
{file: DummyFemale_Death-46.png; posX: -0.3464362; posY: 0.0578416}
{file: DummyFemale_Death-47.png; posX: -0.350152; posY: 0.05112958}
{file: DummyFemale_Death-48.png; posX: -0.3534037; posY: 0.04071772}
{file: DummyFemale_Death-49.png; posX: -0.3551917; posY: 0.0240801}
{file: DummyFemale_Death-50.png; posX: -0.3548205; posY: 0.001210213}
{file: DummyFemale_Death-51.png; posX: -0.3525971; posY: -0.02789855}
{file: DummyFemale_Death-52.png; posX: -0.3488287; posY: -0.06325269}
{file: DummyFemale_Death-53.png; posX: -0.3438224; posY: -0.1036281}
{file: DummyFemale_Death-54.png; posX: -0.3378855; posY: -0.1465153}
{file: DummyFemale_Death-55.png; posX: -0.331325; posY: -0.1899925}
{file: DummyFemale_Death-56.png; posX: -0.3244481; posY: -0.2321376}
{file: DummyFemale_Death-57.png; posX: -0.3173743; posY: -0.2710286}
{file: DummyFemale_Death-58.png; posX: -0.3097092; posY: -0.3047437}
{file: DummyFemale_Death-59.png; posX: -0.3009894; posY: -0.3313611}
{file: DummyFemale_Death-60.png; posX: -0.290752; posY: -0.3470875}
{file: DummyFemale_Death-61.png; posX: -0.2785334; posY: -0.35191}
{file: DummyFemale_Death-62.png; posX: -0.2647642; posY: -0.3495764}
{file: DummyFemale_Death-63.png; posX: -0.2503703; posY: -0.3438349}
{file: DummyFemale_Death-64.png; posX: -0.2356308; posY: -0.3384334}
{file: DummyFemale_Death-65.png; posX: -0.2208255; posY: -0.334052}
{file: DummyFemale_Death-66.png; posX: -0.2062337; posY: -0.3290462}
{file: DummyFemale_Death-67.png; posX: -0.1921349; posY: -0.3236775}
{file: DummyFemale_Death-68.png; posX: -0.1788084; posY: -0.3182071}
{file: DummyFemale_Death-69.png; posX: -0.166534; posY: -0.3128965}
{file: DummyFemale_Death-70.png; posX: -0.1550836; posY: -0.3080071}
{file: DummyFemale_Death-71.png; posX: -0.1440137; posY: -0.3038002}
{file: DummyFemale_Death-72.png; posX: -0.1332807; posY: -0.3001252}
{file: DummyFemale_Death-73.png; posX: -0.1228407; posY: -0.2966594}
{file: DummyFemale_Death-74.png; posX: -0.11265; posY: -0.2934059}
{file: DummyFemale_Death-75.png; posX: -0.1026646; posY: -0.290368}
{file: DummyFemale_Death-76.png; posX: -0.09284107; posY: -0.2875489}
{file: DummyFemale_Death-77.png; posX: -0.08313547; posY: -0.2849518}
{file: DummyFemale_Death-78.png; posX: -0.07350406; posY: -0.28258}
{file: DummyFemale_Death-79.png; posX: -0.0639037; posY: -0.2804366}
{file: DummyFemale_Death-80.png; posX: -0.05442413; posY: -0.2785248}
{file: DummyFemale_Death-81.png; posX: -0.04522078; posY: -0.276848}
{file: DummyFemale_Death-82.png; posX: -0.03644904; posY: -0.2754092}
{file: DummyFemale_Death-83.png; posX: -0.02826448; posY: -0.2742117}
{file: DummyFemale_Death-84.png; posX: -0.02069264; posY: -0.2732587}
{file: DummyFemale_Death-85.png; posX: -0.01352834; posY: -0.2725535}
{file: DummyFemale_Death-86.png; posX: -0.006580845; posY: -0.2720992}
{file: DummyFemale_Death-87.png; posX: 0.0003405958; posY: -0.271899}
{file: DummyFemale_Death-88.png; posX: 0.00739102; posY: -0.2719563}
{file: DummyFemale_Death-89.png; posX: 0.014716; posY: -0.2722741}
{file: DummyFemale_Death-90.png; posX: 0.02249188; posY: -0.2728558}
{file: DummyFemale_Death-91.png; posX: 0.03089515; posY: -0.2737045}
{file: DummyFemale_Death-92.png; posX: 0.04010228; posY: -0.2748234}
{file: DummyFemale_Death-93.png; posX: 0.0502897; posY: -0.2762157}
{file: DummyFemale_Death-94.png; posX: 0.06163385; posY: -0.2778847}
{file: DummyFemale_Death-95.png; posX: 0.07409813; posY: -0.2798336}
{file: DummyFemale_Death-96.png; posX: 0.08740705; posY: -0.2820656}
{file: DummyFemale_Death-97.png; posX: 0.1013784; posY: -0.2843003}
{file: DummyFemale_Death-98.png; posX: 0.1158304; posY: -0.2863215}
{file: DummyFemale_Death-99.png; posX: 0.1305811; posY: -0.288229}
{file: DummyFemale_Death-100.png; posX: 0.1455875; posY: -0.2901225}
{file: DummyFemale_Death-101.png; posX: 0.1609452; posY: -0.2921018}
{file: DummyFemale_Death-102.png; posX: 0.1766796; posY: -0.2942664}
{file: DummyFemale_Death-103.png; posX: 0.1928161; posY: -0.2967163}
{file: DummyFemale_Death-104.png; posX: 0.2093799; posY: -0.299551}
{file: DummyFemale_Death-105.png; posX: 0.2263964; posY: -0.3028704}
{file: DummyFemale_Death-106.png; posX: 0.2438912; posY: -0.306774}
{file: DummyFemale_Death-107.png; posX: 0.2618895; posY: -0.3113617}
{file: DummyFemale_Death-108.png; posX: 0.2804167; posY: -0.3167331}
{file: DummyFemale_Death-109.png; posX: 0.2994983; posY: -0.3229881}
{file: DummyFemale_Death-110.png; posX: 0.3191596; posY: -0.3302262}
{file: DummyFemale_Death-111.png; posX: 0.3394259; posY: -0.3385473}
{file: DummyFemale_Death-112.png; posX: 0.3603227; posY: -0.3480509}
{file: DummyFemale_Death-113.png; posX: 0.3818753; posY: -0.3588369}
{file: DummyFemale_Death-114.png; posX: 0.4048393; posY: -0.3722718}
{file: DummyFemale_Death-115.png; posX: 0.4297634; posY: -0.3892134}
{file: DummyFemale_Death-116.png; posX: 0.4563627; posY: -0.4089988}
