{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-0.png; posX: 0; posY: 0}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-1.png; posX: 0; posY: 0.0001001656}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-2.png; posX: 0; posY: 0.0001936182}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-3.png; posX: 0; posY: 0.0002805442}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-4.png; posX: 0; posY: 0.0003611371}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-5.png; posX: 0; posY: 0.0004355982}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-6.png; posX: 0; posY: 0.0005041137}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-7.png; posX: 0; posY: 0.00056687}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-8.png; posX: 0; posY: 0.0006240606}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-9.png; posX: 0; posY: 0.0006758869}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-10.png; posX: 0; posY: 0.0007225275}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-11.png; posX: 0; posY: 0.0007641837}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-12.png; posX: 0; posY: 0.0008010417}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-13.png; posX: 0; posY: 0.0008332953}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-14.png; posX: 0; posY: 0.0008611456}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-15.png; posX: 0; posY: 0.0008847639}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-16.png; posX: 0; posY: 0.0009043589}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-17.png; posX: 0; posY: 0.0009201169}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-18.png; posX: 0; posY: 0.0009322315}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-19.png; posX: 0; posY: 0.0009408966}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-20.png; posX: 0; posY: 0.0009462982}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-21.png; posX: 0; posY: 0.0009486228}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-22.png; posX: 0; posY: 0.0009480789}
