{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-0.png; posX: 0; posY: 0}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-1.png; posX: 0; posY: -3.147125E-05}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-2.png; posX: 0; posY: 0.001915947}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-3.png; posX: 0; posY: 0.008219495}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-4.png; posX: 0; posY: 0.01782352}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-5.png; posX: 0; posY: 0.02900638}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-6.png; posX: 0; posY: 0.04004636}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-7.png; posX: 0; posY: 0.04922184}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-8.png; posX: 0; posY: 0.05479096}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-9.png; posX: 0; posY: 0.05482176}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-10.png; posX: 0; posY: 0.04730737}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-11.png; posX: 0; posY: 0.03128715}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-12.png; posX: 0; posY: 0.01026253}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-13.png; posX: 0; posY: -0.01108031}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-14.png; posX: 0; posY: -0.02805514}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-15.png; posX: 0; posY: -0.03751843}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-16.png; posX: 0; posY: -0.04088304}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-17.png; posX: 0; posY: -0.04029734}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-18.png; posX: 0; posY: -0.03790963}
