{file: DummyFemale_Idle-0.png; pivotX: 91.96578; pivotY: 313.7614}
{file: DummyFemale_Idle-1.png; pivotX: 92.03085; pivotY: 313.7684}
{file: DummyFemale_Idle-2.png; pivotX: 92.08605; pivotY: 314.7389}
{file: DummyFemale_Idle-3.png; pivotX: 92.14521; pivotY: 314.7439}
{file: DummyFemale_Idle-4.png; pivotX: 92.20249; pivotY: 314.7506}
{file: DummyFemale_Idle-5.png; pivotX: 92.25976; pivotY: 314.7564}
{file: DummyFemale_Idle-6.png; pivotX: 92.31611; pivotY: 314.7621}
{file: DummyFemale_Idle-7.png; pivotX: 92.37013; pivotY: 315.7345}
{file: DummyFemale_Idle-8.png; pivotX: 92.4274; pivotY: 315.7399}
{file: DummyFemale_Idle-9.png; pivotX: 92.48933; pivotY: 315.7462}
{file: DummyFemale_Idle-10.png; pivotX: 92.55241; pivotY: 315.7509}
{file: DummyFemale_Idle-11.png; pivotX: 92.61763; pivotY: 315.7558}
{file: DummyFemale_Idle-12.png; pivotX: 92.68982; pivotY: 315.7604}
{file: DummyFemale_Idle-13.png; pivotX: 92.76317; pivotY: 315.7641}
{file: DummyFemale_Idle-14.png; pivotX: 92.8409; pivotY: 316.7329}
{file: DummyFemale_Idle-15.png; pivotX: 92.9269; pivotY: 316.7356}
{file: DummyFemale_Idle-16.png; pivotX: 93.02007; pivotY: 316.7389}
{file: DummyFemale_Idle-17.png; pivotX: 93.12269; pivotY: 316.7386}
{file: DummyFemale_Idle-18.png; pivotX: 93.23919; pivotY: 316.7375}
{file: DummyFemale_Idle-19.png; pivotX: 93.36707; pivotY: 316.7355}
{file: DummyFemale_Idle-20.png; pivotX: 94.00211; pivotY: 316.7326}
{file: DummyFemale_Idle-21.png; pivotX: 94.14298; pivotY: 316.7295}
{file: DummyFemale_Idle-22.png; pivotX: 94.28722; pivotY: 316.7247}
{file: DummyFemale_Idle-23.png; pivotX: 94.43747; pivotY: 316.7218}
{file: DummyFemale_Idle-24.png; pivotX: 94.58477; pivotY: 316.7174}
{file: DummyFemale_Idle-25.png; pivotX: 94.7304; pivotY: 315.747}
{file: DummyFemale_Idle-26.png; pivotX: 95.37184; pivotY: 315.741}
{file: DummyFemale_Idle-27.png; pivotX: 95.50594; pivotY: 315.7347}
{file: DummyFemale_Idle-28.png; pivotX: 95.63207; pivotY: 315.7302}
{file: DummyFemale_Idle-29.png; pivotX: 95.74771; pivotY: 315.7236}
{file: DummyFemale_Idle-30.png; pivotX: 95.8506; pivotY: 315.7181}
{file: DummyFemale_Idle-31.png; pivotX: 95.94856; pivotY: 314.7458}
{file: DummyFemale_Idle-32.png; pivotX: 96.56293; pivotY: 314.7391}
{file: DummyFemale_Idle-33.png; pivotX: 96.68233; pivotY: 314.732}
{file: DummyFemale_Idle-34.png; pivotX: 96.80726; pivotY: 314.7236}
{file: DummyFemale_Idle-35.png; pivotX: 96.93376; pivotY: 314.7159}
{file: DummyFemale_Idle-36.png; pivotX: 97.05177; pivotY: 313.7433}
{file: DummyFemale_Idle-37.png; pivotX: 97.66823; pivotY: 313.7378}
{file: DummyFemale_Idle-38.png; pivotX: 97.7737; pivotY: 313.7302}
{file: DummyFemale_Idle-39.png; pivotX: 97.86517; pivotY: 313.7246}
{file: DummyFemale_Idle-40.png; pivotX: 97.93517; pivotY: 312.7538}
{file: DummyFemale_Idle-41.png; pivotX: 97.99024; pivotY: 312.7487}
{file: DummyFemale_Idle-42.png; pivotX: 98.02089; pivotY: 312.7441}
{file: DummyFemale_Idle-43.png; pivotX: 98.01994; pivotY: 312.74}
{file: DummyFemale_Idle-44.png; pivotX: 98.47334; pivotY: 312.736}
{file: DummyFemale_Idle-45.png; pivotX: 98.38871; pivotY: 311.7661}
{file: DummyFemale_Idle-46.png; pivotX: 98.27624; pivotY: 311.7622}
{file: DummyFemale_Idle-47.png; pivotX: 98.13522; pivotY: 311.7548}
{file: DummyFemale_Idle-48.png; pivotX: 97.97811; pivotY: 311.7474}
{file: DummyFemale_Idle-49.png; pivotX: 97.80347; pivotY: 310.7763}
