{file: DummyFemale_Idle-0.png; posX: -2.980232E-10; posY: 0.7460679}
{file: DummyFemale_Idle-1.png; posX: -0.0003942607; posY: 0.7466707}
{file: DummyFemale_Idle-2.png; posX: -0.0007542445; posY: 0.7473052}
{file: DummyFemale_Idle-3.png; posX: -0.001086529; posY: 0.747965}
{file: DummyFemale_Idle-4.png; posX: -0.001399359; posY: 0.7486426}
{file: DummyFemale_Idle-5.png; posX: -0.001700975; posY: 0.7493305}
{file: DummyFemale_Idle-6.png; posX: -0.001999621; posY: 0.7500212}
{file: DummyFemale_Idle-7.png; posX: -0.002303541; posY: 0.7507069}
{file: DummyFemale_Idle-8.png; posX: -0.002620978; posY: 0.7513802}
{file: DummyFemale_Idle-9.png; posX: -0.002960173; posY: 0.7520335}
{file: DummyFemale_Idle-10.png; posX: -0.003329371; posY: 0.7526593}
{file: DummyFemale_Idle-11.png; posX: -0.003736814; posY: 0.7532499}
{file: DummyFemale_Idle-12.png; posX: -0.004190747; posY: 0.7537978}
{file: DummyFemale_Idle-13.png; posX: -0.00469941; posY: 0.7542955}
{file: DummyFemale_Idle-14.png; posX: -0.005271048; posY: 0.7547354}
{file: DummyFemale_Idle-15.png; posX: -0.005913905; posY: 0.7551098}
{file: DummyFemale_Idle-16.png; posX: -0.006650762; posY: 0.7554183}
{file: DummyFemale_Idle-17.png; posX: -0.007495353; posY: 0.7556682}
{file: DummyFemale_Idle-18.png; posX: -0.008442333; posY: 0.755864}
{file: DummyFemale_Idle-19.png; posX: -0.009486346; posY: 0.7560098}
{file: DummyFemale_Idle-20.png; posX: -0.01062205; posY: 0.7561099}
{file: DummyFemale_Idle-21.png; posX: -0.01182831; posY: 0.7561625}
{file: DummyFemale_Idle-22.png; posX: -0.01307785; posY: 0.7561628}
{file: DummyFemale_Idle-23.png; posX: -0.01435609; posY: 0.7561083}
{file: DummyFemale_Idle-24.png; posX: -0.01564847; posY: 0.7559966}
{file: DummyFemale_Idle-25.png; posX: -0.01694042; posY: 0.7558256}
{file: DummyFemale_Idle-26.png; posX: -0.0182174; posY: 0.7555928}
{file: DummyFemale_Idle-27.png; posX: -0.01946484; posY: 0.7552958}
{file: DummyFemale_Idle-28.png; posX: -0.02066817; posY: 0.7549322}
{file: DummyFemale_Idle-29.png; posX: -0.02181283; posY: 0.7544998}
{file: DummyFemale_Idle-30.png; posX: -0.02288426; posY: 0.7539962}
{file: DummyFemale_Idle-31.png; posX: -0.02397326; posY: 0.7534162}
{file: DummyFemale_Idle-32.png; posX: -0.02516077; posY: 0.7527604}
{file: DummyFemale_Idle-33.png; posX: -0.02641743; posY: 0.7520354}
{file: DummyFemale_Idle-34.png; posX: -0.02771389; posY: 0.7512476}
{file: DummyFemale_Idle-35.png; posX: -0.02902083; posY: 0.7504038}
{file: DummyFemale_Idle-36.png; posX: -0.03030889; posY: 0.7495103}
{file: DummyFemale_Idle-37.png; posX: -0.03154872; posY: 0.748574}
{file: DummyFemale_Idle-38.png; posX: -0.03271099; posY: 0.7476011}
{file: DummyFemale_Idle-39.png; posX: -0.03376635; posY: 0.7465984}
{file: DummyFemale_Idle-40.png; posX: -0.03468546; posY: 0.7455723}
{file: DummyFemale_Idle-41.png; posX: -0.03543898; posY: 0.7445295}
{file: DummyFemale_Idle-42.png; posX: -0.03599755; posY: 0.7434765}
{file: DummyFemale_Idle-43.png; posX: -0.03633184; posY: 0.74242}
{file: DummyFemale_Idle-44.png; posX: -0.0364125; posY: 0.7413663}
{file: DummyFemale_Idle-45.png; posX: -0.03621019; posY: 0.7403221}
{file: DummyFemale_Idle-46.png; posX: -0.03569556; posY: 0.7392941}
{file: DummyFemale_Idle-47.png; posX: -0.0349429; posY: 0.7382571}
{file: DummyFemale_Idle-48.png; posX: -0.03405206; posY: 0.7371832}
{file: DummyFemale_Idle-49.png; posX: -0.03303215; posY: 0.7360762}
{file: DummyFemale_Idle-50.png; posX: -0.03189232; posY: 0.73494}
{file: DummyFemale_Idle-51.png; posX: -0.03064168; posY: 0.7337783}
{file: DummyFemale_Idle-52.png; posX: -0.02928936; posY: 0.7325951}
{file: DummyFemale_Idle-53.png; posX: -0.02784449; posY: 0.7313941}
{file: DummyFemale_Idle-54.png; posX: -0.0263162; posY: 0.7301792}
{file: DummyFemale_Idle-55.png; posX: -0.02471361; posY: 0.7289543}
{file: DummyFemale_Idle-56.png; posX: -0.02304585; posY: 0.7277231}
{file: DummyFemale_Idle-57.png; posX: -0.02132205; posY: 0.7264896}
{file: DummyFemale_Idle-58.png; posX: -0.01955133; posY: 0.7252576}
{file: DummyFemale_Idle-59.png; posX: -0.01774281; posY: 0.7240309}
{file: DummyFemale_Idle-60.png; posX: -0.01590563; posY: 0.7228132}
{file: DummyFemale_Idle-61.png; posX: -0.01404892; posY: 0.7216086}
{file: DummyFemale_Idle-62.png; posX: -0.0121818; posY: 0.7204209}
{file: DummyFemale_Idle-63.png; posX: -0.0103134; posY: 0.7192538}
{file: DummyFemale_Idle-64.png; posX: -0.00844902; posY: 0.7181118}
{file: DummyFemale_Idle-65.png; posX: -0.006593066; posY: 0.7170002}
