{file: DummyFemale_Idle_To_Running-0.png; pivotX: 91.94279; pivotY: 316.3279}
{file: DummyFemale_Idle_To_Running-1.png; pivotX: 108.0668; pivotY: 314.8627}
{file: DummyFemale_Idle_To_Running-2.png; pivotX: 119.4961; pivotY: 311.8502}
{file: DummyFemale_Idle_To_Running-3.png; pivotX: 125.092; pivotY: 309.2242}
{file: DummyFemale_Idle_To_Running-4.png; pivotX: 122.9075; pivotY: 305.2989}
{file: DummyFemale_Idle_To_Running-5.png; pivotX: 116.1723; pivotY: 299.7976}
{file: DummyFemale_Idle_To_Running-6.png; pivotX: 103.1046; pivotY: 295.9674}
{file: DummyFemale_Idle_To_Running-7.png; pivotX: 82.09591; pivotY: 292.5538}
{file: DummyFemale_Idle_To_Running-8.png; pivotX: 98.54243; pivotY: 291.7581}
{file: DummyFemale_Idle_To_Running-9.png; pivotX: 107.4917; pivotY: 291.7324}
{file: DummyFemale_Idle_To_Running-10.png; pivotX: 117.7903; pivotY: 292.1011}
{file: DummyFemale_Idle_To_Running-11.png; pivotX: 121.9036; pivotY: 288.2172}
{file: DummyFemale_Idle_To_Running-12.png; pivotX: 123.1721; pivotY: 285.6434}
{file: DummyFemale_Idle_To_Running-13.png; pivotX: 127.5771; pivotY: 288.221}
{file: DummyFemale_Idle_To_Running-14.png; pivotX: 132.2182; pivotY: 290.8138}
{file: DummyFemale_Idle_To_Running-15.png; pivotX: 134.5347; pivotY: 293.4593}
{file: DummyFemale_Idle_To_Running-16.png; pivotX: 133.5966; pivotY: 295.3016}
{file: DummyFemale_Idle_To_Running-17.png; pivotX: 129.2893; pivotY: 296.2505}
{file: DummyFemale_Idle_To_Running-18.png; pivotX: 120.6056; pivotY: 297.2457}
{file: DummyFemale_Idle_To_Running-19.png; pivotX: 105.7711; pivotY: 296.3337}
{file: DummyFemale_Idle_To_Running-20.png; pivotX: 88.62379; pivotY: 295.4785}
{file: DummyFemale_Idle_To_Running-21.png; pivotX: 71.9761; pivotY: 293.0334}
{file: DummyFemale_Idle_To_Running-22.png; pivotX: 61.05675; pivotY: 291.1619}
{file: DummyFemale_Idle_To_Running-23.png; pivotX: 71.11555; pivotY: 290.489}
{file: DummyFemale_Idle_To_Running-24.png; pivotX: 77.76222; pivotY: 290.209}
{file: DummyFemale_Idle_To_Running-25.png; pivotX: 85.55049; pivotY: 289.1351}
