{file: DummyFemale_Loop_Able_Dizzy-0.png; pivotX: 333.2468; pivotY: 525.9274}
{file: DummyFemale_Loop_Able_Dizzy-1.png; pivotX: 333.2615; pivotY: 526.7073}
{file: DummyFemale_Loop_Able_Dizzy-2.png; pivotX: 333.2597; pivotY: 526.735}
{file: DummyFemale_Loop_Able_Dizzy-3.png; pivotX: 333.2578; pivotY: 526.7661}
{file: DummyFemale_Loop_Able_Dizzy-4.png; pivotX: 333.2557; pivotY: 526.7964}
{file: DummyFemale_Loop_Able_Dizzy-5.png; pivotX: 333.2536; pivotY: 526.8247}
{file: DummyFemale_Loop_Able_Dizzy-6.png; pivotX: 333.2518; pivotY: 526.8503}
{file: DummyFemale_Loop_Able_Dizzy-7.png; pivotX: 333.2506; pivotY: 526.8705}
{file: DummyFemale_Loop_Able_Dizzy-8.png; pivotX: 333.2498; pivotY: 526.8826}
{file: DummyFemale_Loop_Able_Dizzy-9.png; pivotX: 333.2498; pivotY: 526.8838}
{file: DummyFemale_Loop_Able_Dizzy-10.png; pivotX: 333.2505; pivotY: 526.8719}
{file: DummyFemale_Loop_Able_Dizzy-11.png; pivotX: 333.252; pivotY: 526.8509}
{file: DummyFemale_Loop_Able_Dizzy-12.png; pivotX: 333.2537; pivotY: 526.8247}
{file: DummyFemale_Loop_Able_Dizzy-13.png; pivotX: 333.2557; pivotY: 526.7939}
{file: DummyFemale_Loop_Able_Dizzy-14.png; pivotX: 333.2581; pivotY: 526.7591}
{file: DummyFemale_Loop_Able_Dizzy-15.png; pivotX: 333.2606; pivotY: 526.7206}
{file: DummyFemale_Loop_Able_Dizzy-16.png; pivotX: 333.2472; pivotY: 525.9214}
{file: DummyFemale_Loop_Able_Dizzy-17.png; pivotX: 333.2501; pivotY: 525.8781}
{file: DummyFemale_Loop_Able_Dizzy-18.png; pivotX: 333.2531; pivotY: 525.8333}
{file: DummyFemale_Loop_Able_Dizzy-19.png; pivotX: 333.2562; pivotY: 525.7871}
{file: DummyFemale_Loop_Able_Dizzy-20.png; pivotX: 333.2594; pivotY: 525.7401}
{file: DummyFemale_Loop_Able_Dizzy-21.png; pivotX: 333.2463; pivotY: 524.9354}
{file: DummyFemale_Loop_Able_Dizzy-22.png; pivotX: 333.2495; pivotY: 524.8885}
{file: DummyFemale_Loop_Able_Dizzy-23.png; pivotX: 333.2525; pivotY: 524.8425}
{file: DummyFemale_Loop_Able_Dizzy-24.png; pivotX: 333.2555; pivotY: 524.798}
{file: DummyFemale_Loop_Able_Dizzy-25.png; pivotX: 333.2583; pivotY: 524.7556}
{file: DummyFemale_Loop_Able_Dizzy-26.png; pivotX: 333.261; pivotY: 524.7158}
{file: DummyFemale_Loop_Able_Dizzy-27.png; pivotX: 333.2472; pivotY: 523.9221}
{file: DummyFemale_Loop_Able_Dizzy-28.png; pivotX: 333.2493; pivotY: 523.8889}
{file: DummyFemale_Loop_Able_Dizzy-29.png; pivotX: 333.2513; pivotY: 523.8591}
{file: DummyFemale_Loop_Able_Dizzy-30.png; pivotX: 333.2531; pivotY: 523.8327}
{file: DummyFemale_Loop_Able_Dizzy-31.png; pivotX: 333.2548; pivotY: 523.8086}
{file: DummyFemale_Loop_Able_Dizzy-32.png; pivotX: 333.2563; pivotY: 523.7863}
