{file: DummyFemale_Loop_Able_Dizzy-0.png; posX: 2.980232E-10; posY: 0}
{file: DummyFemale_Loop_Able_Dizzy-1.png; posX: 0.0008662056; posY: 0.0004171133}
{file: DummyFemale_Loop_Able_Dizzy-2.png; posX: 0.002070054; posY: 0.0007342696}
{file: DummyFemale_Loop_Able_Dizzy-3.png; posX: 0.003486291; posY: 0.0009559393}
{file: DummyFemale_Loop_Able_Dizzy-4.png; posX: 0.004935203; posY: 0.001086771}
{file: DummyFemale_Loop_Able_Dizzy-5.png; posX: 0.006279772; posY: 0.001131356}
{file: DummyFemale_Loop_Able_Dizzy-6.png; posX: 0.007396922; posY: 0.001094282}
{file: DummyFemale_Loop_Able_Dizzy-7.png; posX: 0.008127852; posY: 0.0009801388}
{file: DummyFemale_Loop_Able_Dizzy-8.png; posX: 0.008313761; posY: 0.0007935166}
{file: DummyFemale_Loop_Able_Dizzy-9.png; posX: 0.007795848; posY: 0.0005389452}
{file: DummyFemale_Loop_Able_Dizzy-10.png; posX: 0.006443498; posY: 0.0002210736}
{file: DummyFemale_Loop_Able_Dizzy-11.png; posX: 0.00455102; posY: -0.0001555085}
{file: DummyFemale_Loop_Able_Dizzy-12.png; posX: 0.002451262; posY: -0.0005862117}
{file: DummyFemale_Loop_Able_Dizzy-13.png; posX: 0.0001641912; posY: -0.001066506}
{file: DummyFemale_Loop_Able_Dizzy-14.png; posX: -0.00230094; posY: -0.001591742}
{file: DummyFemale_Loop_Able_Dizzy-15.png; posX: -0.004934876; posY: -0.00215739}
{file: DummyFemale_Loop_Able_Dizzy-16.png; posX: -0.007728368; posY: -0.002758801}
{file: DummyFemale_Loop_Able_Dizzy-17.png; posX: -0.01067215; posY: -0.003391385}
{file: DummyFemale_Loop_Able_Dizzy-18.png; posX: -0.01375821; posY: -0.004050612}
{file: DummyFemale_Loop_Able_Dizzy-19.png; posX: -0.01697871; posY: -0.004731834}
{file: DummyFemale_Loop_Able_Dizzy-20.png; posX: -0.02032471; posY: -0.00543052}
{file: DummyFemale_Loop_Able_Dizzy-21.png; posX: -0.02378727; posY: -0.00614202}
{file: DummyFemale_Loop_Able_Dizzy-22.png; posX: -0.02735744; posY: -0.006861806}
{file: DummyFemale_Loop_Able_Dizzy-23.png; posX: -0.03102629; posY: -0.007585227}
{file: DummyFemale_Loop_Able_Dizzy-24.png; posX: -0.03478487; posY: -0.008307755}
{file: DummyFemale_Loop_Able_Dizzy-25.png; posX: -0.03862425; posY: -0.009024799}
{file: DummyFemale_Loop_Able_Dizzy-26.png; posX: -0.04253546; posY: -0.00973171}
{file: DummyFemale_Loop_Able_Dizzy-27.png; posX: -0.0465096; posY: -0.01042396}
{file: DummyFemale_Loop_Able_Dizzy-28.png; posX: -0.05064807; posY: -0.01109695}
{file: DummyFemale_Loop_Able_Dizzy-29.png; posX: -0.05510973; posY: -0.01175636}
{file: DummyFemale_Loop_Able_Dizzy-30.png; posX: -0.0599717; posY: -0.01241046}
{file: DummyFemale_Loop_Able_Dizzy-31.png; posX: -0.06531115; posY: -0.0130586}
{file: DummyFemale_Loop_Able_Dizzy-32.png; posX: -0.07106877; posY: -0.01370001}
{file: DummyFemale_Loop_Able_Dizzy-33.png; posX: -0.07706028; posY: -0.01433402}
{file: DummyFemale_Loop_Able_Dizzy-34.png; posX: -0.08317524; posY: -0.01495993}
{file: DummyFemale_Loop_Able_Dizzy-35.png; posX: -0.08930326; posY: -0.01557702}
{file: DummyFemale_Loop_Able_Dizzy-36.png; posX: -0.09533385; posY: -0.01618463}
{file: DummyFemale_Loop_Able_Dizzy-37.png; posX: -0.1011566; posY: -0.01678199}
{file: DummyFemale_Loop_Able_Dizzy-38.png; posX: -0.1066611; posY: -0.01736844}
{file: DummyFemale_Loop_Able_Dizzy-39.png; posX: -0.111737; posY: -0.01794326}
{file: DummyFemale_Loop_Able_Dizzy-40.png; posX: -0.1162737; posY: -0.01850575}
{file: DummyFemale_Loop_Able_Dizzy-41.png; posX: -0.1201609; posY: -0.01905519}
{file: DummyFemale_Loop_Able_Dizzy-42.png; posX: -0.1232881; posY: -0.01959091}
{file: DummyFemale_Loop_Able_Dizzy-43.png; posX: -0.1257408; posY: -0.02011222}
{file: DummyFemale_Loop_Able_Dizzy-44.png; posX: -0.1276789; posY: -0.02061838}
{file: DummyFemale_Loop_Able_Dizzy-45.png; posX: -0.1291032; posY: -0.02110869}
{file: DummyFemale_Loop_Able_Dizzy-46.png; posX: -0.1300149; posY: -0.02158242}
{file: DummyFemale_Loop_Able_Dizzy-47.png; posX: -0.1304148; posY: -0.02203894}
{file: DummyFemale_Loop_Able_Dizzy-48.png; posX: -0.1303041; posY: -0.02247745}
{file: DummyFemale_Loop_Able_Dizzy-49.png; posX: -0.1296838; posY: -0.02289736}
{file: DummyFemale_Loop_Able_Dizzy-50.png; posX: -0.1285548; posY: -0.02329791}
{file: DummyFemale_Loop_Able_Dizzy-51.png; posX: -0.1269181; posY: -0.02367836}
{file: DummyFemale_Loop_Able_Dizzy-52.png; posX: -0.1247748; posY: -0.02403802}
{file: DummyFemale_Loop_Able_Dizzy-53.png; posX: -0.1221258; posY: -0.02437627}
{file: DummyFemale_Loop_Able_Dizzy-54.png; posX: -0.1189723; posY: -0.0246923}
{file: DummyFemale_Loop_Able_Dizzy-55.png; posX: -0.1153151; posY: -0.02498549}
{file: DummyFemale_Loop_Able_Dizzy-56.png; posX: -0.1110647; posY: -0.02525508}
{file: DummyFemale_Loop_Able_Dizzy-57.png; posX: -0.1061984; posY: -0.02550036}
{file: DummyFemale_Loop_Able_Dizzy-58.png; posX: -0.1008174; posY: -0.02572066}
{file: DummyFemale_Loop_Able_Dizzy-59.png; posX: -0.09502311; posY: -0.02591527}
{file: DummyFemale_Loop_Able_Dizzy-60.png; posX: -0.08891664; posY: -0.02608347}
{file: DummyFemale_Loop_Able_Dizzy-61.png; posX: -0.0825993; posY: -0.02622461}
{file: DummyFemale_Loop_Able_Dizzy-62.png; posX: -0.0761723; posY: -0.02633792}
{file: DummyFemale_Loop_Able_Dizzy-63.png; posX: -0.06973699; posY: -0.02642274}
{file: DummyFemale_Loop_Able_Dizzy-64.png; posX: -0.06339461; posY: -0.02647835}
{file: DummyFemale_Loop_Able_Dizzy-65.png; posX: -0.05724638; posY: -0.02650404}
{file: DummyFemale_Loop_Able_Dizzy-66.png; posX: -0.05139359; posY: -0.02649909}
{file: DummyFemale_Loop_Able_Dizzy-67.png; posX: -0.0459375; posY: -0.02636456}
{file: DummyFemale_Loop_Able_Dizzy-68.png; posX: -0.04090363; posY: -0.02601838}
{file: DummyFemale_Loop_Able_Dizzy-69.png; posX: -0.03609163; posY: -0.02548558}
{file: DummyFemale_Loop_Able_Dizzy-70.png; posX: -0.03126386; posY: -0.02479088}
{file: DummyFemale_Loop_Able_Dizzy-71.png; posX: -0.02634844; posY: -0.02395928}
{file: DummyFemale_Loop_Able_Dizzy-72.png; posX: -0.02149717; posY: -0.02301562}
{file: DummyFemale_Loop_Able_Dizzy-73.png; posX: -0.01680812; posY: -0.02198476}
{file: DummyFemale_Loop_Able_Dizzy-74.png; posX: -0.01237939; posY: -0.02089155}
{file: DummyFemale_Loop_Able_Dizzy-75.png; posX: -0.008309063; posY: -0.01976091}
{file: DummyFemale_Loop_Able_Dizzy-76.png; posX: -0.004695212; posY: -0.01861775}
{file: DummyFemale_Loop_Able_Dizzy-77.png; posX: -0.001635903; posY: -0.01748687}
{file: DummyFemale_Loop_Able_Dizzy-78.png; posX: 0.0007938072; posY: -0.01639324}
{file: DummyFemale_Loop_Able_Dizzy-79.png; posX: 0.002486464; posY: -0.01536161}
{file: DummyFemale_Loop_Able_Dizzy-80.png; posX: 0.003358687; posY: -0.01441699}
{file: DummyFemale_Loop_Able_Dizzy-81.png; posX: 0.003330213; posY: -0.0135842}
{file: DummyFemale_Loop_Able_Dizzy-82.png; posX: 0.002470811; posY: -0.01288807}
{file: DummyFemale_Loop_Able_Dizzy-83.png; posX: 0.0008858717; posY: -0.0123536}
{file: DummyFemale_Loop_Able_Dizzy-84.png; posX: -0.001347003; posY: -0.01200557}
{file: DummyFemale_Loop_Able_Dizzy-85.png; posX: -0.004115052; posY: -0.01186883}
{file: DummyFemale_Loop_Able_Dizzy-86.png; posX: -0.007342202; posY: -0.01196837}
{file: DummyFemale_Loop_Able_Dizzy-87.png; posX: -0.01092895; posY: -0.01232898}
{file: DummyFemale_Loop_Able_Dizzy-88.png; posX: -0.01477579; posY: -0.01280314}
{file: DummyFemale_Loop_Able_Dizzy-89.png; posX: -0.01878322; posY: -0.01322716}
{file: DummyFemale_Loop_Able_Dizzy-90.png; posX: -0.02285174; posY: -0.01360172}
{file: DummyFemale_Loop_Able_Dizzy-91.png; posX: -0.02688183; posY: -0.01392728}
{file: DummyFemale_Loop_Able_Dizzy-92.png; posX: -0.03085586; posY: -0.01420456}
{file: DummyFemale_Loop_Able_Dizzy-93.png; posX: -0.03497871; posY: -0.01443416}
{file: DummyFemale_Loop_Able_Dizzy-94.png; posX: -0.03948485; posY: -0.01461667}
{file: DummyFemale_Loop_Able_Dizzy-95.png; posX: -0.0444218; posY: -0.01475275}
{file: DummyFemale_Loop_Able_Dizzy-96.png; posX: -0.04961416; posY: -0.01484293}
{file: DummyFemale_Loop_Able_Dizzy-97.png; posX: -0.05496202; posY: -0.01488793}
{file: DummyFemale_Loop_Able_Dizzy-98.png; posX: -0.06036549; posY: -0.01488835}
{file: DummyFemale_Loop_Able_Dizzy-99.png; posX: -0.06572469; posY: -0.01484472}
{file: DummyFemale_Loop_Able_Dizzy-100.png; posX: -0.07093965; posY: -0.01475769}
{file: DummyFemale_Loop_Able_Dizzy-101.png; posX: -0.0759105; posY: -0.01462793}
{file: DummyFemale_Loop_Able_Dizzy-102.png; posX: -0.08053733; posY: -0.01445597}
{file: DummyFemale_Loop_Able_Dizzy-103.png; posX: -0.08472025; posY: -0.01424253}
{file: DummyFemale_Loop_Able_Dizzy-104.png; posX: -0.08835934; posY: -0.01398814}
{file: DummyFemale_Loop_Able_Dizzy-105.png; posX: -0.09163496; posY: -0.01369345}
{file: DummyFemale_Loop_Able_Dizzy-106.png; posX: -0.09476093; posY: -0.01335901}
{file: DummyFemale_Loop_Able_Dizzy-107.png; posX: -0.09768746; posY: -0.01298553}
{file: DummyFemale_Loop_Able_Dizzy-108.png; posX: -0.1003648; posY: -0.0125736}
{file: DummyFemale_Loop_Able_Dizzy-109.png; posX: -0.1027432; posY: -0.01212382}
{file: DummyFemale_Loop_Able_Dizzy-110.png; posX: -0.104773; posY: -0.01163679}
{file: DummyFemale_Loop_Able_Dizzy-111.png; posX: -0.1064042; posY: -0.01111317}
{file: DummyFemale_Loop_Able_Dizzy-112.png; posX: -0.1075873; posY: -0.01055348}
{file: DummyFemale_Loop_Able_Dizzy-113.png; posX: -0.1082724; posY: -0.009958446}
{file: DummyFemale_Loop_Able_Dizzy-114.png; posX: -0.1084099; posY: -0.009328604}
{file: DummyFemale_Loop_Able_Dizzy-115.png; posX: -0.1079498; posY: -0.008749306}
{file: DummyFemale_Loop_Able_Dizzy-116.png; posX: -0.1068425; posY: -0.008296072}
{file: DummyFemale_Loop_Able_Dizzy-117.png; posX: -0.1050383; posY: -0.007955074}
{file: DummyFemale_Loop_Able_Dizzy-118.png; posX: -0.1024873; posY: -0.007712305}
{file: DummyFemale_Loop_Able_Dizzy-119.png; posX: -0.09913982; posY: -0.007553816}
{file: DummyFemale_Loop_Able_Dizzy-120.png; posX: -0.09508333; posY: -0.00746578}
{file: DummyFemale_Loop_Able_Dizzy-121.png; posX: -0.09051977; posY: -0.007434189}
{file: DummyFemale_Loop_Able_Dizzy-122.png; posX: -0.08557123; posY: -0.007445097}
{file: DummyFemale_Loop_Able_Dizzy-123.png; posX: -0.08035976; posY: -0.007484615}
{file: DummyFemale_Loop_Able_Dizzy-124.png; posX: -0.07500736; posY: -0.007538795}
{file: DummyFemale_Loop_Able_Dizzy-125.png; posX: -0.06963623; posY: -0.007593751}
{file: DummyFemale_Loop_Able_Dizzy-126.png; posX: -0.06436836; posY: -0.007635474}
{file: DummyFemale_Loop_Able_Dizzy-127.png; posX: -0.05932581; posY: -0.007650137}
{file: DummyFemale_Loop_Able_Dizzy-128.png; posX: -0.05449878; posY: -0.007623732}
{file: DummyFemale_Loop_Able_Dizzy-129.png; posX: -0.04955714; posY: -0.007542312}
{file: DummyFemale_Loop_Able_Dizzy-130.png; posX: -0.04414249; posY: -0.007391989}
{file: DummyFemale_Loop_Able_Dizzy-131.png; posX: -0.03817613; posY: -0.007158816}
{file: DummyFemale_Loop_Able_Dizzy-132.png; posX: -0.0319607; posY: -0.006828904}
{file: DummyFemale_Loop_Able_Dizzy-133.png; posX: -0.02570982; posY: -0.006388307}
{file: DummyFemale_Loop_Able_Dizzy-134.png; posX: -0.01963711; posY: -0.005823016}
{file: DummyFemale_Loop_Able_Dizzy-135.png; posX: -0.01395621; posY: -0.005119264}
{file: DummyFemale_Loop_Able_Dizzy-136.png; posX: -0.008880723; posY: -0.004262924}
{file: DummyFemale_Loop_Able_Dizzy-137.png; posX: -0.004624281; posY: -0.003381133}
{file: DummyFemale_Loop_Able_Dizzy-138.png; posX: -0.001400512; posY: -0.00260669}
{file: DummyFemale_Loop_Able_Dizzy-139.png; posX: 0.0006255425; posY: -0.001934469}
{file: DummyFemale_Loop_Able_Dizzy-140.png; posX: 0.001223982; posY: -0.001359224}
{file: DummyFemale_Loop_Able_Dizzy-141.png; posX: 0.0006265173; posY: -0.0008758903}
{file: DummyFemale_Loop_Able_Dizzy-142.png; posX: -0.0007420669; posY: -0.0004791617}
{file: DummyFemale_Loop_Able_Dizzy-143.png; posX: -0.002788078; posY: -0.000164032}
{file: DummyFemale_Loop_Able_Dizzy-144.png; posX: -0.005444846; posY: 7.480383E-05}
{file: DummyFemale_Loop_Able_Dizzy-145.png; posX: -0.008629066; posY: 0.0002424717}
{file: DummyFemale_Loop_Able_Dizzy-146.png; posX: -0.01225743; posY: 0.0003440976}
{file: DummyFemale_Loop_Able_Dizzy-147.png; posX: -0.01624663; posY: 0.0003848672}
{file: DummyFemale_Loop_Able_Dizzy-148.png; posX: -0.02051336; posY: 0.000369966}
{file: DummyFemale_Loop_Able_Dizzy-149.png; posX: -0.02497431; posY: 0.0003045797}
{file: DummyFemale_Loop_Able_Dizzy-150.png; posX: -0.02954618; posY: 0.0001938343}
{file: DummyFemale_Loop_Able_Dizzy-151.png; posX: -0.03414566; posY: 4.285574E-05}
{file: DummyFemale_Loop_Able_Dizzy-152.png; posX: -0.03868944; posY: -0.0001430511}
{file: DummyFemale_Loop_Able_Dizzy-153.png; posX: -0.04309421; posY: -0.00035882}
{file: DummyFemale_Loop_Able_Dizzy-154.png; posX: -0.04727674; posY: -0.0005992651}
{file: DummyFemale_Loop_Able_Dizzy-155.png; posX: -0.05115358; posY: -0.000859201}
{file: DummyFemale_Loop_Able_Dizzy-156.png; posX: -0.05464149; posY: -0.001133502}
{file: DummyFemale_Loop_Able_Dizzy-157.png; posX: -0.05765717; posY: -0.001416981}
{file: DummyFemale_Loop_Able_Dizzy-158.png; posX: -0.06024014; posY: -0.001704395}
{file: DummyFemale_Loop_Able_Dizzy-159.png; posX: -0.06251149; posY: -0.001990676}
{file: DummyFemale_Loop_Able_Dizzy-160.png; posX: -0.06451029; posY: -0.002270639}
{file: DummyFemale_Loop_Able_Dizzy-161.png; posX: -0.06627562; posY: -0.002539098}
{file: DummyFemale_Loop_Able_Dizzy-162.png; posX: -0.06784653; posY: -0.002790868}
{file: DummyFemale_Loop_Able_Dizzy-163.png; posX: -0.06926208; posY: -0.003020823}
{file: DummyFemale_Loop_Able_Dizzy-164.png; posX: -0.07048811; posY: -0.003223777}
{file: DummyFemale_Loop_Able_Dizzy-165.png; posX: -0.07144497; posY: -0.003394485}
{file: DummyFemale_Loop_Able_Dizzy-166.png; posX: -0.07210354; posY: -0.003527939}
{file: DummyFemale_Loop_Able_Dizzy-167.png; posX: -0.07243467; posY: -0.003618836}
{file: DummyFemale_Loop_Able_Dizzy-168.png; posX: -0.07240924; posY: -0.003662109}
{file: DummyFemale_Loop_Able_Dizzy-169.png; posX: -0.07199813; posY: -0.003652453}
{file: DummyFemale_Loop_Able_Dizzy-170.png; posX: -0.07117219; posY: -0.003584862}
{file: DummyFemale_Loop_Able_Dizzy-171.png; posX: -0.06990229; posY: -0.003494322}
{file: DummyFemale_Loop_Able_Dizzy-172.png; posX: -0.0681593; posY: -0.00341928}
{file: DummyFemale_Loop_Able_Dizzy-173.png; posX: -0.06591411; posY: -0.003359497}
{file: DummyFemale_Loop_Able_Dizzy-174.png; posX: -0.06313757; posY: -0.003314734}
{file: DummyFemale_Loop_Able_Dizzy-175.png; posX: -0.05980055; posY: -0.003284693}
{file: DummyFemale_Loop_Able_Dizzy-176.png; posX: -0.05595743; posY: -0.003269136}
{file: DummyFemale_Loop_Able_Dizzy-177.png; posX: -0.05173231; posY: -0.003267884}
{file: DummyFemale_Loop_Able_Dizzy-178.png; posX: -0.04720068; posY: -0.003280699}
{file: DummyFemale_Loop_Able_Dizzy-179.png; posX: -0.04243803; posY: -0.003307283}
