{file: DummyFemale_Running-0.png; pivotX: 74.10169; pivotY: 289.772}
{file: DummyFemale_Running-1.png; pivotX: 91.56116; pivotY: 290.5804}
{file: DummyFemale_Running-2.png; pivotX: 108.2128; pivotY: 291.3419}
{file: DummyFemale_Running-3.png; pivotX: 122.9109; pivotY: 293.472}
{file: DummyFemale_Running-4.png; pivotX: 132.3625; pivotY: 294.9623}
{file: DummyFemale_Running-5.png; pivotX: 141.2301; pivotY: 295.6676}
{file: DummyFemale_Running-6.png; pivotX: 146.3829; pivotY: 295.5836}
{file: DummyFemale_Running-7.png; pivotX: 150.7092; pivotY: 296.3916}
{file: DummyFemale_Running-8.png; pivotX: 153.0054; pivotY: 297.4431}
{file: DummyFemale_Running-9.png; pivotX: 154.0895; pivotY: 297.8872}
{file: DummyFemale_Running-10.png; pivotX: 151.3307; pivotY: 297.2264}
{file: DummyFemale_Running-11.png; pivotX: 145.1428; pivotY: 297.1057}
{file: DummyFemale_Running-12.png; pivotX: 135.7631; pivotY: 296.9348}
{file: DummyFemale_Running-13.png; pivotX: 124.6276; pivotY: 296.5381}
{file: DummyFemale_Running-14.png; pivotX: 112.461; pivotY: 295.6924}
{file: DummyFemale_Running-15.png; pivotX: 101.0458; pivotY: 294.2877}
{file: DummyFemale_Running-16.png; pivotX: 89.39843; pivotY: 292.8698}
{file: DummyFemale_Running-17.png; pivotX: 75.81651; pivotY: 292.6873}
{file: DummyFemale_Running-18.png; pivotX: 68.90493; pivotY: 292.2291}
{file: DummyFemale_Running-19.png; pivotX: 85.18746; pivotY: 292.9277}
{file: DummyFemale_Running-20.png; pivotX: 101.3097; pivotY: 293.5194}
{file: DummyFemale_Running-21.png; pivotX: 112.6568; pivotY: 294.7523}
{file: DummyFemale_Running-22.png; pivotX: 121.1865; pivotY: 295.0761}
{file: DummyFemale_Running-23.png; pivotX: 126.9013; pivotY: 295.2873}
{file: DummyFemale_Running-24.png; pivotX: 136.9839; pivotY: 294.7626}
{file: DummyFemale_Running-25.png; pivotX: 148.9904; pivotY: 294.4171}
{file: DummyFemale_Running-26.png; pivotX: 156.6844; pivotY: 295.0443}
{file: DummyFemale_Running-27.png; pivotX: 156.932; pivotY: 294.5097}
{file: DummyFemale_Running-28.png; pivotX: 152.6595; pivotY: 294.6951}
{file: DummyFemale_Running-29.png; pivotX: 146.1891; pivotY: 294.4769}
{file: DummyFemale_Running-30.png; pivotX: 136.9545; pivotY: 294.3161}
{file: DummyFemale_Running-31.png; pivotX: 126.784; pivotY: 293.0584}
{file: DummyFemale_Running-32.png; pivotX: 115.537; pivotY: 292.2112}
{file: DummyFemale_Running-33.png; pivotX: 103.7853; pivotY: 291.2547}
{file: DummyFemale_Running-34.png; pivotX: 90.72598; pivotY: 289.4279}
{file: DummyFemale_Running-35.png; pivotX: 74.67393; pivotY: 289.6386}
