{file: DummyFemale_Running-0.png; posX: 0; posY: 0}
{file: DummyFemale_Running-1.png; posX: 0.08255538; posY: 0.006713212}
{file: DummyFemale_Running-2.png; posX: 0.1649398; posY: 0.01536924}
{file: DummyFemale_Running-3.png; posX: 0.2473562; posY: 0.02517486}
{file: DummyFemale_Running-4.png; posX: 0.3300076; posY: 0.03533685}
{file: DummyFemale_Running-5.png; posX: 0.4130967; posY: 0.04506189}
{file: DummyFemale_Running-6.png; posX: 0.4968266; posY: 0.0535568}
{file: DummyFemale_Running-7.png; posX: 0.5814004; posY: 0.06002825}
{file: DummyFemale_Running-8.png; posX: 0.6670208; posY: 0.06368309}
{file: DummyFemale_Running-9.png; posX: 0.7540704; posY: 0.06372803}
{file: DummyFemale_Running-10.png; posX: 0.8425226; posY: 0.0593698}
{file: DummyFemale_Running-11.png; posX: 0.9319667; posY: 0.05106914}
{file: DummyFemale_Running-12.png; posX: 1.021992; posY: 0.04063994}
{file: DummyFemale_Running-13.png; posX: 1.112187; posY: 0.02931869}
{file: DummyFemale_Running-14.png; posX: 1.202142; posY: 0.0183419}
{file: DummyFemale_Running-15.png; posX: 1.291445; posY: 0.00894618}
{file: DummyFemale_Running-16.png; posX: 1.379686; posY: 0.002368033}
{file: DummyFemale_Running-17.png; posX: 1.466454; posY: -0.0001561046}
{file: DummyFemale_Running-18.png; posX: 1.551338; posY: 0.002610326}
{file: DummyFemale_Running-19.png; posX: 1.633927; posY: 0.009741306}
{file: DummyFemale_Running-20.png; posX: 1.713811; posY: 0.01889533}
{file: DummyFemale_Running-21.png; posX: 1.790579; posY: 0.02918607}
{file: DummyFemale_Running-22.png; posX: 1.866897; posY: 0.03972703}
{file: DummyFemale_Running-23.png; posX: 1.945545; posY: 0.04963177}
{file: DummyFemale_Running-24.png; posX: 2.026284; posY: 0.05801386}
{file: DummyFemale_Running-25.png; posX: 2.108872; posY: 0.06398678}
{file: DummyFemale_Running-26.png; posX: 2.19307; posY: 0.0666641}
{file: DummyFemale_Running-27.png; posX: 2.278636; posY: 0.06541228}
{file: DummyFemale_Running-28.png; posX: 2.365331; posY: 0.06072426}
{file: DummyFemale_Running-29.png; posX: 2.452914; posY: 0.05340362}
{file: DummyFemale_Running-30.png; posX: 2.541144; posY: 0.04425371}
{file: DummyFemale_Running-31.png; posX: 2.629782; posY: 0.03407806}
{file: DummyFemale_Running-32.png; posX: 2.718522; posY: 0.02368009}
{file: DummyFemale_Running-33.png; posX: 2.807068; posY: 0.01386327}
{file: DummyFemale_Running-34.png; posX: 2.895195; posY: 0.005431056}
{file: DummyFemale_Running-35.png; posX: 2.982679; posY: 0.0003156662}
