{file: DummyFemale_Running_To_Stop-0.png; pivotX: 94.30452; pivotY: 285.4596}
{file: DummyFemale_Running_To_Stop-1.png; pivotX: 107.873; pivotY: 286.388}
{file: DummyFemale_Running_To_Stop-2.png; pivotX: 121.7356; pivotY: 288.3077}
{file: DummyFemale_Running_To_Stop-3.png; pivotX: 135.9493; pivotY: 289.6081}
{file: DummyFemale_Running_To_Stop-4.png; pivotX: 145.9163; pivotY: 291.3159}
{file: DummyFemale_Running_To_Stop-5.png; pivotX: 153.4381; pivotY: 293.0751}
{file: DummyFemale_Running_To_Stop-6.png; pivotX: 154.1673; pivotY: 293.6592}
{file: DummyFemale_Running_To_Stop-7.png; pivotX: 152.8952; pivotY: 293.4221}
{file: DummyFemale_Running_To_Stop-8.png; pivotX: 143.2431; pivotY: 293.5143}
{file: DummyFemale_Running_To_Stop-9.png; pivotX: 127.4182; pivotY: 293.699}
{file: DummyFemale_Running_To_Stop-10.png; pivotX: 108.9604; pivotY: 292.483}
{file: DummyFemale_Running_To_Stop-11.png; pivotX: 91.99684; pivotY: 289.8722}
{file: DummyFemale_Running_To_Stop-12.png; pivotX: 72.86616; pivotY: 286.2359}
{file: DummyFemale_Running_To_Stop-13.png; pivotX: 55.97786; pivotY: 284.6432}
{file: DummyFemale_Running_To_Stop-14.png; pivotX: 57.50826; pivotY: 281.8925}
{file: DummyFemale_Running_To_Stop-15.png; pivotX: 56.39569; pivotY: 279.1354}
{file: DummyFemale_Running_To_Stop-16.png; pivotX: 53.90533; pivotY: 276.8518}
{file: DummyFemale_Running_To_Stop-17.png; pivotX: 52.20583; pivotY: 275.0624}
{file: DummyFemale_Running_To_Stop-18.png; pivotX: 58.20659; pivotY: 273.7734}
{file: DummyFemale_Running_To_Stop-19.png; pivotX: 63.91869; pivotY: 273.7993}
{file: DummyFemale_Running_To_Stop-20.png; pivotX: 70.02903; pivotY: 273.7121}
{file: DummyFemale_Running_To_Stop-21.png; pivotX: 75.10359; pivotY: 272.953}
{file: DummyFemale_Running_To_Stop-22.png; pivotX: 77.92744; pivotY: 272.9747}
{file: DummyFemale_Running_To_Stop-23.png; pivotX: 79.3403; pivotY: 273.2069}
{file: DummyFemale_Running_To_Stop-24.png; pivotX: 78.85188; pivotY: 273.9437}
{file: DummyFemale_Running_To_Stop-25.png; pivotX: 76.2211; pivotY: 275.7108}
{file: DummyFemale_Running_To_Stop-26.png; pivotX: 72.89346; pivotY: 278.0638}
{file: DummyFemale_Running_To_Stop-27.png; pivotX: 68.58125; pivotY: 279.5823}
{file: DummyFemale_Running_To_Stop-28.png; pivotX: 65.01901; pivotY: 282.368}
{file: DummyFemale_Running_To_Stop-29.png; pivotX: 61.98162; pivotY: 285.9294}
{file: DummyFemale_Running_To_Stop-30.png; pivotX: 59.79008; pivotY: 289.2922}
{file: DummyFemale_Running_To_Stop-31.png; pivotX: 56.13795; pivotY: 292.633}
{file: DummyFemale_Running_To_Stop-32.png; pivotX: 51.75734; pivotY: 296.7079}
{file: DummyFemale_Running_To_Stop-33.png; pivotX: 55.2472; pivotY: 300.7239}
{file: DummyFemale_Running_To_Stop-34.png; pivotX: 61.86811; pivotY: 304.8734}
{file: DummyFemale_Running_To_Stop-35.png; pivotX: 67.47627; pivotY: 308.972}
{file: DummyFemale_Running_To_Stop-36.png; pivotX: 72.90151; pivotY: 312.0339}
{file: DummyFemale_Running_To_Stop-37.png; pivotX: 76.74006; pivotY: 313.9685}
{file: DummyFemale_Running_To_Stop-38.png; pivotX: 80.41052; pivotY: 314.9019}
{file: DummyFemale_Running_To_Stop-39.png; pivotX: 83.59324; pivotY: 315.754}
{file: DummyFemale_Running_To_Stop-40.png; pivotX: 86.2167; pivotY: 315.629}
{file: DummyFemale_Running_To_Stop-41.png; pivotX: 88.65161; pivotY: 315.566}
{file: DummyFemale_Running_To_Stop-42.png; pivotX: 90.34303; pivotY: 315.576}
{file: DummyFemale_Running_To_Stop-43.png; pivotX: 91.13776; pivotY: 314.7964}
{file: DummyFemale_Running_To_Stop-44.png; pivotX: 91.56186; pivotY: 314.843}
{file: DummyFemale_Running_To_Stop-45.png; pivotX: 91.7831; pivotY: 313.8041}
{file: DummyFemale_Running_To_Stop-46.png; pivotX: 92.5218; pivotY: 313.7869}
{file: DummyFemale_Running_To_Stop-47.png; pivotX: 92.87349; pivotY: 313.8054}
{file: DummyFemale_Running_To_Stop-48.png; pivotX: 92.50772; pivotY: 313.7861}
{file: DummyFemale_Running_To_Stop-49.png; pivotX: 92.23106; pivotY: 312.8149}
{file: DummyFemale_Running_To_Stop-50.png; pivotX: 92.1253; pivotY: 312.7978}
{file: DummyFemale_Running_To_Stop-51.png; pivotX: 92.70954; pivotY: 312.7351}
{file: DummyFemale_Running_To_Stop-52.png; pivotX: 92.77792; pivotY: 312.6672}
{file: DummyFemale_Running_To_Stop-53.png; pivotX: 92.73346; pivotY: 312.6213}
{file: DummyFemale_Running_To_Stop-54.png; pivotX: 92.65405; pivotY: 312.5954}
{file: DummyFemale_Running_To_Stop-55.png; pivotX: 92.60598; pivotY: 312.5925}
{file: DummyFemale_Running_To_Stop-56.png; pivotX: 92.53635; pivotY: 312.6099}
{file: DummyFemale_Running_To_Stop-57.png; pivotX: 92.40202; pivotY: 312.6312}
{file: DummyFemale_Running_To_Stop-58.png; pivotX: 92.24604; pivotY: 312.6424}
{file: DummyFemale_Running_To_Stop-59.png; pivotX: 92.07869; pivotY: 312.6343}
