{file: DummyFemale_Running_To_Stop-0.png; posX: 0; posY: 0.7841015}
{file: DummyFemale_Running_To_Stop-1.png; posX: -0.0420941; posY: 0.7888401}
{file: DummyFemale_Running_To_Stop-2.png; posX: -0.1262455; posY: 0.8016093}
{file: DummyFemale_Running_To_Stop-3.png; posX: -0.2378694; posY: 0.8188876}
{file: DummyFemale_Running_To_Stop-4.png; posX: -0.3466496; posY: 0.8330297}
{file: DummyFemale_Running_To_Stop-5.png; posX: -0.455331; posY: 0.8421212}
{file: DummyFemale_Running_To_Stop-6.png; posX: -0.5666574; posY: 0.844208}
{file: DummyFemale_Running_To_Stop-7.png; posX: -0.6793078; posY: 0.8389609}
{file: DummyFemale_Running_To_Stop-8.png; posX: -0.7888653; posY: 0.8272644}
{file: DummyFemale_Running_To_Stop-9.png; posX: -0.8970896; posY: 0.8089715}
{file: DummyFemale_Running_To_Stop-10.png; posX: -1.006426; posY: 0.7874359}
{file: DummyFemale_Running_To_Stop-11.png; posX: -1.115469; posY: 0.765595}
{file: DummyFemale_Running_To_Stop-12.png; posX: -1.219254; posY: 0.7433152}
{file: DummyFemale_Running_To_Stop-13.png; posX: -1.313627; posY: 0.7208694}
{file: DummyFemale_Running_To_Stop-14.png; posX: -1.39738; posY: 0.6957041}
{file: DummyFemale_Running_To_Stop-15.png; posX: -1.475659; posY: 0.6707721}
{file: DummyFemale_Running_To_Stop-16.png; posX: -1.553754; posY: 0.6492664}
{file: DummyFemale_Running_To_Stop-17.png; posX: -1.637672; posY: 0.6345352}
{file: DummyFemale_Running_To_Stop-18.png; posX: -1.726792; posY: 0.6245039}
{file: DummyFemale_Running_To_Stop-19.png; posX: -1.819123; posY: 0.6171583}
{file: DummyFemale_Running_To_Stop-20.png; posX: -1.911398; posY: 0.6123469}
{file: DummyFemale_Running_To_Stop-21.png; posX: -1.999938; posY: 0.6098496}
{file: DummyFemale_Running_To_Stop-22.png; posX: -2.081067; posY: 0.6094463}
{file: DummyFemale_Running_To_Stop-23.png; posX: -2.152104; posY: 0.6113612}
{file: DummyFemale_Running_To_Stop-24.png; posX: -2.214925; posY: 0.6159935}
{file: DummyFemale_Running_To_Stop-25.png; posX: -2.27192; posY: 0.623094}
{file: DummyFemale_Running_To_Stop-26.png; posX: -2.325679; posY: 0.6315685}
{file: DummyFemale_Running_To_Stop-27.png; posX: -2.379649; posY: 0.6401931}
{file: DummyFemale_Running_To_Stop-28.png; posX: -2.436232; posY: 0.6481279}
{file: DummyFemale_Running_To_Stop-29.png; posX: -2.494709; posY: 0.6580377}
{file: DummyFemale_Running_To_Stop-30.png; posX: -2.545108; posY: 0.6685432}
{file: DummyFemale_Running_To_Stop-31.png; posX: -2.589856; posY: 0.6798337}
{file: DummyFemale_Running_To_Stop-32.png; posX: -2.6313; posY: 0.692019}
{file: DummyFemale_Running_To_Stop-33.png; posX: -2.669198; posY: 0.7044256}
{file: DummyFemale_Running_To_Stop-34.png; posX: -2.703352; posY: 0.7161732}
{file: DummyFemale_Running_To_Stop-35.png; posX: -2.733966; posY: 0.7268226}
{file: DummyFemale_Running_To_Stop-36.png; posX: -2.761593; posY: 0.7358377}
{file: DummyFemale_Running_To_Stop-37.png; posX: -2.786411; posY: 0.742434}
{file: DummyFemale_Running_To_Stop-38.png; posX: -2.807764; posY: 0.7462976}
{file: DummyFemale_Running_To_Stop-39.png; posX: -2.824893; posY: 0.7472298}
{file: DummyFemale_Running_To_Stop-40.png; posX: -2.832455; posY: 0.746632}
{file: DummyFemale_Running_To_Stop-41.png; posX: -2.837223; posY: 0.7454918}
{file: DummyFemale_Running_To_Stop-42.png; posX: -2.842608; posY: 0.7443041}
{file: DummyFemale_Running_To_Stop-43.png; posX: -2.850079; posY: 0.7429484}
{file: DummyFemale_Running_To_Stop-44.png; posX: -2.855114; posY: 0.7421031}
{file: DummyFemale_Running_To_Stop-45.png; posX: -2.858561; posY: 0.7413096}
{file: DummyFemale_Running_To_Stop-46.png; posX: -2.861245; posY: 0.7403461}
{file: DummyFemale_Running_To_Stop-47.png; posX: -2.864235; posY: 0.7400918}
{file: DummyFemale_Running_To_Stop-48.png; posX: -2.867103; posY: 0.740311}
{file: DummyFemale_Running_To_Stop-49.png; posX: -2.869411; posY: 0.7407473}
{file: DummyFemale_Running_To_Stop-50.png; posX: -2.87043; posY: 0.7409118}
{file: DummyFemale_Running_To_Stop-51.png; posX: -2.870547; posY: 0.7409308}
{file: DummyFemale_Running_To_Stop-52.png; posX: -2.870203; posY: 0.7408751}
{file: DummyFemale_Running_To_Stop-53.png; posX: -2.869844; posY: 0.7408172}
{file: DummyFemale_Running_To_Stop-54.png; posX: -2.869364; posY: 0.7407398}
{file: DummyFemale_Running_To_Stop-55.png; posX: -2.868501; posY: 0.7406004}
{file: DummyFemale_Running_To_Stop-56.png; posX: -2.867265; posY: 0.7404009}
{file: DummyFemale_Running_To_Stop-57.png; posX: -2.866215; posY: 0.7402312}
{file: DummyFemale_Running_To_Stop-58.png; posX: -2.86565; posY: 0.7401397}
{file: DummyFemale_Running_To_Stop-59.png; posX: -2.865278; posY: 0.7400798}
