{file: DummyFemale_Standing_Block-0.png; pivotX: 333.2469; pivotY: 525.9274}
{file: DummyFemale_Standing_Block-1.png; pivotX: 367.2613; pivotY: 527.6959}
{file: DummyFemale_Standing_Block-2.png; pivotX: 390.5056; pivotY: 528.8641}
{file: DummyFemale_Standing_Block-3.png; pivotX: 402.8848; pivotY: 531.7537}
{file: DummyFemale_Standing_Block-4.png; pivotX: 404.7566; pivotY: 534.7837}
{file: DummyFemale_Standing_Block-5.png; pivotX: 398.3091; pivotY: 538.5877}
{file: DummyFemale_Standing_Block-6.png; pivotX: 385.7192; pivotY: 541.7028}
{file: DummyFemale_Standing_Block-7.png; pivotX: 369.0432; pivotY: 543.8213}
{file: DummyFemale_Standing_Block-8.png; pivotX: 351.3212; pivotY: 544.8116}
{file: DummyFemale_Standing_Block-9.png; pivotX: 339.8868; pivotY: 544.6375}
{file: DummyFemale_Standing_Block-10.png; pivotX: 337.765; pivotY: 542.7615}
{file: DummyFemale_Standing_Block-11.png; pivotX: 341.7931; pivotY: 540.809}
{file: DummyFemale_Standing_Block-12.png; pivotX: 347.5203; pivotY: 539.6565}
{file: DummyFemale_Standing_Block-13.png; pivotX: 352.7527; pivotY: 538.5553}
{file: DummyFemale_Standing_Block-14.png; pivotX: 357.4698; pivotY: 537.6679}
{file: DummyFemale_Standing_Block-15.png; pivotX: 361.5896; pivotY: 536.88}
{file: DummyFemale_Standing_Block-16.png; pivotX: 364.481; pivotY: 536.8054}
{file: DummyFemale_Standing_Block-17.png; pivotX: 365.5889; pivotY: 536.6906}
{file: DummyFemale_Standing_Block-18.png; pivotX: 364.8626; pivotY: 535.7173}
{file: DummyFemale_Standing_Block-19.png; pivotX: 363.4218; pivotY: 533.8696}
