Attacker State,Attacker Flags,Defender State,Defender Flags,HitCount,Blocked,Reaction Animaton,Sound Effect,Hit Stop,Pos Snap,Points,Attacker Effects,Defender Effects,Score,Notes
Projectile0/Spawn,,*,"STANDING,!BLOCKING,!HITBYPROJ,!NOPROJHIT",,,Get_Hit_Left_To_Right_Medium,"HS1-1,HS1-2,HS1-3",8,,15,"CAMSHAKE1,Hit,NOHITSPARK,ResetHits","CHARSHAKE,METER,HITBYPROJ",,Special 1
Projectile0/Spawn,,*,"STANDING,BLOCKING,!HITBYPROJ,!NOPROJHIT",,X,Block_Impact_Medium,"HS-BlockHit1,HS-BlockHit2",8,,7,"CAMSHAKE1,Hit,NOHITSPARK","CHARSHAKE,METER,HITBYPROJ",,
Projectile0/Loop,,*,"STANDING,!BLOCKING,!HITBYPROJ,!NOPROJHIT",,,Get_Hit_Left_To_Right_Medium,"HS1-1,HS1-2,HS1-3",8,,15,"CAMSHAKE1,Hit,NOHITSPARK,ResetHits","CHARSHAKE,METER,HITBYPROJ",,
Projectile0/Loop,,*,"STANDING,BLOCKING,!HITBYPROJ,!NOPROJHIT",,X,Block_Impact_Medium,"HS-BlockHit1,HS-BlockHit2",8,,7,"CAMSHAKE1,Hit,NOHITSPARK","CHARSHAKE,METER,HITBYPROJ",,
,,,,,,,,,,,,,,
Projectile1/Spawn,,*,"STANDING,!BLOCKING,!HITBYPROJ,!NOPROJHIT",,,Parry_Hit,"HS1-1,HS1-2,HS1-3",8,,5,"CAMSHAKE1,Hit,NOHITSPARK,ResetHits,PROJ1H","CHARSHAKE,METER,HITBYPROJ",,
Projectile1/Spawn,,*,"STANDING,BLOCKING,!HITBYPROJ,!NOPROJHIT",,X,Block_Impact_Medium,"HS-BlockHit1,HS-BlockHit2",8,,2,"CAMSHAKE1,Hit,NOHITSPARK","CHARSHAKE,METER,HITBYPROJ",,
Projectile1/Loop,,*,"STANDING,!BLOCKING,!HITBYPROJ,!NOPROJHIT",,,Parry_Hit,"HS1-1,HS1-2,HS1-3",8,,5,"CAMSHAKE1,Hit,NOHITSPARK,ResetHits,PROJ1H","CHARSHAKE,METER,HITBYPROJ",,
Projectile1/Loop,,*,"STANDING,BLOCKING,!HITBYPROJ,!NOPROJHIT",,X,Block_Impact_Medium,"HS-BlockHit1,HS-BlockHit2",8,,2,"CAMSHAKE1,Hit,NOHITSPARK","CHARSHAKE,METER,HITBYPROJ",,
,,,,,,,,,,,,,,
Projectile2/Spawn,,*,"STANDING,!BLOCKING,!HITBYPROJ,!NOPROJHIT",,,Get_Hit_Left_To_Right_Medium,"HS1-1,HS1-2,HS1-3",8,,5,"CAMSHAKE1,Hit,NOHITSPARK,ResetHits,PROJ2H","CHARSHAKE,METER,HITBYPROJ",,
Projectile2/Spawn,,*,"STANDING,BLOCKING,!HITBYPROJ,!NOPROJHIT",,X,Block_Impact_Medium,"HS-BlockHit1,HS-BlockHit2",8,,2,"CAMSHAKE1,Hit,NOHITSPARK","CHARSHAKE,METER,HITBYPROJ",,
Projectile2/Loop,,*,"STANDING,!BLOCKING,!NOPROJHIT",,,Get_Hit_Left_To_Right_Medium,"HS1-1,HS1-2,HS1-3",8,,5,"CAMSHAKE1,Hit,NOHITSPARK,ResetHits,PROJ2H","CHARSHAKE,METER,HITBYPROJ",,
Projectile2/Loop,,*,"STANDING,BLOCKING,!NOPROJHIT",,X,Block_Impact_Medium,"HS-BlockHit1,HS-BlockHit2",8,,2,"CAMSHAKE1,Hit,NOHITSPARK","CHARSHAKE,METER,HITBYPROJ",,
,,,,,,,,,,,,,,
Projectile4/Spawn,,*,"STANDING,!BLOCKING,!HITBYPROJ,!NOPROJHIT",,,Get_Hit_Staggering_Facing_Camera,"HitSlice-1,HitSlice-2,HitSlice-3,HitSlice-4",12,,6,"CAMSHAKE1,NOHITSPARK,METER,ResetHits",METER,,
Projectile4/Spawn,,*,"STANDING,BLOCKING,!HITBYPROJ,!NOPROJHIT",,X,Block_Impact_Heavy,"HS-BlockHit1,HS-BlockHit2",12,,3,"NOHITSPARK,METER",METER,,
Projectile4/Loop,,*,"STANDING,!BLOCKING,!NOPROJHIT",,,Get_Hit_Staggering_Facing_Camera,"HitSlice-1,HitSlice-2,HitSlice-3,HitSlice-4",12,,6,"CAMSHAKE1,NOHITSPARK,METER,ResetHits",METER,,
Projectile4/Loop,,*,"STANDING,BLOCKING,!NOPROJHIT",,X,Block_Impact_Heavy,"HS-BlockHit1,HS-BlockHit2",12,,3,"NOHITSPARK,METER",METER,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Block_Start,PARRY,*,"STANDING,ACTIVE",,,Parry_Hit,HitSloMo_1,8,,0,"CAMSHAKE1,METER,ResetHits,PARRYHIT","CHARSHAKE,METER",,
Light_Combo_Part_1,,*,"STANDING,BLOCKING,!PARRY",,X,Block_Impact_Medium,"HS-BlockHit1,HS-BlockHit2",8,,1,METER,METER,,
Light_Combo_Part_1,,*,"STANDING,!BLOCKING,!PARRY",,,Get_Hit_Left_To_Right_Medium,"HitSlice-1,HitSlice-2,HitSlice-3,HitSlice-4",8,,2,"METER,ResetHits",METER,,
Light_Combo_Part_2,,*,"STANDING,BLOCKING,!PARRY",,X,Block_Impact_Medium,"HS-BlockHit1,HS-BlockHit2",8,,1,METER,METER,,
Light_Combo_Part_2,,*,"STANDING,!BLOCKING,!PARRY",,,Get_Hit_Left_To_Right_Medium,"HitSlice-1,HitSlice-2,HitSlice-3,HitSlice-4",8,,2,"METER,ResetHits",METER,,
Light_Combo_Part_3,,*,"STANDING,BLOCKING,!PARRY",,X,Block_Impact_Medium,"HS-BlockHit1,HS-BlockHit2",8,,1,METER,METER,,
Light_Combo_Part_3,,*,"STANDING,!BLOCKING,!PARRY",,,Get_Hit_Right_To_Left_Medium,"HitSlice-1,HitSlice-2,HitSlice-3,HitSlice-4",8,,2,"METER,ResetHits",METER,,
Light_Combo_Part_4,,*,"STANDING,BLOCKING,!PARRY",,X,Block_Impact_Medium,"HS-BlockHit1,HS-BlockHit2",12,,1,METER,METER,,
Light_Combo_Part_4,,*,"STANDING,!BLOCKING,!PARRY",,,Get_Hit_Left_To_Right_Medium,"HitSlice-1,HitSlice-2,HitSlice-3,HitSlice-4",12,,2,"METER,ResetHits",METER,,
Medium_Combo_Part_1,,*,"STANDING,BLOCKING,!PARRY",,X,Block_Impact_Heavy,"HS-BlockHit1,HS-BlockHit2",4,,3,METER,METER,,
Medium_Combo_Part_1,,*,"STANDING,!BLOCKING,!PARRY",,,Get_Hit_Staggering_Facing_Enemy,"HitSlice-1,HitSlice-2,HitSlice-3,HitSlice-4",8,,6,"METER,ResetHits",METER,,
Medium_Combo_Part_2,,*,"STANDING,BLOCKING,!PARRY",,X,Block_Impact_Heavy,"HS-BlockHit1,HS-BlockHit2",12,,3,METER,METER,,
Medium_Combo_Part_2,,*,"STANDING,!BLOCKING,!PARRY",,,Get_Hit_Staggering_Facing_Camera,"HS1-1,HS1-2,HS1-3",12,,6,"METER,ResetHits",METER,,
Heavy_Attack,,*,"STANDING,!BLOCKING,!PARRY",,,Get_Hit_Fall_Back_Head_Away_Feet_Up_Air,"HS-UppercutChargedHit-0,HS-UppercutChargedHit-1,HS-UppercutChargedHit-2",16,,5,"METER,ResetHits","CHARSHAKE,METER,HEAVYHIT",,
Heavy_Attack,,*,"STANDING,BLOCKING,!PARRY",,X,Get_Hit_Fall_Back_Head_Away_Feet_Up_Air,"HS-UppercutChargedHit-0,HS-UppercutChargedHit-1,HS-UppercutChargedHit-2",16,,10,"METER,ResetHits","CHARSHAKE,METER,ARMORBREAK,HEAVYHIT",,
Special_1,,*,"STANDING,BLOCKING,!PARRY",,X,Block_Impact_Medium,"HS-BlockHit1,HS-BlockHit2",8,,2,CAMSHAKE1,METER,,
Special_1,,*,"STANDING,!BLOCKING,!PARRY",,,Get_Hit_Straight_Medium,"HS1-1,HS1-2,HS1-3",8,,5,"CAMSHAKE1,ResetHits",METER,,
Special_2,,*,"STANDING,BLOCKING,!PARRY",,X,Block_Impact_Heavy,"HS-BlockHit1,HS-BlockHit2",8,,0,CAMSHAKE2,METER,,
Special_2,,*,"STANDING,!BLOCKING,!PARRY",,,Get_Hit_Staggering_Facing_Camera,"HS1-1,HS1-2,HS1-3",8,,0,"CAMSHAKE2,ResetHits,DIDHIT","METER,NOKILL",,
Special_2_Part_2,,*,"STANDING,BLOCKING,!PARRY",,X,Block_Impact_Heavy,"HS-BlockHit1,HS-BlockHit2",8,,0,CAMSHAKE2,METER,,
Special_2_Part_2,,*,"STANDING,!BLOCKING,!PARRY",,,Get_Hit_Staggering_Facing_Enemy,"HitSlice-1,HitSlice-2,HitSlice-3,HitSlice-4",8,,0,"CAMSHAKE2,ResetHits","METER,NOKILL",,
Special_2_Part_3,,*,"STANDING,BLOCKING,!PARRY",,X,Block_Impact_Heavy,"HS-BlockHit1,HS-BlockHit2",8,,0,CAMSHAKE2,METER,,
Special_2_Part_3,,*,"STANDING,!BLOCKING,!PARRY",,,Get_Hit_Staggering_Facing_Enemy,"HitSlice-1,HitSlice-2,HitSlice-3,HitSlice-4",8,,0,"CAMSHAKE2,ResetHits","METER,NOKILL",,
Special_2_Part_4,,*,"STANDING,BLOCKING,!PARRY",,X,Block_Impact_Heavy,"HS-BlockHit1,HS-BlockHit2",8,,0,CAMSHAKE2,METER,,
