{file: Rasputin_Extra_Idle-0.png; pivotX: 167.4865; pivotY: 329.1179}
{file: Rasputin_Extra_Idle-1.png; pivotX: 167.7241; pivotY: 329.1182}
{file: Rasputin_Extra_Idle-2.png; pivotX: 168.3993; pivotY: 329.1182}
{file: Rasputin_Extra_Idle-3.png; pivotX: 168.5424; pivotY: 329.1183}
{file: Rasputin_Extra_Idle-4.png; pivotX: 169.181; pivotY: 329.1187}
{file: Rasputin_Extra_Idle-5.png; pivotX: 169.3394; pivotY: 329.1198}
{file: Rasputin_Extra_Idle-6.png; pivotX: 170.0765; pivotY: 329.9925}
{file: Rasputin_Extra_Idle-7.png; pivotX: 170.3372; pivotY: 329.9959}
{file: Rasputin_Extra_Idle-8.png; pivotX: 171.1723; pivotY: 330.001}
{file: Rasputin_Extra_Idle-9.png; pivotX: 171.5902; pivotY: 330.008}
{file: Rasputin_Extra_Idle-10.png; pivotX: 172.5903; pivotY: 330.0173}
{file: Rasputin_Extra_Idle-11.png; pivotX: 173.0557; pivotY: 330.1153}
{file: Rasputin_Extra_Idle-12.png; pivotX: 173.4495; pivotY: 331.1069}
{file: Rasputin_Extra_Idle-13.png; pivotX: 173.6969; pivotY: 332.0858}
{file: Rasputin_Extra_Idle-14.png; pivotX: 173.6221; pivotY: 333.0569}
{file: Rasputin_Extra_Idle-15.png; pivotX: 172.9793; pivotY: 334.0217}
{file: Rasputin_Extra_Idle-16.png; pivotX: 170.946; pivotY: 334.1027}
{file: Rasputin_Extra_Idle-17.png; pivotX: 167.7088; pivotY: 335.0494}
{file: Rasputin_Extra_Idle-18.png; pivotX: 163.6653; pivotY: 335.1272}
{file: Rasputin_Extra_Idle-19.png; pivotX: 158.0117; pivotY: 336.0851}
{file: Rasputin_Extra_Idle-20.png; pivotX: 151.2417; pivotY: 337.0542}
{file: Rasputin_Extra_Idle-21.png; pivotX: 147.6042; pivotY: 338.0369}
{file: Rasputin_Extra_Idle-22.png; pivotX: 147.6068; pivotY: 338.1603}
{file: Rasputin_Extra_Idle-23.png; pivotX: 147.6279; pivotY: 340.0531}
{file: Rasputin_Extra_Idle-24.png; pivotX: 147.626; pivotY: 341.093}
{file: Rasputin_Extra_Idle-25.png; pivotX: 147.6089; pivotY: 342.1352}
{file: Rasputin_Extra_Idle-26.png; pivotX: 147.5798; pivotY: 343.157}
{file: Rasputin_Extra_Idle-27.png; pivotX: 147.5419; pivotY: 344.1336}
{file: Rasputin_Extra_Idle-28.png; pivotX: 147.6641; pivotY: 344.1476}
{file: Rasputin_Extra_Idle-29.png; pivotX: 147.6294; pivotY: 343.1616}
{file: Rasputin_Extra_Idle-30.png; pivotX: 147.8181; pivotY: 341.146}
{file: Rasputin_Extra_Idle-31.png; pivotX: 147.7397; pivotY: 337.1796}
{file: Rasputin_Extra_Idle-32.png; pivotX: 147.9189; pivotY: 331.2251}
{file: Rasputin_Extra_Idle-33.png; pivotX: 147.8313; pivotY: 329.2754}
{file: Rasputin_Extra_Idle-34.png; pivotX: 147.9725; pivotY: 329.2717}
{file: Rasputin_Extra_Idle-35.png; pivotX: 147.8662; pivotY: 329.2654}
{file: Rasputin_Extra_Idle-36.png; pivotX: 147.7563; pivotY: 329.2561}
{file: Rasputin_Extra_Idle-37.png; pivotX: 148.1441; pivotY: 329.2438}
{file: Rasputin_Extra_Idle-38.png; pivotX: 148.2711; pivotY: 329.2285}
{file: Rasputin_Extra_Idle-39.png; pivotX: 148.8703; pivotY: 329.2101}
{file: Rasputin_Extra_Idle-40.png; pivotX: 150.7992; pivotY: 329.1886}
{file: Rasputin_Extra_Idle-41.png; pivotX: 154.2114; pivotY: 329.164}
{file: Rasputin_Extra_Idle-42.png; pivotX: 155.0794; pivotY: 329.1363}
{file: Rasputin_Extra_Idle-43.png; pivotX: 154.1051; pivotY: 329.1053}
{file: Rasputin_Extra_Idle-44.png; pivotX: 152.0533; pivotY: 329.0712}
{file: Rasputin_Extra_Idle-45.png; pivotX: 150.2038; pivotY: 329.033}
{file: Rasputin_Extra_Idle-46.png; pivotX: 150.2368; pivotY: 328.9902}
{file: Rasputin_Extra_Idle-47.png; pivotX: 149.993; pivotY: 328.9435}
{file: Rasputin_Extra_Idle-48.png; pivotX: 150.0339; pivotY: 328.8932}
{file: Rasputin_Extra_Idle-49.png; pivotX: 150.2247; pivotY: 328.84}
{file: Rasputin_Extra_Idle-50.png; pivotX: 149.9367; pivotY: 328.7842}
{file: Rasputin_Extra_Idle-51.png; pivotX: 150.1882; pivotY: 328.7268}
{file: Rasputin_Extra_Idle-52.png; pivotX: 149.9839; pivotY: 328.6684}
{file: Rasputin_Extra_Idle-53.png; pivotX: 149.4419; pivotY: 328.6096}
{file: Rasputin_Extra_Idle-54.png; pivotX: 149.3365; pivotY: 328.551}
{file: Rasputin_Extra_Idle-55.png; pivotX: 149.3162; pivotY: 328.4931}
{file: Rasputin_Extra_Idle-56.png; pivotX: 149.3306; pivotY: 328.4365}
{file: Rasputin_Extra_Idle-57.png; pivotX: 148.8882; pivotY: 328.3819}
{file: Rasputin_Extra_Idle-58.png; pivotX: 149.0016; pivotY: 328.3301}
{file: Rasputin_Extra_Idle-59.png; pivotX: 148.7005; pivotY: 328.2817}
{file: Rasputin_Extra_Idle-60.png; pivotX: 148.5372; pivotY: 328.2377}
{file: Rasputin_Extra_Idle-61.png; pivotX: 148.0168; pivotY: 328.1985}
{file: Rasputin_Extra_Idle-62.png; pivotX: 148.1012; pivotY: 328.1651}
{file: Rasputin_Extra_Idle-63.png; pivotX: 147.8621; pivotY: 329.0062}
{file: Rasputin_Extra_Idle-64.png; pivotX: 150.0577; pivotY: 328.9862}
{file: Rasputin_Extra_Idle-65.png; pivotX: 153.0871; pivotY: 328.9742}
{file: Rasputin_Extra_Idle-66.png; pivotX: 155.1915; pivotY: 328.9695}
{file: Rasputin_Extra_Idle-67.png; pivotX: 156.3833; pivotY: 328.9706}
{file: Rasputin_Extra_Idle-68.png; pivotX: 157.1651; pivotY: 328.9769}
{file: Rasputin_Extra_Idle-69.png; pivotX: 156.5041; pivotY: 328.9877}
{file: Rasputin_Extra_Idle-70.png; pivotX: 155.4031; pivotY: 329.0021}
{file: Rasputin_Extra_Idle-71.png; pivotX: 152.8765; pivotY: 329.0197}
{file: Rasputin_Extra_Idle-72.png; pivotX: 149.9528; pivotY: 329.0401}
{file: Rasputin_Extra_Idle-73.png; pivotX: 147.9674; pivotY: 329.0641}
{file: Rasputin_Extra_Idle-74.png; pivotX: 147.9909; pivotY: 329.0917}
{file: Rasputin_Extra_Idle-75.png; pivotX: 147.9957; pivotY: 328.2545}
{file: Rasputin_Extra_Idle-76.png; pivotX: 147.9995; pivotY: 328.2885}
{file: Rasputin_Extra_Idle-77.png; pivotX: 147.9922; pivotY: 328.3251}
{file: Rasputin_Extra_Idle-78.png; pivotX: 147.4728; pivotY: 328.3644}
{file: Rasputin_Extra_Idle-79.png; pivotX: 147.4405; pivotY: 328.4066}
{file: Rasputin_Extra_Idle-80.png; pivotX: 147.6456; pivotY: 328.452}
{file: Rasputin_Extra_Idle-81.png; pivotX: 147.4105; pivotY: 328.5008}
{file: Rasputin_Extra_Idle-82.png; pivotX: 147.3029; pivotY: 328.553}
{file: Rasputin_Extra_Idle-83.png; pivotX: 147.3479; pivotY: 328.6089}
{file: Rasputin_Extra_Idle-84.png; pivotX: 147.0673; pivotY: 328.6688}
{file: Rasputin_Extra_Idle-85.png; pivotX: 146.9884; pivotY: 327.863}
{file: Rasputin_Extra_Idle-86.png; pivotX: 147.0447; pivotY: 327.9307}
{file: Rasputin_Extra_Idle-87.png; pivotX: 146.4667; pivotY: 328.0018}
{file: Rasputin_Extra_Idle-88.png; pivotX: 146.7031; pivotY: 328.0763}
{file: Rasputin_Extra_Idle-89.png; pivotX: 146.1207; pivotY: 328.1639}
{file: Rasputin_Extra_Idle-90.png; pivotX: 145.8735; pivotY: 328.2753}
{file: Rasputin_Extra_Idle-91.png; pivotX: 145.7842; pivotY: 328.3901}
{file: Rasputin_Extra_Idle-92.png; pivotX: 145.239; pivotY: 328.5083}
{file: Rasputin_Extra_Idle-93.png; pivotX: 145.0478; pivotY: 328.6295}
{file: Rasputin_Extra_Idle-94.png; pivotX: 144.8544; pivotY: 328.7537}
{file: Rasputin_Extra_Idle-95.png; pivotX: 144.6599; pivotY: 328.8805}
{file: Rasputin_Extra_Idle-96.png; pivotX: 144.4628; pivotY: 328.1371}
{file: Rasputin_Extra_Idle-97.png; pivotX: 144.2699; pivotY: 328.2715}
{file: Rasputin_Extra_Idle-98.png; pivotX: 143.5791; pivotY: 328.4121}
{file: Rasputin_Extra_Idle-99.png; pivotX: 146.0395; pivotY: 328.556}
{file: Rasputin_Extra_Idle-100.png; pivotX: 147.203; pivotY: 328.7}
{file: Rasputin_Extra_Idle-101.png; pivotX: 147.6931; pivotY: 328.8411}
{file: Rasputin_Extra_Idle-102.png; pivotX: 146.3119; pivotY: 328.9763}
{file: Rasputin_Extra_Idle-103.png; pivotX: 144.598; pivotY: 329.1024}
{file: Rasputin_Extra_Idle-104.png; pivotX: 142.869; pivotY: 329.2164}
{file: Rasputin_Extra_Idle-105.png; pivotX: 142.9998; pivotY: 329.3151}
{file: Rasputin_Extra_Idle-106.png; pivotX: 143.067; pivotY: 329.3954}
{file: Rasputin_Extra_Idle-107.png; pivotX: 143.0839; pivotY: 329.4543}
{file: Rasputin_Extra_Idle-108.png; pivotX: 143.072; pivotY: 329.4884}
{file: Rasputin_Extra_Idle-109.png; pivotX: 143.5784; pivotY: 329.495}
{file: Rasputin_Extra_Idle-110.png; pivotX: 143.1662; pivotY: 329.4712}
{file: Rasputin_Extra_Idle-111.png; pivotX: 143.3824; pivotY: 329.4142}
{file: Rasputin_Extra_Idle-112.png; pivotX: 143.2836; pivotY: 329.3214}
{file: Rasputin_Extra_Idle-113.png; pivotX: 143.4229; pivotY: 329.1896}
{file: Rasputin_Extra_Idle-114.png; pivotX: 143.2673; pivotY: 329.016}
{file: Rasputin_Extra_Idle-115.png; pivotX: 143.7129; pivotY: 328.7976}
{file: Rasputin_Extra_Idle-116.png; pivotX: 143.7171; pivotY: 328.5479}
{file: Rasputin_Extra_Idle-117.png; pivotX: 143.2648; pivotY: 328.2831}
{file: Rasputin_Extra_Idle-118.png; pivotX: 143.3401; pivotY: 328.0043}
{file: Rasputin_Extra_Idle-119.png; pivotX: 143.4218; pivotY: 327.713}
{file: Rasputin_Extra_Idle-120.png; pivotX: 143.4981; pivotY: 327.4104}
{file: Rasputin_Extra_Idle-121.png; pivotX: 143.5647; pivotY: 327.1}
{file: Rasputin_Extra_Idle-122.png; pivotX: 143.1173; pivotY: 326.7855}
{file: Rasputin_Extra_Idle-123.png; pivotX: 143.1535; pivotY: 326.4684}
{file: Rasputin_Extra_Idle-124.png; pivotX: 143.8513; pivotY: 326.1505}
{file: Rasputin_Extra_Idle-125.png; pivotX: 144.0421; pivotY: 325.8336}
{file: Rasputin_Extra_Idle-126.png; pivotX: 144.204; pivotY: 325.5192}
{file: Rasputin_Extra_Idle-127.png; pivotX: 144.8884; pivotY: 325.2206}
{file: Rasputin_Extra_Idle-128.png; pivotX: 145.1668; pivotY: 324.9415}
