{file: Rasputin_Extra_Idle-0.png; posX: 0; posY: 0}
{file: Rasputin_Extra_Idle-1.png; posX: -0.0003615654; posY: 8.493662E-05}
{file: Rasputin_Extra_Idle-2.png; posX: -0.0007225219; posY: 0.000172019}
{file: Rasputin_Extra_Idle-3.png; posX: -0.001083098; posY: 0.0002609491}
{file: Rasputin_Extra_Idle-4.png; posX: -0.001443522; posY: 0.0003511906}
{file: Rasputin_Extra_Idle-5.png; posX: -0.001804022; posY: 0.0004424453}
{file: Rasputin_Extra_Idle-6.png; posX: -0.002164826; posY: 0.0005341768}
{file: Rasputin_Extra_Idle-7.png; posX: -0.002526163; posY: 0.0006261468}
{file: Rasputin_Extra_Idle-8.png; posX: -0.002888261; posY: 0.0007178187}
{file: Rasputin_Extra_Idle-9.png; posX: -0.003251348; posY: 0.0008087754}
{file: Rasputin_Extra_Idle-10.png; posX: -0.003615654; posY: 0.0008986592}
{file: Rasputin_Extra_Idle-11.png; posX: -0.003981405; posY: 0.0009871125}
{file: Rasputin_Extra_Idle-12.png; posX: -0.004368116; posY: 0.001073599}
{file: Rasputin_Extra_Idle-13.png; posX: -0.004911875; posY: 0.001157761}
{file: Rasputin_Extra_Idle-14.png; posX: -0.005695674; posY: 0.00123924}
{file: Rasputin_Extra_Idle-15.png; posX: -0.006512356; posY: 0.001317561}
{file: Rasputin_Extra_Idle-16.png; posX: -0.007101802; posY: 0.001392365}
{file: Rasputin_Extra_Idle-17.png; posX: -0.00720389; posY: 0.001463175}
{file: Rasputin_Extra_Idle-18.png; posX: -0.00660898; posY: 0.001529634}
{file: Rasputin_Extra_Idle-19.png; posX: -0.005528295; posY: 0.001591325}
{file: Rasputin_Extra_Idle-20.png; posX: -0.004232939; posY: 0.00164783}
{file: Rasputin_Extra_Idle-21.png; posX: -0.002769115; posY: 0.001698792}
{file: Rasputin_Extra_Idle-22.png; posX: -0.001170655; posY: 0.001743674}
{file: Rasputin_Extra_Idle-23.png; posX: 0.0005286088; posY: 0.001782179}
{file: Rasputin_Extra_Idle-24.png; posX: 0.002302673; posY: 0.001813889}
{file: Rasputin_Extra_Idle-25.png; posX: 0.004126837; posY: 0.001838326}
{file: Rasputin_Extra_Idle-26.png; posX: 0.005969247; posY: 0.001855135}
{file: Rasputin_Extra_Idle-27.png; posX: 0.007798037; posY: 0.001863837}
{file: Rasputin_Extra_Idle-28.png; posX: 0.009581356; posY: 0.001864135}
{file: Rasputin_Extra_Idle-29.png; posX: 0.01128734; posY: 0.001855552}
{file: Rasputin_Extra_Idle-30.png; posX: 0.01288413; posY: 0.00183773}
{file: Rasputin_Extra_Idle-31.png; posX: 0.01433987; posY: 0.001810133}
{file: Rasputin_Extra_Idle-32.png; posX: 0.01562269; posY: 0.001772523}
{file: Rasputin_Extra_Idle-33.png; posX: 0.01670074; posY: 0.001724362}
{file: Rasputin_Extra_Idle-34.png; posX: 0.01754216; posY: 0.001665235}
{file: Rasputin_Extra_Idle-35.png; posX: 0.01808065; posY: 0.001594841}
{file: Rasputin_Extra_Idle-36.png; posX: 0.0182953; posY: 0.001512706}
{file: Rasputin_Extra_Idle-37.png; posX: 0.01822233; posY: 0.001418352}
{file: Rasputin_Extra_Idle-38.png; posX: 0.01789798; posY: 0.001311541}
{file: Rasputin_Extra_Idle-39.png; posX: 0.01735845; posY: 0.001191676}
{file: Rasputin_Extra_Idle-40.png; posX: 0.01663999; posY: 0.001058459}
{file: Rasputin_Extra_Idle-41.png; posX: 0.0157788; posY: 0.0009114742}
{file: Rasputin_Extra_Idle-42.png; posX: 0.01481113; posY: 0.0007502437}
{file: Rasputin_Extra_Idle-43.png; posX: 0.01377319; posY: 0.0005744696}
{file: Rasputin_Extra_Idle-44.png; posX: 0.0127012; posY: 0.0003836155}
{file: Rasputin_Extra_Idle-45.png; posX: 0.01153534; posY: 0.0001773834}
{file: Rasputin_Extra_Idle-46.png; posX: 0.01020165; posY: -4.476309E-05}
{file: Rasputin_Extra_Idle-47.png; posX: 0.008715166; posY: -0.0002830625}
{file: Rasputin_Extra_Idle-48.png; posX: 0.007090905; posY: -0.0005380511}
{file: Rasputin_Extra_Idle-49.png; posX: 0.005343913; posY: -0.0008101463}
{file: Rasputin_Extra_Idle-50.png; posX: 0.003497746; posY: -0.001090527}
{file: Rasputin_Extra_Idle-51.png; posX: 0.001588876; posY: -0.001369596}
{file: Rasputin_Extra_Idle-52.png; posX: -0.0003482858; posY: -0.001646459}
