{file: Rasputin_Heavy_Attack-0.png; pivotX: 107.3835; pivotY: 311.9015}
{file: Rasputin_Heavy_Attack-1.png; pivotX: 108.7441; pivotY: 312.0605}
{file: Rasputin_Heavy_Attack-2.png; pivotX: 108.5613; pivotY: 316.1731}
{file: Rasputin_Heavy_Attack-3.png; pivotX: 110.6077; pivotY: 327.7233}
{file: Rasputin_Heavy_Attack-4.png; pivotX: 115.4449; pivotY: 335.9236}
{file: Rasputin_Heavy_Attack-5.png; pivotX: 119.3606; pivotY: 340.8227}
{file: Rasputin_Heavy_Attack-6.png; pivotX: 123.0447; pivotY: 337.0018}
{file: Rasputin_Heavy_Attack-7.png; pivotX: 126.2998; pivotY: 293.2651}
{file: Rasputin_Heavy_Attack-8.png; pivotX: 145.7116; pivotY: 285.4463}
{file: Rasputin_Heavy_Attack-9.png; pivotX: 164.2491; pivotY: 279.658}
{file: Rasputin_Heavy_Attack-10.png; pivotX: 174.2411; pivotY: 273.632}
{file: Rasputin_Heavy_Attack-11.png; pivotX: 179.0373; pivotY: 268.5923}
{file: Rasputin_Heavy_Attack-12.png; pivotX: 180.2385; pivotY: 266.7123}
{file: Rasputin_Heavy_Attack-13.png; pivotX: 178.4454; pivotY: 265.734}
{file: Rasputin_Heavy_Attack-14.png; pivotX: 176.2206; pivotY: 283.6474}
{file: Rasputin_Heavy_Attack-15.png; pivotX: 172.6223; pivotY: 301.6179}
{file: Rasputin_Heavy_Attack-16.png; pivotX: 169.2197; pivotY: 316.6347}
{file: Rasputin_Heavy_Attack-17.png; pivotX: 165.0834; pivotY: 328.6389}
{file: Rasputin_Heavy_Attack-18.png; pivotX: 161.2306; pivotY: 338.6582}
{file: Rasputin_Heavy_Attack-19.png; pivotX: 156.048; pivotY: 346.7147}
{file: Rasputin_Heavy_Attack-20.png; pivotX: 148.3055; pivotY: 354.6018}
{file: Rasputin_Heavy_Attack-21.png; pivotX: 137.0314; pivotY: 361.5261}
{file: Rasputin_Heavy_Attack-22.png; pivotX: 124.4725; pivotY: 368.7141}
{file: Rasputin_Heavy_Attack-23.png; pivotX: 122.9129; pivotY: 373.9899}
{file: Rasputin_Heavy_Attack-24.png; pivotX: 121.5509; pivotY: 377.1328}
{file: Rasputin_Heavy_Attack-25.png; pivotX: 119.498; pivotY: 377.1569}
{file: Rasputin_Heavy_Attack-26.png; pivotX: 117.3388; pivotY: 373.1575}
{file: Rasputin_Heavy_Attack-27.png; pivotX: 115.0418; pivotY: 364.257}
{file: Rasputin_Heavy_Attack-28.png; pivotX: 112.3983; pivotY: 349.3438}
{file: Rasputin_Heavy_Attack-29.png; pivotX: 109.4662; pivotY: 331.3752}
{file: Rasputin_Heavy_Attack-30.png; pivotX: 106.8826; pivotY: 309.5522}
{file: Rasputin_Heavy_Attack-31.png; pivotX: 103.8334; pivotY: 312.6426}
{file: Rasputin_Heavy_Attack-32.png; pivotX: 101.5319; pivotY: 314.6848}
{file: Rasputin_Heavy_Attack-33.png; pivotX: 98.7203; pivotY: 315.6679}
{file: Rasputin_Heavy_Attack-34.png; pivotX: 96.9485; pivotY: 317.5636}
{file: Rasputin_Heavy_Attack-35.png; pivotX: 94.82162; pivotY: 319.4751}
{file: Rasputin_Heavy_Attack-36.png; pivotX: 92.42263; pivotY: 320.4287}
{file: Rasputin_Heavy_Attack-37.png; pivotX: 90.80656; pivotY: 320.4048}
{file: Rasputin_Heavy_Attack-38.png; pivotX: 89.43649; pivotY: 321.3915}
{file: Rasputin_Heavy_Attack-39.png; pivotX: 88.70598; pivotY: 321.4739}
{file: Rasputin_Heavy_Attack-40.png; pivotX: 89.30051; pivotY: 321.5014}
{file: Rasputin_Heavy_Attack-41.png; pivotX: 89.80752; pivotY: 321.5013}
{file: Rasputin_Heavy_Attack-42.png; pivotX: 90.36024; pivotY: 320.5086}
{file: Rasputin_Heavy_Attack-43.png; pivotX: 91.87367; pivotY: 320.4787}
{file: Rasputin_Heavy_Attack-44.png; pivotX: 94.2691; pivotY: 319.5049}
{file: Rasputin_Heavy_Attack-45.png; pivotX: 96.24383; pivotY: 319.5011}
{file: Rasputin_Heavy_Attack-46.png; pivotX: 98.29292; pivotY: 319.4613}
{file: Rasputin_Heavy_Attack-47.png; pivotX: 100.903; pivotY: 318.4251}
{file: Rasputin_Heavy_Attack-48.png; pivotX: 102.9383; pivotY: 318.313}
{file: Rasputin_Heavy_Attack-49.png; pivotX: 104.8888; pivotY: 318.213}
{file: Rasputin_Heavy_Attack-50.png; pivotX: 106.7058; pivotY: 318.22}
{file: Rasputin_Heavy_Attack-51.png; pivotX: 108.3389; pivotY: 318.3072}
{file: Rasputin_Heavy_Attack-52.png; pivotX: 109.6076; pivotY: 318.3882}
{file: Rasputin_Heavy_Attack-53.png; pivotX: 110.7273; pivotY: 318.3159}
{file: Rasputin_Heavy_Attack-54.png; pivotX: 111.1422; pivotY: 319.015}
{file: Rasputin_Heavy_Attack-55.png; pivotX: 111.8896; pivotY: 318.8675}
{file: Rasputin_Heavy_Attack-56.png; pivotX: 112.379; pivotY: 319.8114}
{file: Rasputin_Heavy_Attack-57.png; pivotX: 112.1256; pivotY: 320.0379}
{file: Rasputin_Heavy_Attack-58.png; pivotX: 112.1685; pivotY: 320.3992}
{file: Rasputin_Heavy_Attack-59.png; pivotX: 112.2003; pivotY: 320.7298}
{file: Rasputin_Heavy_Attack-60.png; pivotX: 112.3123; pivotY: 321.881}
{file: Rasputin_Heavy_Attack-61.png; pivotX: 111.7832; pivotY: 322.8967}
{file: Rasputin_Heavy_Attack-62.png; pivotX: 110.9076; pivotY: 323.8734}
{file: Rasputin_Heavy_Attack-63.png; pivotX: 124.8924; pivotY: 324.8317}
{file: Rasputin_Heavy_Attack-64.png; pivotX: 134.34; pivotY: 325.8065}
{file: Rasputin_Heavy_Attack-65.png; pivotX: 132.767; pivotY: 326.8687}
{file: Rasputin_Heavy_Attack-66.png; pivotX: 124.9716; pivotY: 328.9229}
{file: Rasputin_Heavy_Attack-67.png; pivotX: 114.2954; pivotY: 329.9774}
{file: Rasputin_Heavy_Attack-68.png; pivotX: 103.7972; pivotY: 331.0371}
{file: Rasputin_Heavy_Attack-69.png; pivotX: 103.749; pivotY: 332.0003}
{file: Rasputin_Heavy_Attack-70.png; pivotX: 103.4894; pivotY: 332.8833}
{file: Rasputin_Heavy_Attack-71.png; pivotX: 103.851; pivotY: 332.8118}
{file: Rasputin_Heavy_Attack-72.png; pivotX: 103.6869; pivotY: 333.7916}
{file: Rasputin_Heavy_Attack-73.png; pivotX: 104.0141; pivotY: 333.9369}
{file: Rasputin_Heavy_Attack-74.png; pivotX: 103.994; pivotY: 333.0964}
{file: Rasputin_Heavy_Attack-75.png; pivotX: 104.1494; pivotY: 333.0959}
{file: Rasputin_Heavy_Attack-76.png; pivotX: 104.4973; pivotY: 332.0433}
{file: Rasputin_Heavy_Attack-77.png; pivotX: 104.9273; pivotY: 330.948}
{file: Rasputin_Heavy_Attack-78.png; pivotX: 104.7933; pivotY: 328.852}
{file: Rasputin_Heavy_Attack-79.png; pivotX: 104.4455; pivotY: 327.813}
{file: Rasputin_Heavy_Attack-80.png; pivotX: 104.3972; pivotY: 326.9538}
{file: Rasputin_Heavy_Attack-81.png; pivotX: 104.0416; pivotY: 325.188}
{file: Rasputin_Heavy_Attack-82.png; pivotX: 103.4449; pivotY: 324.2897}
{file: Rasputin_Heavy_Attack-83.png; pivotX: 102.7412; pivotY: 323.2025}
{file: Rasputin_Heavy_Attack-84.png; pivotX: 101.8259; pivotY: 321.0779}
{file: Rasputin_Heavy_Attack-85.png; pivotX: 100.5272; pivotY: 319.0684}
{file: Rasputin_Heavy_Attack-86.png; pivotX: 99.13876; pivotY: 316.1188}
{file: Rasputin_Heavy_Attack-87.png; pivotX: 97.77571; pivotY: 313.9827}
{file: Rasputin_Heavy_Attack-88.png; pivotX: 96.98593; pivotY: 314.1288}
{file: Rasputin_Heavy_Attack-89.png; pivotX: 95.83022; pivotY: 314.574}
{file: Rasputin_Heavy_Attack-90.png; pivotX: 94.91969; pivotY: 314.0504}
{file: Rasputin_Heavy_Attack-91.png; pivotX: 94.13964; pivotY: 313.9317}
{file: Rasputin_Heavy_Attack-92.png; pivotX: 93.57829; pivotY: 314.3123}
{file: Rasputin_Heavy_Attack-93.png; pivotX: 93.38451; pivotY: 314.0026}
{file: Rasputin_Heavy_Attack-94.png; pivotX: 92.79984; pivotY: 314.587}
{file: Rasputin_Heavy_Attack-95.png; pivotX: 92.82552; pivotY: 315.6694}
{file: Rasputin_Heavy_Attack-96.png; pivotX: 93.00085; pivotY: 316.9683}
{file: Rasputin_Heavy_Attack-97.png; pivotX: 93.63957; pivotY: 317.4969}
{file: Rasputin_Heavy_Attack-98.png; pivotX: 94.98; pivotY: 318.9067}
{file: Rasputin_Heavy_Attack-99.png; pivotX: 96.15756; pivotY: 320.1612}
{file: Rasputin_Heavy_Attack-100.png; pivotX: 97.24467; pivotY: 320.3833}
{file: Rasputin_Heavy_Attack-101.png; pivotX: 97.60149; pivotY: 321.5639}
{file: Rasputin_Heavy_Attack-102.png; pivotX: 97.83551; pivotY: 321.7657}
{file: Rasputin_Heavy_Attack-103.png; pivotX: 97.85742; pivotY: 322.8955}
{file: Rasputin_Heavy_Attack-104.png; pivotX: 97.8967; pivotY: 322.9429}
{file: Rasputin_Heavy_Attack-105.png; pivotX: 97.88494; pivotY: 322.9278}
{file: Rasputin_Heavy_Attack-106.png; pivotX: 97.31429; pivotY: 322.9231}
{file: Rasputin_Heavy_Attack-107.png; pivotX: 97.19704; pivotY: 322.9327}
{file: Rasputin_Heavy_Attack-108.png; pivotX: 96.61758; pivotY: 321.9853}
{file: Rasputin_Heavy_Attack-109.png; pivotX: 96.01379; pivotY: 322.0054}
{file: Rasputin_Heavy_Attack-110.png; pivotX: 96.1675; pivotY: 322.0247}
{file: Rasputin_Heavy_Attack-111.png; pivotX: 96.32964; pivotY: 322.0407}
