{file: Rasputin_Heavy_Attack-0.png; posX: 0.03812068; posY: 0}
{file: Rasputin_Heavy_Attack-1.png; posX: 0.04930088; posY: 0.00253582}
{file: Rasputin_Heavy_Attack-2.png; posX: 0.06055985; posY: 0.004776299}
{file: Rasputin_Heavy_Attack-3.png; posX: 0.07164827; posY: 0.006743968}
{file: Rasputin_Heavy_Attack-4.png; posX: 0.08231679; posY: 0.008461416}
{file: Rasputin_Heavy_Attack-5.png; posX: 0.09266508; posY: 0.009951293}
{file: Rasputin_Heavy_Attack-6.png; posX: 0.1029911; posY: 0.01123607}
{file: Rasputin_Heavy_Attack-7.png; posX: 0.1133427; posY: 0.01233834}
{file: Rasputin_Heavy_Attack-8.png; posX: 0.1237681; posY: 0.01328075}
{file: Rasputin_Heavy_Attack-9.png; posX: 0.1338592; posY: 0.01408577}
{file: Rasputin_Heavy_Attack-10.png; posX: 0.1428901; posY: 0.01477605}
{file: Rasputin_Heavy_Attack-11.png; posX: 0.1504316; posY: 0.01537418}
{file: Rasputin_Heavy_Attack-12.png; posX: 0.1560546; posY: 0.0159027}
{file: Rasputin_Heavy_Attack-13.png; posX: 0.1593299; posY: 0.01638418}
{file: Rasputin_Heavy_Attack-14.png; posX: 0.1604225; posY: 0.01684117}
{file: Rasputin_Heavy_Attack-15.png; posX: 0.1598931; posY: 0.01729631}
{file: Rasputin_Heavy_Attack-16.png; posX: 0.1579063; posY: 0.01777214}
{file: Rasputin_Heavy_Attack-17.png; posX: 0.1546266; posY: 0.01829123}
{file: Rasputin_Heavy_Attack-18.png; posX: 0.1502186; posY: 0.01887619}
{file: Rasputin_Heavy_Attack-19.png; posX: 0.1448467; posY: 0.01954955}
{file: Rasputin_Heavy_Attack-20.png; posX: 0.1386755; posY: 0.02033395}
{file: Rasputin_Heavy_Attack-21.png; posX: 0.1318695; posY: 0.02093369}
{file: Rasputin_Heavy_Attack-22.png; posX: 0.1243397; posY: 0.02109563}
{file: Rasputin_Heavy_Attack-23.png; posX: 0.1157758; posY: 0.02090597}
{file: Rasputin_Heavy_Attack-24.png; posX: 0.1060107; posY: 0.02045095}
{file: Rasputin_Heavy_Attack-25.png; posX: 0.09487684; posY: 0.01981664}
{file: Rasputin_Heavy_Attack-26.png; posX: 0.08220701; posY: 0.01908934}
{file: Rasputin_Heavy_Attack-27.png; posX: 0.06826122; posY: 0.01835519}
{file: Rasputin_Heavy_Attack-28.png; posX: 0.05374519; posY: 0.01770049}
{file: Rasputin_Heavy_Attack-29.png; posX: 0.03916015; posY: 0.01721132}
{file: Rasputin_Heavy_Attack-30.png; posX: 0.02500732; posY: 0.01697391}
{file: Rasputin_Heavy_Attack-31.png; posX: 0.01178795; posY: 0.01707447}
{file: Rasputin_Heavy_Attack-32.png; posX: -7.274363E-05; posY: 0.01759917}
{file: Rasputin_Heavy_Attack-33.png; posX: -0.01158692; posY: 0.01863426}
{file: Rasputin_Heavy_Attack-34.png; posX: -0.02390835; posY: 0.02026594}
{file: Rasputin_Heavy_Attack-35.png; posX: -0.03614917; posY: 0.02258033}
{file: Rasputin_Heavy_Attack-36.png; posX: -0.04753694; posY: 0.02566367}
{file: Rasputin_Heavy_Attack-37.png; posX: -0.05748285; posY: 0.0287689}
{file: Rasputin_Heavy_Attack-38.png; posX: -0.06506323; posY: 0.03114039}
{file: Rasputin_Heavy_Attack-39.png; posX: -0.06935452; posY: 0.03285158}
{file: Rasputin_Heavy_Attack-40.png; posX: -0.06977034; posY: 0.03397572}
{file: Rasputin_Heavy_Attack-41.png; posX: -0.0667153; posY: 0.03458625}
{file: Rasputin_Heavy_Attack-42.png; posX: -0.06075229; posY: 0.03475654}
{file: Rasputin_Heavy_Attack-43.png; posX: -0.0524442; posY: 0.03455991}
{file: Rasputin_Heavy_Attack-44.png; posX: -0.04235386; posY: 0.03406978}
{file: Rasputin_Heavy_Attack-45.png; posX: -0.03104423; posY: 0.03335947}
{file: Rasputin_Heavy_Attack-46.png; posX: -0.01907816; posY: 0.03250241}
{file: Rasputin_Heavy_Attack-47.png; posX: -0.007018507; posY: 0.03157187}
{file: Rasputin_Heavy_Attack-48.png; posX: 0.004730958; posY: 0.03064132}
{file: Rasputin_Heavy_Attack-49.png; posX: 0.01562551; posY: 0.02978402}
{file: Rasputin_Heavy_Attack-50.png; posX: 0.02489381; posY: 0.02907342}
{file: Rasputin_Heavy_Attack-51.png; posX: 0.03269273; posY: 0.02858287}
{file: Rasputin_Heavy_Attack-52.png; posX: 0.03922749; posY: 0.02838576}
{file: Rasputin_Heavy_Attack-53.png; posX: 0.04492662; posY: 0.02855539}
{file: Rasputin_Heavy_Attack-54.png; posX: 0.050058; posY: 0.02916521}
{file: Rasputin_Heavy_Attack-55.png; posX: 0.05458593; posY: 0.03028852}
{file: Rasputin_Heavy_Attack-56.png; posX: 0.05847467; posY: 0.03199869}
{file: Rasputin_Heavy_Attack-57.png; posX: 0.06168856; posY: 0.03422654}
{file: Rasputin_Heavy_Attack-58.png; posX: 0.06419189; posY: 0.03681463}
{file: Rasputin_Heavy_Attack-59.png; posX: 0.06594895; posY: 0.03970391}
{file: Rasputin_Heavy_Attack-60.png; posX: 0.06692404; posY: 0.04283535}
{file: Rasputin_Heavy_Attack-61.png; posX: 0.06708147; posY: 0.04614985}
{file: Rasputin_Heavy_Attack-62.png; posX: 0.0662438; posY: 0.04958844}
{file: Rasputin_Heavy_Attack-63.png; posX: 0.06438215; posY: 0.05309206}
{file: Rasputin_Heavy_Attack-64.png; posX: 0.06168356; posY: 0.0566017}
{file: Rasputin_Heavy_Attack-65.png; posX: 0.05833508; posY: 0.0600583}
{file: Rasputin_Heavy_Attack-66.png; posX: 0.05452379; posY: 0.06340277}
{file: Rasputin_Heavy_Attack-67.png; posX: 0.0504367; posY: 0.06657624}
{file: Rasputin_Heavy_Attack-68.png; posX: 0.04626092; posY: 0.06951946}
{file: Rasputin_Heavy_Attack-69.png; posX: 0.0421835; posY: 0.0721736}
{file: Rasputin_Heavy_Attack-70.png; posX: 0.03839148; posY: 0.07447946}
{file: Rasputin_Heavy_Attack-71.png; posX: 0.03507192; posY: 0.07637805}
{file: Rasputin_Heavy_Attack-72.png; posX: 0.032329; posY: 0.07726485}
{file: Rasputin_Heavy_Attack-73.png; posX: 0.03072323; posY: 0.07668656}
{file: Rasputin_Heavy_Attack-74.png; posX: 0.03085113; posY: 0.0748111}
{file: Rasputin_Heavy_Attack-75.png; posX: 0.03244749; posY: 0.07180643}
{file: Rasputin_Heavy_Attack-76.png; posX: 0.03509124; posY: 0.06784046}
{file: Rasputin_Heavy_Attack-77.png; posX: 0.03827497; posY: 0.0630812}
{file: Rasputin_Heavy_Attack-78.png; posX: 0.04130599; posY: 0.05769658}
{file: Rasputin_Heavy_Attack-79.png; posX: 0.04348529; posY: 0.05185443}
{file: Rasputin_Heavy_Attack-80.png; posX: 0.04411389; posY: 0.04572284}
{file: Rasputin_Heavy_Attack-81.png; posX: 0.04270402; posY: 0.03946954}
{file: Rasputin_Heavy_Attack-82.png; posX: 0.03933556; posY: 0.03326273}
{file: Rasputin_Heavy_Attack-83.png; posX: 0.0343466; posY: 0.02727014}
{file: Rasputin_Heavy_Attack-84.png; posX: 0.02820873; posY: 0.02165985}
{file: Rasputin_Heavy_Attack-85.png; posX: 0.02127453; posY: 0.01640797}
{file: Rasputin_Heavy_Attack-86.png; posX: 0.01389663; posY: 0.01144862}
{file: Rasputin_Heavy_Attack-87.png; posX: 0.006427608; posY: 0.006886423}
