{file: Rasputin_Light_Combo_Part_1-0.png; pivotX: 96.57169; pivotY: 320.93}
{file: Rasputin_Light_Combo_Part_1-1.png; pivotX: 97.85439; pivotY: 323.0259}
{file: Rasputin_Light_Combo_Part_1-2.png; pivotX: 104.1806; pivotY: 324.0948}
{file: Rasputin_Light_Combo_Part_1-3.png; pivotX: 112.0449; pivotY: 323.5458}
{file: Rasputin_Light_Combo_Part_1-4.png; pivotX: 121.4146; pivotY: 322.1313}
{file: Rasputin_Light_Combo_Part_1-5.png; pivotX: 128.0247; pivotY: 319.8438}
{file: Rasputin_Light_Combo_Part_1-6.png; pivotX: 132.041; pivotY: 318.602}
{file: Rasputin_Light_Combo_Part_1-7.png; pivotX: 133.4096; pivotY: 316.3703}
{file: Rasputin_Light_Combo_Part_1-8.png; pivotX: 131.5878; pivotY: 312.8895}
{file: Rasputin_Light_Combo_Part_1-9.png; pivotX: 127.277; pivotY: 309.3138}
{file: Rasputin_Light_Combo_Part_1-10.png; pivotX: 123.9885; pivotY: 304.1382}
{file: Rasputin_Light_Combo_Part_1-11.png; pivotX: 123.9476; pivotY: 297.8761}
{file: Rasputin_Light_Combo_Part_1-12.png; pivotX: 124.2918; pivotY: 292.1786}
{file: Rasputin_Light_Combo_Part_1-13.png; pivotX: 125.0949; pivotY: 287.3447}
{file: Rasputin_Light_Combo_Part_1-14.png; pivotX: 126.4779; pivotY: 283.4142}
{file: Rasputin_Light_Combo_Part_1-15.png; pivotX: 126.4131; pivotY: 282.8727}
{file: Rasputin_Light_Combo_Part_1-16.png; pivotX: 126.5348; pivotY: 284.3262}
{file: Rasputin_Light_Combo_Part_1-17.png; pivotX: 126.5191; pivotY: 287.965}
{file: Rasputin_Light_Combo_Part_1-18.png; pivotX: 127.8081; pivotY: 291.4588}
{file: Rasputin_Light_Combo_Part_1-19.png; pivotX: 129.9704; pivotY: 295.4639}
{file: Rasputin_Light_Combo_Part_1-20.png; pivotX: 131.0979; pivotY: 298.6912}
{file: Rasputin_Light_Combo_Part_1-21.png; pivotX: 131.6694; pivotY: 302.6371}
{file: Rasputin_Light_Combo_Part_1-22.png; pivotX: 131.0495; pivotY: 306.5433}
{file: Rasputin_Light_Combo_Part_1-23.png; pivotX: 129.4606; pivotY: 308.8839}
{file: Rasputin_Light_Combo_Part_1-24.png; pivotX: 126.9615; pivotY: 311.5758}
{file: Rasputin_Light_Combo_Part_1-25.png; pivotX: 124.0125; pivotY: 314.0378}
{file: Rasputin_Light_Combo_Part_1-26.png; pivotX: 122.9509; pivotY: 315.4807}
{file: Rasputin_Light_Combo_Part_1-27.png; pivotX: 120.4644; pivotY: 316.9402}
{file: Rasputin_Light_Combo_Part_1-28.png; pivotX: 117.1146; pivotY: 318.4313}
{file: Rasputin_Light_Combo_Part_1-29.png; pivotX: 114.0023; pivotY: 319.0231}
{file: Rasputin_Light_Combo_Part_1-30.png; pivotX: 110.3677; pivotY: 319.5661}
{file: Rasputin_Light_Combo_Part_1-31.png; pivotX: 107.1172; pivotY: 320.0328}
{file: Rasputin_Light_Combo_Part_1-32.png; pivotX: 103.3805; pivotY: 320.4747}
{file: Rasputin_Light_Combo_Part_1-33.png; pivotX: 100.5445; pivotY: 320.9152}
{file: Rasputin_Light_Combo_Part_1-34.png; pivotX: 98.01036; pivotY: 320.2678}
{file: Rasputin_Light_Combo_Part_1-35.png; pivotX: 96.13165; pivotY: 321.2993}
{file: Rasputin_Light_Combo_Part_1-36.png; pivotX: 95.4056; pivotY: 321.3739}
{file: Rasputin_Light_Combo_Part_1-37.png; pivotX: 94.67542; pivotY: 321.4016}
{file: Rasputin_Light_Combo_Part_1-38.png; pivotX: 94.38815; pivotY: 321.3394}
{file: Rasputin_Light_Combo_Part_1-39.png; pivotX: 94.02517; pivotY: 321.2079}
{file: Rasputin_Light_Combo_Part_1-40.png; pivotX: 94.41746; pivotY: 321.0791}
{file: Rasputin_Light_Combo_Part_1-41.png; pivotX: 94.93166; pivotY: 321.0265}
{file: Rasputin_Light_Combo_Part_1-42.png; pivotX: 95.46459; pivotY: 321.0161}
{file: Rasputin_Light_Combo_Part_1-43.png; pivotX: 96.47941; pivotY: 320.9818}
{file: Rasputin_Light_Combo_Part_1-44.png; pivotX: 96.87358; pivotY: 320.9484}
