{file: Rasputin_Light_Combo_Part_1-0.png; posX: 2.980232E-10; posY: 0}
{file: Rasputin_Light_Combo_Part_1-1.png; posX: 0.02117696; posY: 0.007215619}
{file: Rasputin_Light_Combo_Part_1-2.png; posX: 0.04233427; posY: 0.01470262}
{file: Rasputin_Light_Combo_Part_1-3.png; posX: 0.06350849; posY: 0.02231735}
{file: Rasputin_Light_Combo_Part_1-4.png; posX: 0.08491823; posY: 0.02991623}
{file: Rasputin_Light_Combo_Part_1-5.png; posX: 0.1066448; posY: 0.03735566}
{file: Rasputin_Light_Combo_Part_1-6.png; posX: 0.128519; posY: 0.04449201}
{file: Rasputin_Light_Combo_Part_1-7.png; posX: 0.1507422; posY: 0.05118173}
{file: Rasputin_Light_Combo_Part_1-8.png; posX: 0.1693615; posY: 0.0572812}
{file: Rasputin_Light_Combo_Part_1-9.png; posX: 0.1800854; posY: 0.06264681}
{file: Rasputin_Light_Combo_Part_1-10.png; posX: 0.1876186; posY: 0.06563425}
{file: Rasputin_Light_Combo_Part_1-11.png; posX: 0.1961112; posY: 0.06520909}
{file: Rasputin_Light_Combo_Part_1-12.png; posX: 0.205917; posY: 0.06214261}
{file: Rasputin_Light_Combo_Part_1-13.png; posX: 0.2184477; posY: 0.05720609}
{file: Rasputin_Light_Combo_Part_1-14.png; posX: 0.2284112; posY: 0.05117083}
{file: Rasputin_Light_Combo_Part_1-15.png; posX: 0.2307877; posY: 0.04480803}
{file: Rasputin_Light_Combo_Part_1-16.png; posX: 0.2283; posY: 0.03888911}
{file: Rasputin_Light_Combo_Part_1-17.png; posX: 0.223904; posY: 0.03418529}
{file: Rasputin_Light_Combo_Part_1-18.png; posX: 0.2191547; posY: 0.03048664}
{file: Rasputin_Light_Combo_Part_1-19.png; posX: 0.2136319; posY: 0.02706224}
{file: Rasputin_Light_Combo_Part_1-20.png; posX: 0.2073286; posY: 0.02390146}
{file: Rasputin_Light_Combo_Part_1-21.png; posX: 0.2002377; posY: 0.02099401}
{file: Rasputin_Light_Combo_Part_1-22.png; posX: 0.1923523; posY: 0.01832932}
{file: Rasputin_Light_Combo_Part_1-23.png; posX: 0.1836654; posY: 0.01589704}
{file: Rasputin_Light_Combo_Part_1-24.png; posX: 0.1741699; posY: 0.01368654}
{file: Rasputin_Light_Combo_Part_1-25.png; posX: 0.163859; posY: 0.01168752}
{file: Rasputin_Light_Combo_Part_1-26.png; posX: 0.151991; posY: 0.009889483}
{file: Rasputin_Light_Combo_Part_1-27.png; posX: 0.1378461; posY: 0.008281946}
{file: Rasputin_Light_Combo_Part_1-28.png; posX: 0.1214504; posY: 0.006854415}
{file: Rasputin_Light_Combo_Part_1-29.png; posX: 0.1028299; posY: 0.005596519}
{file: Rasputin_Light_Combo_Part_1-30.png; posX: 0.08258504; posY: 0.004497707}
{file: Rasputin_Light_Combo_Part_1-31.png; posX: 0.06208362; posY: 0.003547609}
{file: Rasputin_Light_Combo_Part_1-32.png; posX: 0.042503; posY: 0.002735734}
{file: Rasputin_Light_Combo_Part_1-33.png; posX: 0.02502045; posY: 0.002051592}
{file: Rasputin_Light_Combo_Part_1-34.png; posX: 0.01042225; posY: 0.001484752}
{file: Rasputin_Light_Combo_Part_1-35.png; posX: 0.0002888424; posY: 0.001024723}
{file: Rasputin_Light_Combo_Part_1-36.png; posX: -0.006463783; posY: 0.0006611347}
{file: Rasputin_Light_Combo_Part_1-37.png; posX: -0.01031012; posY: 0.0003834367}
{file: Rasputin_Light_Combo_Part_1-38.png; posX: -0.01184003; posY: 0.0001811981}
{file: Rasputin_Light_Combo_Part_1-39.png; posX: -0.01154218; posY: 4.392862E-05}
{file: Rasputin_Light_Combo_Part_1-40.png; posX: -0.01002461; posY: -3.874302E-05}
{file: Rasputin_Light_Combo_Part_1-41.png; posX: -0.00767885; posY: -7.730722E-05}
{file: Rasputin_Light_Combo_Part_1-42.png; posX: -0.005052403; posY: -8.231401E-05}
{file: Rasputin_Light_Combo_Part_1-43.png; posX: -0.002726694; posY: -6.407499E-05}
{file: Rasputin_Light_Combo_Part_1-44.png; posX: -0.0007217659; posY: -3.319979E-05}
