{file: Rasputin_Light_Combo_Part_4-0.png; posX: 1.948584; posY: 0}
{file: Rasputin_Light_Combo_Part_4-1.png; posX: 2.083433; posY: 0.004657745}
{file: Rasputin_Light_Combo_Part_4-2.png; posX: 2.217866; posY: 0.01255435}
{file: Rasputin_Light_Combo_Part_4-3.png; posX: 2.332419; posY: 0.02564561}
{file: Rasputin_Light_Combo_Part_4-4.png; posX: 2.407627; posY: 0.04588735}
{file: Rasputin_Light_Combo_Part_4-5.png; posX: 2.445802; posY: 0.07037956}
{file: Rasputin_Light_Combo_Part_4-6.png; posX: 2.46472; posY: 0.09422332}
{file: Rasputin_Light_Combo_Part_4-7.png; posX: 2.468113; posY: 0.1163763}
{file: Rasputin_Light_Combo_Part_4-8.png; posX: 2.459715; posY: 0.135796}
{file: Rasputin_Light_Combo_Part_4-9.png; posX: 2.443257; posY: 0.1514401}
{file: Rasputin_Light_Combo_Part_4-10.png; posX: 2.422472; posY: 0.1641482}
{file: Rasputin_Light_Combo_Part_4-11.png; posX: 2.401092; posY: 0.1754187}
{file: Rasputin_Light_Combo_Part_4-12.png; posX: 2.38285; posY: 0.1851984}
{file: Rasputin_Light_Combo_Part_4-13.png; posX: 2.371479; posY: 0.1934337}
{file: Rasputin_Light_Combo_Part_4-14.png; posX: 2.370711; posY: 0.2000713}
{file: Rasputin_Light_Combo_Part_4-15.png; posX: 2.380749; posY: 0.2050576}
{file: Rasputin_Light_Combo_Part_4-16.png; posX: 2.400489; posY: 0.2064612}
{file: Rasputin_Light_Combo_Part_4-17.png; posX: 2.431701; posY: 0.1994353}
{file: Rasputin_Light_Combo_Part_4-18.png; posX: 2.476158; posY: 0.1795541}
{file: Rasputin_Light_Combo_Part_4-19.png; posX: 2.53563; posY: 0.1423914}
{file: Rasputin_Light_Combo_Part_4-20.png; posX: 2.611888; posY: 0.08754623}
{file: Rasputin_Light_Combo_Part_4-21.png; posX: 2.694426; posY: 0.02492249}
{file: Rasputin_Light_Combo_Part_4-22.png; posX: 2.769615; posY: -0.03444761}
{file: Rasputin_Light_Combo_Part_4-23.png; posX: 2.834545; posY: -0.07953215}
{file: Rasputin_Light_Combo_Part_4-24.png; posX: 2.886303; posY: -0.1047021}
{file: Rasputin_Light_Combo_Part_4-25.png; posX: 2.92198; posY: -0.1157658}
