{file: Rasputin_Special_1-0.png; pivotX: 168.7837; pivotY: 329.9437}
{file: Rasputin_Special_1-1.png; pivotX: 165.5097; pivotY: 328.7286}
{file: Rasputin_Special_1-2.png; pivotX: 164.8907; pivotY: 327.864}
{file: Rasputin_Special_1-3.png; pivotX: 177.4503; pivotY: 327.1636}
{file: Rasputin_Special_1-4.png; pivotX: 174.832; pivotY: 325.4737}
{file: Rasputin_Special_1-5.png; pivotX: 158.2571; pivotY: 325.1122}
{file: Rasputin_Special_1-6.png; pivotX: 145.1624; pivotY: 324.8318}
{file: Rasputin_Special_1-7.png; pivotX: 145.7972; pivotY: 326.0909}
{file: Rasputin_Special_1-8.png; pivotX: 146.7456; pivotY: 327.3118}
{file: Rasputin_Special_1-9.png; pivotX: 147.8489; pivotY: 329.8362}
{file: Rasputin_Special_1-10.png; pivotX: 153.5531; pivotY: 332.4616}
{file: Rasputin_Special_1-11.png; pivotX: 158.7661; pivotY: 334.78}
{file: Rasputin_Special_1-12.png; pivotX: 162.6429; pivotY: 335.5208}
{file: Rasputin_Special_1-13.png; pivotX: 164.1544; pivotY: 335.8317}
{file: Rasputin_Special_1-14.png; pivotX: 163.8696; pivotY: 334.5077}
{file: Rasputin_Special_1-15.png; pivotX: 161.2568; pivotY: 331.4387}
{file: Rasputin_Special_1-16.png; pivotX: 160.2202; pivotY: 332.8038}
{file: Rasputin_Special_1-17.png; pivotX: 157.1673; pivotY: 336.4531}
{file: Rasputin_Special_1-18.png; pivotX: 152.8598; pivotY: 338.4831}
{file: Rasputin_Special_1-19.png; pivotX: 156.2936; pivotY: 339.4435}
{file: Rasputin_Special_1-20.png; pivotX: 174.6512; pivotY: 339.5222}
{file: Rasputin_Special_1-21.png; pivotX: 180.4785; pivotY: 339.0389}
{file: Rasputin_Special_1-22.png; pivotX: 179.2294; pivotY: 337.6165}
{file: Rasputin_Special_1-23.png; pivotX: 169.2544; pivotY: 336.5193}
{file: Rasputin_Special_1-24.png; pivotX: 158.7228; pivotY: 335.1478}
{file: Rasputin_Special_1-25.png; pivotX: 160.3705; pivotY: 333.4573}
{file: Rasputin_Special_1-26.png; pivotX: 159.1967; pivotY: 332.8648}
{file: Rasputin_Special_1-27.png; pivotX: 155.3271; pivotY: 332.9033}
{file: Rasputin_Special_1-28.png; pivotX: 150.2369; pivotY: 334.592}
{file: Rasputin_Special_1-29.png; pivotX: 144.7186; pivotY: 335.9808}
{file: Rasputin_Special_1-30.png; pivotX: 140.0536; pivotY: 336.1231}
{file: Rasputin_Special_1-31.png; pivotX: 138.3791; pivotY: 334.7675}
{file: Rasputin_Special_1-32.png; pivotX: 139.5995; pivotY: 333.9212}
{file: Rasputin_Special_1-33.png; pivotX: 143.9499; pivotY: 330.8119}
{file: Rasputin_Special_1-34.png; pivotX: 149.8507; pivotY: 326.0659}
{file: Rasputin_Special_1-35.png; pivotX: 156.6203; pivotY: 319.8185}
{file: Rasputin_Special_1-36.png; pivotX: 162.5237; pivotY: 312.0181}
{file: Rasputin_Special_1-37.png; pivotX: 166.421; pivotY: 304.8599}
{file: Rasputin_Special_1-38.png; pivotX: 170.4238; pivotY: 298.8834}
{file: Rasputin_Special_1-39.png; pivotX: 173.3034; pivotY: 293.9243}
{file: Rasputin_Special_1-40.png; pivotX: 176.3461; pivotY: 290.5487}
{file: Rasputin_Special_1-41.png; pivotX: 179.337; pivotY: 287.4411}
{file: Rasputin_Special_1-42.png; pivotX: 181.2668; pivotY: 286.6237}
{file: Rasputin_Special_1-43.png; pivotX: 183.0344; pivotY: 285.7506}
{file: Rasputin_Special_1-44.png; pivotX: 183.9698; pivotY: 286.4828}
{file: Rasputin_Special_1-45.png; pivotX: 184.6695; pivotY: 288.1417}
{file: Rasputin_Special_1-46.png; pivotX: 184.6283; pivotY: 289.5055}
{file: Rasputin_Special_1-47.png; pivotX: 184.5697; pivotY: 292.1726}
