{file: Rasputin_Special_1-0.png; posX: 2.980232E-10; posY: 0}
{file: Rasputin_Special_1-1.png; posX: -0.01617575; posY: -0.0006331801}
{file: Rasputin_Special_1-2.png; posX: -0.03374356; posY: -0.001324892}
{file: Rasputin_Special_1-3.png; posX: -0.05149697; posY: -0.00222379}
{file: Rasputin_Special_1-4.png; posX: -0.06776553; posY: -0.003478408}
{file: Rasputin_Special_1-5.png; posX: -0.08087877; posY: -0.005237281}
{file: Rasputin_Special_1-6.png; posX: -0.08947745; posY: -0.007649064}
{file: Rasputin_Special_1-7.png; posX: -0.0938695; posY: -0.01086229}
{file: Rasputin_Special_1-8.png; posX: -0.09488523; posY: -0.01502556}
{file: Rasputin_Special_1-9.png; posX: -0.09335497; posY: -0.02028739}
{file: Rasputin_Special_1-10.png; posX: -0.09010903; posY: -0.02561051}
{file: Rasputin_Special_1-11.png; posX: -0.08597773; posY: -0.0297308}
{file: Rasputin_Special_1-12.png; posX: -0.08179138; posY: -0.03245682}
{file: Rasputin_Special_1-13.png; posX: -0.0783803; posY: -0.03359693}
{file: Rasputin_Special_1-14.png; posX: -0.07617617; posY: -0.03295976}
{file: Rasputin_Special_1-15.png; posX: -0.07446457; posY: -0.03035367}
{file: Rasputin_Special_1-16.png; posX: -0.07235669; posY: -0.0255872}
{file: Rasputin_Special_1-17.png; posX: -0.06896371; posY: -0.01984185}
{file: Rasputin_Special_1-18.png; posX: -0.06339682; posY: -0.01442426}
{file: Rasputin_Special_1-19.png; posX: -0.05492174; posY: -0.009331048}
{file: Rasputin_Special_1-20.png; posX: -0.04460965; posY: -0.004558444}
{file: Rasputin_Special_1-21.png; posX: -0.03373363; posY: -0.0001029968}
{file: Rasputin_Special_1-22.png; posX: -0.02232138; posY: 0.00403899}
{file: Rasputin_Special_1-23.png; posX: -0.01032411; posY: 0.007870972}
{file: Rasputin_Special_1-24.png; posX: 0.002306931; posY: 0.01139665}
{file: Rasputin_Special_1-25.png; posX: 0.01562055; posY: 0.01461959}
{file: Rasputin_Special_1-26.png; posX: 0.02966547; posY: 0.01746917}
{file: Rasputin_Special_1-27.png; posX: 0.04449052; posY: 0.01915944}
{file: Rasputin_Special_1-28.png; posX: 0.06014444; posY: 0.01862091}
{file: Rasputin_Special_1-29.png; posX: 0.076676; posY: 0.01478404}
{file: Rasputin_Special_1-30.png; posX: 0.09429872; posY: 0.00657934}
{file: Rasputin_Special_1-31.png; posX: 0.1150862; posY: -0.007062733}
{file: Rasputin_Special_1-32.png; posX: 0.1404786; posY: -0.02721161}
{file: Rasputin_Special_1-33.png; posX: 0.168644; posY: -0.05313349}
{file: Rasputin_Special_1-34.png; posX: 0.1975125; posY: -0.08152431}
{file: Rasputin_Special_1-35.png; posX: 0.2250143; posY: -0.1095982}
{file: Rasputin_Special_1-36.png; posX: 0.2490793; posY: -0.1345693}
{file: Rasputin_Special_1-37.png; posX: 0.2676378; posY: -0.1536517}
{file: Rasputin_Special_1-38.png; posX: 0.2798937; posY: -0.1665048}
{file: Rasputin_Special_1-39.png; posX: 0.2871456; posY: -0.1750859}
{file: Rasputin_Special_1-40.png; posX: 0.2904656; posY: -0.1800563}
{file: Rasputin_Special_1-41.png; posX: 0.2909254; posY: -0.1820772}
{file: Rasputin_Special_1-42.png; posX: 0.289597; posY: -0.1818098}
{file: Rasputin_Special_1-43.png; posX: 0.2875522; posY: -0.1799154}
{file: Rasputin_Special_1-44.png; posX: 0.2858631; posY: -0.1770551}
{file: Rasputin_Special_1-45.png; posX: 0.2846839; posY: -0.1738902}
{file: Rasputin_Special_1-46.png; posX: 0.2833936; posY: -0.1706028}
{file: Rasputin_Special_1-47.png; posX: 0.2819007; posY: -0.1669583}
{file: Rasputin_Special_1-48.png; posX: 0.2801141; posY: -0.1629932}
{file: Rasputin_Special_1-49.png; posX: 0.2779422; posY: -0.1587437}
{file: Rasputin_Special_1-50.png; posX: 0.2752938; posY: -0.1542465}
{file: Rasputin_Special_1-51.png; posX: 0.2720775; posY: -0.1495378}
{file: Rasputin_Special_1-52.png; posX: 0.2682019; posY: -0.1446541}
{file: Rasputin_Special_1-53.png; posX: 0.2635756; posY: -0.1396317}
{file: Rasputin_Special_1-54.png; posX: 0.2581074; posY: -0.1345071}
{file: Rasputin_Special_1-55.png; posX: 0.2517058; posY: -0.1293167}
{file: Rasputin_Special_1-56.png; posX: 0.2442795; posY: -0.124097}
{file: Rasputin_Special_1-57.png; posX: 0.2357372; posY: -0.1188842}
{file: Rasputin_Special_1-58.png; posX: 0.2262023; posY: -0.1137148}
{file: Rasputin_Special_1-59.png; posX: 0.2159186; posY: -0.1086253}
{file: Rasputin_Special_1-60.png; posX: 0.2049754; posY: -0.1036519}
{file: Rasputin_Special_1-61.png; posX: 0.1934623; posY: -0.09883124}
{file: Rasputin_Special_1-62.png; posX: 0.1814684; posY: -0.09406388}
{file: Rasputin_Special_1-63.png; posX: 0.1690832; posY: -0.08923775}
{file: Rasputin_Special_1-64.png; posX: 0.1563961; posY: -0.08437026}
{file: Rasputin_Special_1-65.png; posX: 0.1434964; posY: -0.07947862}
{file: Rasputin_Special_1-66.png; posX: 0.1304734; posY: -0.07458019}
{file: Rasputin_Special_1-67.png; posX: 0.1174165; posY: -0.06969231}
{file: Rasputin_Special_1-68.png; posX: 0.1044151; posY: -0.06483221}
{file: Rasputin_Special_1-69.png; posX: 0.09155844; posY: -0.06001723}
{file: Rasputin_Special_1-70.png; posX: 0.07893601; posY: -0.05526477}
{file: Rasputin_Special_1-71.png; posX: 0.06663711; posY: -0.05059206}
{file: Rasputin_Special_1-72.png; posX: 0.05475111; posY: -0.0460164}
{file: Rasputin_Special_1-73.png; posX: 0.04336734; posY: -0.04155517}
{file: Rasputin_Special_1-74.png; posX: 0.03257519; posY: -0.03722566}
{file: Rasputin_Special_1-75.png; posX: 0.02244045; posY: -0.03304511}
{file: Rasputin_Special_1-76.png; posX: 0.01264261; posY: -0.02903092}
{file: Rasputin_Special_1-77.png; posX: 0.002871331; posY: -0.02520037}
{file: Rasputin_Special_1-78.png; posX: -0.006735972; posY: -0.02157074}
{file: Rasputin_Special_1-79.png; posX: -0.01599743; posY: -0.01815939}
{file: Rasputin_Special_1-80.png; posX: -0.02473117; posY: -0.01498365}
{file: Rasputin_Special_1-81.png; posX: -0.03279085; posY: -0.01206076}
{file: Rasputin_Special_1-82.png; posX: -0.04003763; posY: -0.009408116}
{file: Rasputin_Special_1-83.png; posX: -0.0463009; posY: -0.007042944}
{file: Rasputin_Special_1-84.png; posX: -0.0514099; posY: -0.00498265}
{file: Rasputin_Special_1-85.png; posX: -0.05519405; posY: -0.00324446}
{file: Rasputin_Special_1-86.png; posX: -0.0574827; posY: -0.001845717}
{file: Rasputin_Special_1-87.png; posX: -0.05808059; posY: -0.001093328}
{file: Rasputin_Special_1-88.png; posX: -0.05619047; posY: -0.001188993}
{file: Rasputin_Special_1-89.png; posX: -0.05121398; posY: -0.001992285}
{file: Rasputin_Special_1-90.png; posX: -0.04372678; posY: -0.003362656}
{file: Rasputin_Special_1-91.png; posX: -0.03441614; posY: -0.005159676}
{file: Rasputin_Special_1-92.png; posX: -0.02396958; posY: -0.007242858}
{file: Rasputin_Special_1-93.png; posX: -0.0130744; posY: -0.009471774}
{file: Rasputin_Special_1-94.png; posX: -0.002239839; posY: -0.01170594}
{file: Rasputin_Special_1-95.png; posX: 0.007846928; posY: -0.01380485}
{file: Rasputin_Special_1-96.png; posX: 0.01654938; posY: -0.0156281}
{file: Rasputin_Special_1-97.png; posX: 0.02323107; posY: -0.01703519}
{file: Rasputin_Special_1-98.png; posX: 0.02728733; posY: -0.01788563}
{file: Rasputin_Special_1-99.png; posX: 0.02929424; posY: -0.01803893}
{file: Rasputin_Special_1-100.png; posX: 0.03006847; posY: -0.01735473}
{file: Rasputin_Special_1-101.png; posX: 0.03005573; posY: -0.01569241}
{file: Rasputin_Special_1-102.png; posX: 0.02923937; posY: -0.01340187}
{file: Rasputin_Special_1-103.png; posX: 0.02774256; posY: -0.01097655}
{file: Rasputin_Special_1-104.png; posX: 0.02568847; posY: -0.008491516}
{file: Rasputin_Special_1-105.png; posX: 0.02320024; posY: -0.006021798}
{file: Rasputin_Special_1-106.png; posX: 0.02040105; posY: -0.00364238}
{file: Rasputin_Special_1-107.png; posX: 0.01741407; posY: -0.001428425}
{file: Rasputin_Special_1-108.png; posX: 0.01436245; posY: 0.0005452037}
{file: Rasputin_Special_1-109.png; posX: 0.01136934; posY: 0.002203286}
{file: Rasputin_Special_1-110.png; posX: 0.008557919; posY: 0.003470898}
{file: Rasputin_Special_1-111.png; posX: 0.006051339; posY: 0.004272997}
{file: Rasputin_Special_1-112.png; posX: 0.003949335; posY: 0.004534483}
{file: Rasputin_Special_1-113.png; posX: 0.00190739; posY: 0.004180372}
{file: Rasputin_Special_1-114.png; posX: -0.0004392409; posY: 0.003135562}
{file: Rasputin_Special_1-115.png; posX: -0.003003071; posY: 0.001325071}
{file: Rasputin_Special_1-116.png; posX: -0.005684196; posY: -0.001326203}
{file: Rasputin_Special_1-117.png; posX: -0.008410865; posY: -0.004893184}
{file: Rasputin_Special_1-118.png; posX: -0.01109021; posY: -0.008825302}
{file: Rasputin_Special_1-119.png; posX: -0.01362938; posY: -0.01248747}
{file: Rasputin_Special_1-120.png; posX: -0.01593546; posY: -0.01582807}
{file: Rasputin_Special_1-121.png; posX: -0.01791563; posY: -0.01879573}
{file: Rasputin_Special_1-122.png; posX: -0.019477; posY: -0.02133876}
{file: Rasputin_Special_1-123.png; posX: -0.02052671; posY: -0.02340573}
{file: Rasputin_Special_1-124.png; posX: -0.02091403; posY: -0.02494496}
{file: Rasputin_Special_1-125.png; posX: -0.02050532; posY: -0.02590507}
{file: Rasputin_Special_1-126.png; posX: -0.01923329; posY: -0.02623451}
{file: Rasputin_Special_1-127.png; posX: -0.01715523; posY: -0.02588159}
{file: Rasputin_Special_1-128.png; posX: -0.01451953; posY: -0.02479494}
{file: Rasputin_Special_1-129.png; posX: -0.01154555; posY: -0.02292299}
{file: Rasputin_Special_1-130.png; posX: -0.008452637; posY: -0.02071613}
{file: Rasputin_Special_1-131.png; posX: -0.005460159; posY: -0.0186522}
{file: Rasputin_Special_1-132.png; posX: -0.002787472; posY: -0.01672053}
{file: Rasputin_Special_1-133.png; posX: -0.0006000673; posY: -0.01491052}
