{file: Rasputin_Special_2_Part_1-0.png; pivotX: 96.57154; pivotY: 320.93}
{file: Rasputin_Special_2_Part_1-1.png; pivotX: 94.04211; pivotY: 315.1849}
{file: Rasputin_Special_2_Part_1-2.png; pivotX: 98.45722; pivotY: 305.9538}
{file: Rasputin_Special_2_Part_1-3.png; pivotX: 103.3003; pivotY: 293.9663}
{file: Rasputin_Special_2_Part_1-4.png; pivotX: 109.5603; pivotY: 278.3405}
{file: Rasputin_Special_2_Part_1-5.png; pivotX: 114.0637; pivotY: 258.7074}
{file: Rasputin_Special_2_Part_1-6.png; pivotX: 118.6297; pivotY: 237.8144}
{file: Rasputin_Special_2_Part_1-7.png; pivotX: 127.6812; pivotY: 228.1208}
{file: Rasputin_Special_2_Part_1-8.png; pivotX: 139.2786; pivotY: 217.257}
{file: Rasputin_Special_2_Part_1-9.png; pivotX: 157.6093; pivotY: 213.3007}
{file: Rasputin_Special_2_Part_1-10.png; pivotX: 169.4058; pivotY: 212.7271}
{file: Rasputin_Special_2_Part_1-11.png; pivotX: 186.1893; pivotY: 217.4408}
{file: Rasputin_Special_2_Part_1-12.png; pivotX: 199.6349; pivotY: 230.8942}
{file: Rasputin_Special_2_Part_1-13.png; pivotX: 195.6344; pivotY: 246.7779}
{file: Rasputin_Special_2_Part_1-14.png; pivotX: 186.6134; pivotY: 264.9757}
{file: Rasputin_Special_2_Part_1-15.png; pivotX: 166.2411; pivotY: 285.1268}
{file: Rasputin_Special_2_Part_1-16.png; pivotX: 132.73; pivotY: 303.6877}
{file: Rasputin_Special_2_Part_1-17.png; pivotX: 105.6034; pivotY: 318.5}
{file: Rasputin_Special_2_Part_1-18.png; pivotX: 88.82929; pivotY: 329.6469}
{file: Rasputin_Special_2_Part_1-19.png; pivotX: 87.10207; pivotY: 335.5316}
{file: Rasputin_Special_2_Part_1-20.png; pivotX: 83.98278; pivotY: 339.8485}
{file: Rasputin_Special_2_Part_1-21.png; pivotX: 78.96701; pivotY: 342.6008}
{file: Rasputin_Special_2_Part_1-22.png; pivotX: 81.18869; pivotY: 344.3715}
{file: Rasputin_Special_2_Part_1-23.png; pivotX: 82.35593; pivotY: 344.9106}
{file: Rasputin_Special_2_Part_1-24.png; pivotX: 81.52496; pivotY: 346.7378}
{file: Rasputin_Special_2_Part_1-25.png; pivotX: 80.31915; pivotY: 347.4834}
{file: Rasputin_Special_2_Part_1-26.png; pivotX: 79.83712; pivotY: 349.395}
{file: Rasputin_Special_2_Part_1-27.png; pivotX: 80.0759; pivotY: 350.5016}
{file: Rasputin_Special_2_Part_1-28.png; pivotX: 79.99966; pivotY: 350.6685}
{file: Rasputin_Special_2_Part_1-29.png; pivotX: 80.65895; pivotY: 351.7781}
{file: Rasputin_Special_2_Part_1-30.png; pivotX: 80.97212; pivotY: 350.928}
{file: Rasputin_Special_2_Part_1-31.png; pivotX: 81.31291; pivotY: 349.0542}
{file: Rasputin_Special_2_Part_1-32.png; pivotX: 81.67545; pivotY: 347.1087}
{file: Rasputin_Special_2_Part_1-33.png; pivotX: 82.03573; pivotY: 348.1318}
{file: Rasputin_Special_2_Part_1-34.png; pivotX: 82.33015; pivotY: 350.0823}
{file: Rasputin_Special_2_Part_1-35.png; pivotX: 82.5563; pivotY: 350.9974}
{file: Rasputin_Special_2_Part_1-36.png; pivotX: 82.77357; pivotY: 350.892}
{file: Rasputin_Special_2_Part_1-37.png; pivotX: 83.02435; pivotY: 350.7354}
{file: Rasputin_Special_2_Part_1-38.png; pivotX: 83.3469; pivotY: 350.5454}
{file: Rasputin_Special_2_Part_1-39.png; pivotX: 83.77771; pivotY: 350.3477}
{file: Rasputin_Special_2_Part_1-40.png; pivotX: 84.34375; pivotY: 349.234}
{file: Rasputin_Special_2_Part_1-41.png; pivotX: 84.48335; pivotY: 348.2035}
{file: Rasputin_Special_2_Part_1-42.png; pivotX: 85.18507; pivotY: 347.265}
{file: Rasputin_Special_2_Part_1-43.png; pivotX: 86.07545; pivotY: 346.3187}
{file: Rasputin_Special_2_Part_1-44.png; pivotX: 86.6899; pivotY: 345.3056}
{file: Rasputin_Special_2_Part_1-45.png; pivotX: 87.26537; pivotY: 344.2695}
{file: Rasputin_Special_2_Part_1-46.png; pivotX: 88.7034; pivotY: 342.2874}
{file: Rasputin_Special_2_Part_1-47.png; pivotX: 90.33506; pivotY: 339.3699}
