{file: Rasputin_Special_2_Part_1-0.png; posX: 2.980232E-10; posY: 0}
{file: Rasputin_Special_2_Part_1-1.png; posX: 0.004521873; posY: -0.01748729}
{file: Rasputin_Special_2_Part_1-2.png; posX: 0.01050031; posY: -0.03463221}
{file: Rasputin_Special_2_Part_1-3.png; posX: 0.006068517; posY: -0.05241191}
{file: Rasputin_Special_2_Part_1-4.png; posX: 0.03265314; posY: -0.07617235}
{file: Rasputin_Special_2_Part_1-5.png; posX: 0.1248927; posY: -0.1076053}
{file: Rasputin_Special_2_Part_1-6.png; posX: 0.2912849; posY: -0.1422067}
{file: Rasputin_Special_2_Part_1-7.png; posX: 0.5593048; posY: -0.1745374}
{file: Rasputin_Special_2_Part_1-8.png; posX: 0.9066594; posY: -0.1984456}
{file: Rasputin_Special_2_Part_1-9.png; posX: 1.310576; posY: -0.2083591}
{file: Rasputin_Special_2_Part_1-10.png; posX: 1.78373; posY: -0.2017402}
{file: Rasputin_Special_2_Part_1-11.png; posX: 2.341824; posY: -0.1822083}
{file: Rasputin_Special_2_Part_1-12.png; posX: 2.912856; posY: -0.153426}
{file: Rasputin_Special_2_Part_1-13.png; posX: 3.422192; posY: -0.1190562}
{file: Rasputin_Special_2_Part_1-14.png; posX: 3.86505; posY: -0.08276153}
{file: Rasputin_Special_2_Part_1-15.png; posX: 4.235898; posY: -0.04820478}
{file: Rasputin_Special_2_Part_1-16.png; posX: 4.560039; posY: -0.0160687}
{file: Rasputin_Special_2_Part_1-17.png; posX: 4.853385; posY: 0.01452118}
{file: Rasputin_Special_2_Part_1-18.png; posX: 5.096327; posY: 0.0422377}
{file: Rasputin_Special_2_Part_1-19.png; posX: 5.269253; posY: 0.06575382}
{file: Rasputin_Special_2_Part_1-20.png; posX: 5.375306; posY: 0.08374232}
{file: Rasputin_Special_2_Part_1-21.png; posX: 5.437391; posY: 0.09696293}
{file: Rasputin_Special_2_Part_1-22.png; posX: 5.46555; posY: 0.1073051}
{file: Rasputin_Special_2_Part_1-23.png; posX: 5.46982; posY: 0.1151366}
{file: Rasputin_Special_2_Part_1-24.png; posX: 5.460239; posY: 0.1208254}
{file: Rasputin_Special_2_Part_1-25.png; posX: 5.446847; posY: 0.1247391}
{file: Rasputin_Special_2_Part_1-26.png; posX: 5.439683; posY: 0.1272456}
{file: Rasputin_Special_2_Part_1-27.png; posX: 5.43915; posY: 0.1287127}
{file: Rasputin_Special_2_Part_1-28.png; posX: 5.438958; posY: 0.1295082}
{file: Rasputin_Special_2_Part_1-29.png; posX: 5.439099; posY: 0.13}
{file: Rasputin_Special_2_Part_1-30.png; posX: 5.439569; posY: 0.1305557}
