{file: Rasputin_Special_2_Part_2-0.png; posX: 1.77815; posY: 0}
{file: Rasputin_Special_2_Part_2-1.png; posX: 1.778917; posY: -0.000154376}
{file: Rasputin_Special_2_Part_2-2.png; posX: 1.77992; posY: -0.0003591776}
{file: Rasputin_Special_2_Part_2-3.png; posX: 1.780921; posY: -0.0005871654}
{file: Rasputin_Special_2_Part_2-4.png; posX: 1.781685; posY: -0.0008110404}
{file: Rasputin_Special_2_Part_2-5.png; posX: 1.781974; posY: -0.001003563}
{file: Rasputin_Special_2_Part_2-6.png; posX: 1.781551; posY: -0.001137435}
{file: Rasputin_Special_2_Part_2-7.png; posX: 1.780181; posY: -0.001185417}
{file: Rasputin_Special_2_Part_2-8.png; posX: 1.777626; posY: -0.00112015}
{file: Rasputin_Special_2_Part_2-9.png; posX: 1.773651; posY: -0.0009144545}
{file: Rasputin_Special_2_Part_2-10.png; posX: 1.768017; posY: -0.0005410314}
{file: Rasputin_Special_2_Part_2-11.png; posX: 1.760488; posY: 2.747774E-05}
{file: Rasputin_Special_2_Part_2-12.png; posX: 1.750829; posY: 0.000818193}
{file: Rasputin_Special_2_Part_2-13.png; posX: 1.738801; posY: 0.001858473}
{file: Rasputin_Special_2_Part_2-14.png; posX: 1.724169; posY: 0.003175616}
{file: Rasputin_Special_2_Part_2-15.png; posX: 1.706696; posY: 0.004796863}
{file: Rasputin_Special_2_Part_2-16.png; posX: 1.686145; posY: 0.006749511}
{file: Rasputin_Special_2_Part_2-17.png; posX: 1.665563; posY: 0.0090608}
{file: Rasputin_Special_2_Part_2-18.png; posX: 1.647934; posY: 0.0113821}
{file: Rasputin_Special_2_Part_2-19.png; posX: 1.632931; posY: 0.0133121}
{file: Rasputin_Special_2_Part_2-20.png; posX: 1.620226; posY: 0.01479894}
{file: Rasputin_Special_2_Part_2-21.png; posX: 1.609492; posY: 0.01579076}
{file: Rasputin_Special_2_Part_2-22.png; posX: 1.600399; posY: 0.01623583}
{file: Rasputin_Special_2_Part_2-23.png; posX: 1.59262; posY: 0.01608223}
{file: Rasputin_Special_2_Part_2-24.png; posX: 1.583237; posY: 0.01527822}
{file: Rasputin_Special_2_Part_2-25.png; posX: 1.569511; posY: 0.01377189}
{file: Rasputin_Special_2_Part_2-26.png; posX: 1.551386; posY: 0.01151145}
{file: Rasputin_Special_2_Part_2-27.png; posX: 1.528805; posY: 0.008445084}
{file: Rasputin_Special_2_Part_2-28.png; posX: 1.501714; posY: 0.004520953}
{file: Rasputin_Special_2_Part_2-29.png; posX: 1.470054; posY: -0.0003128052}
{file: Rasputin_Special_2_Part_2-30.png; posX: 1.438028; posY: -0.006107926}
{file: Rasputin_Special_2_Part_2-31.png; posX: 1.409878; posY: -0.01447701}
{file: Rasputin_Special_2_Part_2-32.png; posX: 1.385605; posY: -0.02663189}
{file: Rasputin_Special_2_Part_2-33.png; posX: 1.365211; posY: -0.04202306}
{file: Rasputin_Special_2_Part_2-34.png; posX: 1.348698; posY: -0.06010103}
{file: Rasputin_Special_2_Part_2-35.png; posX: 1.336068; posY: -0.08031642}
{file: Rasputin_Special_2_Part_2-36.png; posX: 1.327323; posY: -0.1021198}
{file: Rasputin_Special_2_Part_2-37.png; posX: 1.322465; posY: -0.1249619}
{file: Rasputin_Special_2_Part_2-38.png; posX: 1.321495; posY: -0.148293}
{file: Rasputin_Special_2_Part_2-39.png; posX: 1.324417; posY: -0.1715637}
{file: Rasputin_Special_2_Part_2-40.png; posX: 1.329256; posY: -0.1942249}
{file: Rasputin_Special_2_Part_2-41.png; posX: 1.333916; posY: -0.2139537}
{file: Rasputin_Special_2_Part_2-42.png; posX: 1.338214; posY: -0.2284604}
{file: Rasputin_Special_2_Part_2-43.png; posX: 1.341967; posY: -0.2372444}
{file: Rasputin_Special_2_Part_2-44.png; posX: 1.344992; posY: -0.2398052}
{file: Rasputin_Special_2_Part_2-45.png; posX: 1.347106; posY: -0.23738}
