{file: Rasputin_Special_2_Victim-0.png; pivotX: 91.72375; pivotY: 317.4592}
{file: Rasputin_Special_2_Victim-1.png; pivotX: 91.32084; pivotY: 317.4795}
{file: Rasputin_Special_2_Victim-2.png; pivotX: 91.30348; pivotY: 317.5628}
{file: Rasputin_Special_2_Victim-3.png; pivotX: 90.6497; pivotY: 317.6808}
{file: Rasputin_Special_2_Victim-4.png; pivotX: 89.83442; pivotY: 317.8054}
{file: Rasputin_Special_2_Victim-5.png; pivotX: 89.32459; pivotY: 317.9062}
{file: Rasputin_Special_2_Victim-6.png; pivotX: 88.07926; pivotY: 317.9519}
{file: Rasputin_Special_2_Victim-7.png; pivotX: 86.6571; pivotY: 316.9481}
{file: Rasputin_Special_2_Victim-8.png; pivotX: 86.91941; pivotY: 315.8452}
{file: Rasputin_Special_2_Victim-9.png; pivotX: 87.73701; pivotY: 314.6862}
{file: Rasputin_Special_2_Victim-10.png; pivotX: 88.41187; pivotY: 313.5824}
{file: Rasputin_Special_2_Victim-11.png; pivotX: 88.56954; pivotY: 312.5902}
{file: Rasputin_Special_2_Victim-12.png; pivotX: 89.31706; pivotY: 311.9408}
{file: Rasputin_Special_2_Victim-13.png; pivotX: 89.67355; pivotY: 311.5281}
{file: Rasputin_Special_2_Victim-14.png; pivotX: 89.63268; pivotY: 311.4783}
{file: Rasputin_Special_2_Victim-15.png; pivotX: 90.27139; pivotY: 310.9677}
{file: Rasputin_Special_2_Victim-16.png; pivotX: 90.37711; pivotY: 311.9848}
{file: Rasputin_Special_2_Victim-17.png; pivotX: 90.75643; pivotY: 311.7837}
{file: Rasputin_Special_2_Victim-18.png; pivotX: 91.21378; pivotY: 312.1799}
{file: Rasputin_Special_2_Victim-19.png; pivotX: 91.30263; pivotY: 313.0518}
{file: Rasputin_Special_2_Victim-20.png; pivotX: 91.45567; pivotY: 314.2413}
{file: Rasputin_Special_2_Victim-21.png; pivotX: 91.68695; pivotY: 314.6762}
{file: Rasputin_Special_2_Victim-22.png; pivotX: 91.91714; pivotY: 315.1513}
{file: Rasputin_Special_2_Victim-23.png; pivotX: 92.14674; pivotY: 316.4895}
{file: Rasputin_Special_2_Victim-24.png; pivotX: 92.10986; pivotY: 316.6521}
{file: Rasputin_Special_2_Victim-25.png; pivotX: 92.04653; pivotY: 316.5553}
{file: Rasputin_Special_2_Victim-26.png; pivotX: 91.94492; pivotY: 316.2382}
{file: Rasputin_Special_2_Victim-27.png; pivotX: 92.14899; pivotY: 316.6698}
{file: Rasputin_Special_2_Victim-28.png; pivotX: 91.87312; pivotY: 316.4445}
{file: Rasputin_Special_2_Victim-29.png; pivotX: 91.62697; pivotY: 316.2153}
{file: Rasputin_Special_2_Victim-30.png; pivotX: 91.26445; pivotY: 316.2553}
{file: Rasputin_Special_2_Victim-31.png; pivotX: 90.7486; pivotY: 316.3206}
{file: Rasputin_Special_2_Victim-32.png; pivotX: 89.69451; pivotY: 316.4677}
{file: Rasputin_Special_2_Victim-33.png; pivotX: 88.77729; pivotY: 316.4489}
{file: Rasputin_Special_2_Victim-34.png; pivotX: 86.06461; pivotY: 316.3869}
{file: Rasputin_Special_2_Victim-35.png; pivotX: 78.40355; pivotY: 317.718}
{file: Rasputin_Special_2_Victim-36.png; pivotX: 72.67124; pivotY: 321.37}
{file: Rasputin_Special_2_Victim-37.png; pivotX: 71.31508; pivotY: 324.5038}
