{file: Rasputin_Special_2_Victim-0.png; posX: -0.3460557; posY: 0}
{file: Rasputin_Special_2_Victim-1.png; posX: -0.3479097; posY: -0.001185656}
{file: Rasputin_Special_2_Victim-2.png; posX: -0.3500198; posY: -0.002716899}
{file: Rasputin_Special_2_Victim-3.png; posX: -0.3526571; posY: -0.004634678}
{file: Rasputin_Special_2_Victim-4.png; posX: -0.356093; posY: -0.006980121}
{file: Rasputin_Special_2_Victim-5.png; posX: -0.3605989; posY: -0.009794235}
{file: Rasputin_Special_2_Victim-6.png; posX: -0.366446; posY: -0.01311809}
{file: Rasputin_Special_2_Victim-7.png; posX: -0.3739058; posY: -0.01699269}
{file: Rasputin_Special_2_Victim-8.png; posX: -0.3832495; posY: -0.0214591}
{file: Rasputin_Special_2_Victim-9.png; posX: -0.3940415; posY: -0.0265584}
{file: Rasputin_Special_2_Victim-10.png; posX: -0.405338; posY: -0.03233159}
{file: Rasputin_Special_2_Victim-11.png; posX: -0.4166481; posY: -0.03796732}
{file: Rasputin_Special_2_Victim-12.png; posX: -0.427481; posY: -0.04257083}
{file: Rasputin_Special_2_Victim-13.png; posX: -0.4373457; posY: -0.04605812}
{file: Rasputin_Special_2_Victim-14.png; posX: -0.4457513; posY: -0.04834515}
{file: Rasputin_Special_2_Victim-15.png; posX: -0.4522069; posY: -0.04934788}
{file: Rasputin_Special_2_Victim-16.png; posX: -0.4562217; posY: -0.04898232}
{file: Rasputin_Special_2_Victim-17.png; posX: -0.458038; posY: -0.04716438}
{file: Rasputin_Special_2_Victim-18.png; posX: -0.4584136; posY: -0.04381001}
{file: Rasputin_Special_2_Victim-19.png; posX: -0.4576306; posY: -0.03883523}
{file: Rasputin_Special_2_Victim-20.png; posX: -0.4559713; posY: -0.03325105}
{file: Rasputin_Special_2_Victim-21.png; posX: -0.4537179; posY: -0.02817708}
{file: Rasputin_Special_2_Victim-22.png; posX: -0.4511525; posY: -0.02369261}
{file: Rasputin_Special_2_Victim-23.png; posX: -0.4485573; posY: -0.0198766}
{file: Rasputin_Special_2_Victim-24.png; posX: -0.4462147; posY: -0.01680827}
{file: Rasputin_Special_2_Victim-25.png; posX: -0.4444067; posY: -0.01456666}
{file: Rasputin_Special_2_Victim-26.png; posX: -0.4428825; posY: -0.01323086}
{file: Rasputin_Special_2_Victim-27.png; posX: -0.4412166; posY: -0.01288009}
{file: Rasputin_Special_2_Victim-28.png; posX: -0.439429; posY: -0.01359338}
{file: Rasputin_Special_2_Victim-29.png; posX: -0.4375395; posY: -0.01508415}
{file: Rasputin_Special_2_Victim-30.png; posX: -0.4355681; posY: -0.01657391}
{file: Rasputin_Special_2_Victim-31.png; posX: -0.4335347; posY: -0.01740366}
{file: Rasputin_Special_2_Victim-32.png; posX: -0.4314594; posY: -0.01691461}
{file: Rasputin_Special_2_Victim-33.png; posX: -0.4293621; posY: -0.01444787}
{file: Rasputin_Special_2_Victim-34.png; posX: -0.4288912; posY: -0.009344459}
{file: Rasputin_Special_2_Victim-35.png; posX: -0.4304319; posY: -0.0009455681}
{file: Rasputin_Special_2_Victim-36.png; posX: -0.4321093; posY: 0.01140767}
{file: Rasputin_Special_2_Victim-37.png; posX: -0.4320485; posY: 0.02560306}
{file: Rasputin_Special_2_Victim-38.png; posX: -0.4259232; posY: 0.03783351}
{file: Rasputin_Special_2_Victim-39.png; posX: -0.411177; posY: 0.04621542}
{file: Rasputin_Special_2_Victim-40.png; posX: -0.3885894; posY: 0.04886532}
{file: Rasputin_Special_2_Victim-41.png; posX: -0.3589396; posY: 0.04652715}
{file: Rasputin_Special_2_Victim-42.png; posX: -0.3241024; posY: 0.04180861}
{file: Rasputin_Special_2_Victim-43.png; posX: -0.2870275; posY: 0.0356217}
{file: Rasputin_Special_2_Victim-44.png; posX: -0.250108; posY: 0.02887863}
{file: Rasputin_Special_2_Victim-45.png; posX: -0.2157366; posY: 0.02249146}
{file: Rasputin_Special_2_Victim-46.png; posX: -0.1854132; posY: 0.01737225}
{file: Rasputin_Special_2_Victim-47.png; posX: -0.1589445; posY: 0.01443321}
{file: Rasputin_Special_2_Victim-48.png; posX: -0.1361842; posY: 0.01362765}
{file: Rasputin_Special_2_Victim-49.png; posX: -0.1169863; posY: 0.01416564}
{file: Rasputin_Special_2_Victim-50.png; posX: -0.1014732; posY: 0.01584417}
{file: Rasputin_Special_2_Victim-51.png; posX: -0.09073593; posY: 0.01846045}
{file: Rasputin_Special_2_Victim-52.png; posX: -0.08608038; posY: 0.02181143}
{file: Rasputin_Special_2_Victim-53.png; posX: -0.08859467; posY: 0.02569413}
{file: Rasputin_Special_2_Victim-54.png; posX: -0.09641103; posY: 0.02990574}
{file: Rasputin_Special_2_Victim-55.png; posX: -0.1077204; posY: 0.03424329}
{file: Rasputin_Special_2_Victim-56.png; posX: -0.1227831; posY: 0.03850377}
{file: Rasputin_Special_2_Victim-57.png; posX: -0.1415762; posY: 0.04248428}
{file: Rasputin_Special_2_Victim-58.png; posX: -0.1640763; posY: 0.04598194}
{file: Rasputin_Special_2_Victim-59.png; posX: -0.1902605; posY: 0.04879373}
{file: Rasputin_Special_2_Victim-60.png; posX: -0.2204528; posY: 0.05071676}
{file: Rasputin_Special_2_Victim-61.png; posX: -0.2597248; posY: 0.05154806}
{file: Rasputin_Special_2_Victim-62.png; posX: -0.2971304; posY: 0.0510847}
{file: Rasputin_Special_2_Victim-63.png; posX: -0.3233579; posY: 0.04912376}
{file: Rasputin_Special_2_Victim-64.png; posX: -0.3317902; posY: 0.04546231}
{file: Rasputin_Special_2_Victim-65.png; posX: -0.3151908; posY: 0.03989738}
{file: Rasputin_Special_2_Victim-66.png; posX: -0.2797854; posY: 0.03222609}
{file: Rasputin_Special_2_Victim-67.png; posX: -0.2339965; posY: 0.02395421}
{file: Rasputin_Special_2_Victim-68.png; posX: -0.1829933; posY: 0.01805705}
{file: Rasputin_Special_2_Victim-69.png; posX: -0.1349512; posY: 0.01653594}
{file: Rasputin_Special_2_Victim-70.png; posX: -0.08526635; posY: 0.02139199}
{file: Rasputin_Special_2_Victim-71.png; posX: -0.02962221; posY: 0.03462642}
{file: Rasputin_Special_2_Victim-72.png; posX: 0.02651791; posY: 0.05294782}
{file: Rasputin_Special_2_Victim-73.png; posX: 0.07982575; posY: 0.07027084}
{file: Rasputin_Special_2_Victim-74.png; posX: 0.1279357; posY: 0.08440584}
{file: Rasputin_Special_2_Victim-75.png; posX: 0.1677263; posY: 0.09316313}
{file: Rasputin_Special_2_Victim-76.png; posX: 0.1960749; posY: 0.09805602}
{file: Rasputin_Special_2_Victim-77.png; posX: 0.2113437; posY: 0.1021136}
{file: Rasputin_Special_2_Victim-78.png; posX: 0.2159443; posY: 0.1054196}
