{file: Rasputin_WallBump-0.png; pivotX: 93.7961; pivotY: 366.4205}
{file: Rasputin_WallBump-1.png; pivotX: 90.46748; pivotY: 368.0999}
{file: Rasputin_WallBump-2.png; pivotX: 87.20322; pivotY: 366.9634}
{file: Rasputin_WallBump-3.png; pivotX: 107.2328; pivotY: 362.8314}
{file: Rasputin_WallBump-4.png; pivotX: 119.5715; pivotY: 356.5135}
{file: Rasputin_WallBump-5.png; pivotX: 129.9298; pivotY: 350.8016}
{file: Rasputin_WallBump-6.png; pivotX: 135.6813; pivotY: 348.4535}
{file: Rasputin_WallBump-7.png; pivotX: 133.7194; pivotY: 348.9429}
{file: Rasputin_WallBump-8.png; pivotX: 125.2868; pivotY: 350.9754}
{file: Rasputin_WallBump-9.png; pivotX: 112.848; pivotY: 351.0793}
{file: Rasputin_WallBump-10.png; pivotX: 161.3936; pivotY: 344.5123}
{file: Rasputin_WallBump-11.png; pivotX: 196.5905; pivotY: 367.6815}
{file: Rasputin_WallBump-12.png; pivotX: 194.1531; pivotY: 380.591}
{file: Rasputin_WallBump-13.png; pivotX: 179.5351; pivotY: 344.0229}
{file: Rasputin_WallBump-14.png; pivotX: 142.8204; pivotY: 305.3295}
{file: Rasputin_WallBump-15.png; pivotX: 137.8071; pivotY: 305.8209}
{file: Rasputin_WallBump-16.png; pivotX: 128.555; pivotY: 305.3281}
{file: Rasputin_WallBump-17.png; pivotX: 109.8347; pivotY: 304.5943}
{file: Rasputin_WallBump-18.png; pivotX: 109.777; pivotY: 304.2941}
{file: Rasputin_WallBump-19.png; pivotX: 111.4035; pivotY: 304.3815}
{file: Rasputin_WallBump-20.png; pivotX: 113.3886; pivotY: 304.9035}
{file: Rasputin_WallBump-21.png; pivotX: 115.6769; pivotY: 305.0035}
{file: Rasputin_WallBump-22.png; pivotX: 117.7904; pivotY: 306.2902}
{file: Rasputin_WallBump-23.png; pivotX: 120.8224; pivotY: 307.0908}
{file: Rasputin_WallBump-24.png; pivotX: 123.0544; pivotY: 308.9358}
{file: Rasputin_WallBump-25.png; pivotX: 125.7523; pivotY: 310.0698}
{file: Rasputin_WallBump-26.png; pivotX: 128.4294; pivotY: 311.3316}
{file: Rasputin_WallBump-27.png; pivotX: 131.6107; pivotY: 313.5827}
{file: Rasputin_WallBump-28.png; pivotX: 134.3207; pivotY: 314.8645}
{file: Rasputin_WallBump-29.png; pivotX: 137.2848; pivotY: 315.7786}
{file: Rasputin_WallBump-30.png; pivotX: 139.5627; pivotY: 316.3727}
{file: Rasputin_WallBump-31.png; pivotX: 142.1023; pivotY: 318.5927}
{file: Rasputin_WallBump-32.png; pivotX: 143.8705; pivotY: 321.5979}
{file: Rasputin_WallBump-33.png; pivotX: 145.1129; pivotY: 324.3532}
{file: Rasputin_WallBump-34.png; pivotX: 145.7001; pivotY: 326.0151}
{file: Rasputin_WallBump-35.png; pivotX: 145.5067; pivotY: 327.3757}
{file: Rasputin_WallBump-36.png; pivotX: 145.1328; pivotY: 327.4557}
{file: Rasputin_WallBump-37.png; pivotX: 145.4791; pivotY: 327.9543}
{file: Rasputin_WallBump-38.png; pivotX: 145.6643; pivotY: 327.3253}
{file: Rasputin_WallBump-39.png; pivotX: 146.2249; pivotY: 327.5178}
