{file: Rasputin_WallBump-0.png; posX: -0.2099928; posY: 0}
{file: Rasputin_WallBump-1.png; posX: -0.1439501; posY: -0.0007141232}
{file: Rasputin_WallBump-2.png; posX: -0.07870519; posY: -0.0002530217}
{file: Rasputin_WallBump-3.png; posX: -0.01714832; posY: -1.40667E-05}
{file: Rasputin_WallBump-4.png; posX: 0.03846252; posY: -0.00139451}
{file: Rasputin_WallBump-5.png; posX: 0.09054653; posY: -0.005791605}
{file: Rasputin_WallBump-6.png; posX: 0.1433858; posY: -0.01460266}
{file: Rasputin_WallBump-7.png; posX: 0.2010236; posY: -0.02922493}
{file: Rasputin_WallBump-8.png; posX: 0.259215; posY: -0.05105573}
{file: Rasputin_WallBump-9.png; posX: 0.3118559; posY: -0.08451271}
{file: Rasputin_WallBump-10.png; posX: 0.3557827; posY: -0.1285688}
{file: Rasputin_WallBump-11.png; posX: 0.3918898; posY: -0.176454}
{file: Rasputin_WallBump-12.png; posX: 0.42016; posY: -0.2181097}
{file: Rasputin_WallBump-13.png; posX: 0.4405763; posY: -0.2490165}
{file: Rasputin_WallBump-14.png; posX: 0.4531217; posY: -0.2707131}
{file: Rasputin_WallBump-15.png; posX: 0.45952; posY: -0.2847382}
{file: Rasputin_WallBump-16.png; posX: 0.4619193; posY: -0.2926307}
{file: Rasputin_WallBump-17.png; posX: 0.4609381; posY: -0.2959291}
{file: Rasputin_WallBump-18.png; posX: 0.4571953; posY: -0.2961724}
{file: Rasputin_WallBump-19.png; posX: 0.4513094; posY: -0.2948991}
{file: Rasputin_WallBump-20.png; posX: 0.442921; posY: -0.2919647}
{file: Rasputin_WallBump-21.png; posX: 0.4315087; posY: -0.2864745}
{file: Rasputin_WallBump-22.png; posX: 0.417448; posY: -0.2788419}
{file: Rasputin_WallBump-23.png; posX: 0.4011146; posY: -0.2694805}
{file: Rasputin_WallBump-24.png; posX: 0.382884; posY: -0.258804}
{file: Rasputin_WallBump-25.png; posX: 0.3631319; posY: -0.2472256}
{file: Rasputin_WallBump-26.png; posX: 0.3422337; posY: -0.235159}
{file: Rasputin_WallBump-27.png; posX: 0.3205652; posY: -0.2230177}
{file: Rasputin_WallBump-28.png; posX: 0.298502; posY: -0.2112153}
{file: Rasputin_WallBump-29.png; posX: 0.2766245; posY: -0.2006557}
{file: Rasputin_WallBump-30.png; posX: 0.2553151; posY: -0.1919001}
{file: Rasputin_WallBump-31.png; posX: 0.234652; posY: -0.1848468}
{file: Rasputin_WallBump-32.png; posX: 0.2147138; posY: -0.1793945}
{file: Rasputin_WallBump-33.png; posX: 0.1955788; posY: -0.1754417}
{file: Rasputin_WallBump-34.png; posX: 0.1777278; posY: -0.172887}
{file: Rasputin_WallBump-35.png; posX: 0.1617789; posY: -0.171629}
{file: Rasputin_WallBump-36.png; posX: 0.1480164; posY: -0.1715662}
{file: Rasputin_WallBump-37.png; posX: 0.1367245; posY: -0.1725972}
{file: Rasputin_WallBump-38.png; posX: 0.1281872; posY: -0.1746205}
{file: Rasputin_WallBump-39.png; posX: 0.1226888; posY: -0.1775348}
