{file: Rasputin_WallSlam-0.png; pivotX: 93.7961; pivotY: 366.4205}
{file: Rasputin_WallSlam-1.png; pivotX: 90.90786; pivotY: 368.3719}
{file: Rasputin_WallSlam-2.png; pivotX: 87.68654; pivotY: 366.767}
{file: Rasputin_WallSlam-3.png; pivotX: 105.152; pivotY: 361.8394}
{file: Rasputin_WallSlam-4.png; pivotX: 118.2084; pivotY: 354.2336}
{file: Rasputin_WallSlam-5.png; pivotX: 127.9318; pivotY: 348.0908}
{file: Rasputin_WallSlam-6.png; pivotX: 134.9244; pivotY: 345.1794}
{file: Rasputin_WallSlam-7.png; pivotX: 134.3006; pivotY: 347.1611}
{file: Rasputin_WallSlam-8.png; pivotX: 124.5239; pivotY: 348.9312}
{file: Rasputin_WallSlam-9.png; pivotX: 116.593; pivotY: 345.1569}
{file: Rasputin_WallSlam-10.png; pivotX: 122.7815; pivotY: 338.7549}
{file: Rasputin_WallSlam-11.png; pivotX: 138.3894; pivotY: 330.9855}
{file: Rasputin_WallSlam-12.png; pivotX: 148.0445; pivotY: 322.5983}
{file: Rasputin_WallSlam-13.png; pivotX: 149.3698; pivotY: 312.5441}
{file: Rasputin_WallSlam-14.png; pivotX: 141.6969; pivotY: 302.8364}
{file: Rasputin_WallSlam-15.png; pivotX: 136.1112; pivotY: 291.8672}
{file: Rasputin_WallSlam-16.png; pivotX: 146.9616; pivotY: 279.4833}
{file: Rasputin_WallSlam-17.png; pivotX: 157.788; pivotY: 266.5173}
{file: Rasputin_WallSlam-18.png; pivotX: 170.628; pivotY: 251.3415}
{file: Rasputin_WallSlam-19.png; pivotX: 183.2115; pivotY: 237.9203}
{file: Rasputin_WallSlam-20.png; pivotX: 194.7178; pivotY: 234.2445}
{file: Rasputin_WallSlam-21.png; pivotX: 205.537; pivotY: 234.5751}
{file: Rasputin_WallSlam-22.png; pivotX: 215.6057; pivotY: 234.8623}
{file: Rasputin_WallSlam-23.png; pivotX: 226.4401; pivotY: 234.055}
{file: Rasputin_WallSlam-24.png; pivotX: 236.6959; pivotY: 234.8748}
{file: Rasputin_WallSlam-25.png; pivotX: 246.4351; pivotY: 235.8112}
{file: Rasputin_WallSlam-26.png; pivotX: 255.8219; pivotY: 236.7921}
{file: Rasputin_WallSlam-27.png; pivotX: 263.4054; pivotY: 237.4735}
{file: Rasputin_WallSlam-28.png; pivotX: 270.1222; pivotY: 238.5699}
{file: Rasputin_WallSlam-29.png; pivotX: 277.4399; pivotY: 238.6135}
{file: Rasputin_WallSlam-30.png; pivotX: 283.4474; pivotY: 238.8987}
{file: Rasputin_WallSlam-31.png; pivotX: 288.3576; pivotY: 238.5621}
{file: Rasputin_WallSlam-32.png; pivotX: 292.4377; pivotY: 238.6225}
{file: Rasputin_WallSlam-33.png; pivotX: 296.1236; pivotY: 237.9562}
{file: Rasputin_WallSlam-34.png; pivotX: 299.269; pivotY: 238.2212}
{file: Rasputin_WallSlam-35.png; pivotX: 301.5147; pivotY: 238.5678}
{file: Rasputin_WallSlam-36.png; pivotX: 303.2394; pivotY: 239.1603}
{file: Rasputin_WallSlam-37.png; pivotX: 304.2281; pivotY: 239.1739}
{file: Rasputin_WallSlam-38.png; pivotX: 305.3896; pivotY: 239.7351}
{file: Rasputin_WallSlam-39.png; pivotX: 305.9913; pivotY: 239.7445}
{file: Rasputin_WallSlam-40.png; pivotX: 306.6988; pivotY: 239.584}
{file: Rasputin_WallSlam-41.png; pivotX: 307.286; pivotY: 238.6268}
{file: Rasputin_WallSlam-42.png; pivotX: 307.1898; pivotY: 238.7249}
{file: Rasputin_WallSlam-43.png; pivotX: 306.3588; pivotY: 238.9152}
{file: Rasputin_WallSlam-44.png; pivotX: 305.8394; pivotY: 238.6546}
{file: Rasputin_WallSlam-45.png; pivotX: 305.2582; pivotY: 238.5777}
{file: Rasputin_WallSlam-46.png; pivotX: 304.1035; pivotY: 238.3494}
{file: Rasputin_WallSlam-47.png; pivotX: 303.4911; pivotY: 238.4734}
{file: Rasputin_WallSlam-48.png; pivotX: 302.904; pivotY: 238.1388}
{file: Rasputin_WallSlam-49.png; pivotX: 302.4934; pivotY: 238.0713}
{file: Rasputin_WallSlam-50.png; pivotX: 302.2336; pivotY: 237.9017}
{file: Rasputin_WallSlam-51.png; pivotX: 302.0905; pivotY: 238.0057}
{file: Rasputin_WallSlam-52.png; pivotX: 301.8816; pivotY: 237.9053}
{file: Rasputin_WallSlam-53.png; pivotX: 301.5734; pivotY: 237.4638}
{file: Rasputin_WallSlam-54.png; pivotX: 300.8081; pivotY: 237.413}
{file: Rasputin_WallSlam-55.png; pivotX: 300.5948; pivotY: 237.7434}
{file: Rasputin_WallSlam-56.png; pivotX: 300.3686; pivotY: 237.8935}
{file: Rasputin_WallSlam-57.png; pivotX: 300.1519; pivotY: 237.8777}
{file: Rasputin_WallSlam-58.png; pivotX: 299.9629; pivotY: 237.7397}
{file: Rasputin_WallSlam-59.png; pivotX: 299.8965; pivotY: 238.0947}
{file: Rasputin_WallSlam-60.png; pivotX: 299.7988; pivotY: 237.846}
{file: Rasputin_WallSlam-61.png; pivotX: 299.8191; pivotY: 238.1512}
{file: Rasputin_WallSlam-62.png; pivotX: 299.8698; pivotY: 238.4563}
{file: Rasputin_WallSlam-63.png; pivotX: 299.8697; pivotY: 238.2164}
{file: Rasputin_WallSlam-64.png; pivotX: 299.8965; pivotY: 238.0125}
{file: Rasputin_WallSlam-65.png; pivotX: 300.0279; pivotY: 238.4227}
{file: Rasputin_WallSlam-66.png; pivotX: 300.1002; pivotY: 238.3315}
{file: Rasputin_WallSlam-67.png; pivotX: 300.1911; pivotY: 238.3136}
{file: Rasputin_WallSlam-68.png; pivotX: 300.3019; pivotY: 238.3979}
{file: Rasputin_WallSlam-69.png; pivotX: 300.3185; pivotY: 237.9871}
