{file: Rasputin_WallSlam-0.png; posX: -0.2099928; posY: 0}
{file: Rasputin_WallSlam-1.png; posX: -0.1444814; posY: 8.916855E-05}
{file: Rasputin_WallSlam-2.png; posX: -0.07952724; posY: 0.001636088}
{file: Rasputin_WallSlam-3.png; posX: -0.0171483; posY: 0.00272572}
{file: Rasputin_WallSlam-4.png; posX: 0.04106662; posY: 0.001442909}
{file: Rasputin_WallSlam-5.png; posX: 0.09684208; posY: -0.004127502}
{file: Rasputin_WallSlam-6.png; posX: 0.1531302; posY: -0.01590061}
{file: Rasputin_WallSlam-7.png; posX: 0.2112805; posY: -0.0376997}
{file: Rasputin_WallSlam-8.png; posX: 0.2699599; posY: -0.07006329}
{file: Rasputin_WallSlam-9.png; posX: 0.3280962; posY: -0.1099795}
{file: Rasputin_WallSlam-10.png; posX: 0.3846174; posY: -0.1544365}
{file: Rasputin_WallSlam-11.png; posX: 0.4399709; posY: -0.2004224}
{file: Rasputin_WallSlam-12.png; posX: 0.4953349; posY: -0.2463998}
{file: Rasputin_WallSlam-13.png; posX: 0.5507336; posY: -0.2927185}
{file: Rasputin_WallSlam-14.png; posX: 0.6061915; posY: -0.339197}
{file: Rasputin_WallSlam-15.png; posX: 0.6617326; posY: -0.3856542}
{file: Rasputin_WallSlam-16.png; posX: 0.7173812; posY: -0.4319082}
{file: Rasputin_WallSlam-17.png; posX: 0.7731617; posY: -0.477778}
{file: Rasputin_WallSlam-18.png; posX: 0.8290981; posY: -0.523082}
{file: Rasputin_WallSlam-19.png; posX: 0.885215; posY: -0.567639}
{file: Rasputin_WallSlam-20.png; posX: 0.9413295; posY: -0.6112673}
{file: Rasputin_WallSlam-21.png; posX: 0.996942; posY: -0.6537857}
{file: Rasputin_WallSlam-22.png; posX: 1.0516; posY: -0.6950129}
{file: Rasputin_WallSlam-23.png; posX: 1.104853; posY: -0.7352589}
{file: Rasputin_WallSlam-24.png; posX: 1.156247; posY: -0.7743194}
{file: Rasputin_WallSlam-25.png; posX: 1.205332; posY: -0.8112404}
{file: Rasputin_WallSlam-26.png; posX: 1.251655; posY: -0.8450681}
{file: Rasputin_WallSlam-27.png; posX: 1.294765; posY: -0.8751135}
{file: Rasputin_WallSlam-28.png; posX: 1.334209; posY: -0.8491875}
{file: Rasputin_WallSlam-29.png; posX: 1.369536; posY: -0.8278805}
{file: Rasputin_WallSlam-30.png; posX: 1.400294; posY: -0.8126649}
{file: Rasputin_WallSlam-31.png; posX: 1.426695; posY: -0.8045474}
{file: Rasputin_WallSlam-32.png; posX: 1.449401; posY: -0.8018512}
{file: Rasputin_WallSlam-33.png; posX: 1.468641; posY: -0.8043659}
{file: Rasputin_WallSlam-34.png; posX: 1.484637; posY: -0.8118403}
{file: Rasputin_WallSlam-35.png; posX: 1.497618; posY: -0.822538}
{file: Rasputin_WallSlam-36.png; posX: 1.507807; posY: -0.8347228}
{file: Rasputin_WallSlam-37.png; posX: 1.515431; posY: -0.8466581}
{file: Rasputin_WallSlam-38.png; posX: 1.520715; posY: -0.8566077}
{file: Rasputin_WallSlam-39.png; posX: 1.523885; posY: -0.8628353}
{file: Rasputin_WallSlam-40.png; posX: 1.525166; posY: -0.8644005}
{file: Rasputin_WallSlam-41.png; posX: 1.524785; posY: -0.8624607}
{file: Rasputin_WallSlam-42.png; posX: 1.522967; posY: -0.8584259}
{file: Rasputin_WallSlam-43.png; posX: 1.519937; posY: -0.8537061}
{file: Rasputin_WallSlam-44.png; posX: 1.515921; posY: -0.8497114}
{file: Rasputin_WallSlam-45.png; posX: 1.511711; posY: -0.8474605}
{file: Rasputin_WallSlam-46.png; posX: 1.507934; posY: -0.8467501}
{file: Rasputin_WallSlam-47.png; posX: 1.504567; posY: -0.8471575}
{file: Rasputin_WallSlam-48.png; posX: 1.50159; posY: -0.8482599}
{file: Rasputin_WallSlam-49.png; posX: 1.498979; posY: -0.8496343}
{file: Rasputin_WallSlam-50.png; posX: 1.496714; posY: -0.8508579}
{file: Rasputin_WallSlam-51.png; posX: 1.494773; posY: -0.8516565}
{file: Rasputin_WallSlam-52.png; posX: 1.493132; posY: -0.8520761}
{file: Rasputin_WallSlam-53.png; posX: 1.491772; posY: -0.8521742}
{file: Rasputin_WallSlam-54.png; posX: 1.49067; posY: -0.8520086}
{file: Rasputin_WallSlam-55.png; posX: 1.489803; posY: -0.8516371}
{file: Rasputin_WallSlam-56.png; posX: 1.489151; posY: -0.8511172}
{file: Rasputin_WallSlam-57.png; posX: 1.488691; posY: -0.8505065}
{file: Rasputin_WallSlam-58.png; posX: 1.488402; posY: -0.8498629}
{file: Rasputin_WallSlam-59.png; posX: 1.488261; posY: -0.8492439}
{file: Rasputin_WallSlam-60.png; posX: 1.488247; posY: -0.8486613}
{file: Rasputin_WallSlam-61.png; posX: 1.488338; posY: -0.8480972}
{file: Rasputin_WallSlam-62.png; posX: 1.488513; posY: -0.8475649}
{file: Rasputin_WallSlam-63.png; posX: 1.488748; posY: -0.847078}
{file: Rasputin_WallSlam-64.png; posX: 1.489023; posY: -0.8466496}
{file: Rasputin_WallSlam-65.png; posX: 1.489316; posY: -0.8462931}
{file: Rasputin_WallSlam-66.png; posX: 1.489604; posY: -0.846022}
{file: Rasputin_WallSlam-67.png; posX: 1.489867; posY: -0.8458495}
{file: Rasputin_WallSlam-68.png; posX: 1.490081; posY: -0.845789}
{file: Rasputin_WallSlam-69.png; posX: 1.490226; posY: -0.845789}
